year,variable,value,scenario,model
1850,tas,15.445629,historical,MPI-ESM1-2-LR
1851,tas,15.345053,historical,MPI-ESM1-2-LR
1852,tas,15.346877,historical,MPI-ESM1-2-LR
1853,tas,15.85179,historical,MPI-ESM1-2-LR
1854,tas,15.629574,historical,MPI-ESM1-2-LR
1855,tas,15.616492,historical,MPI-ESM1-2-LR
1856,tas,15.459541,historical,MPI-ESM1-2-LR
1857,tas,15.306676,historical,MPI-ESM1-2-LR
1858,tas,15.469828,historical,MPI-ESM1-2-LR
1859,tas,15.400599,historical,MPI-ESM1-2-LR
1860,tas,15.56691,historical,MPI-ESM1-2-LR
1861,tas,15.766408,historical,MPI-ESM1-2-LR
1862,tas,15.445656,historical,MPI-ESM1-2-LR
1863,tas,15.302994,historical,MPI-ESM1-2-LR
1864,tas,15.581704,historical,MPI-ESM1-2-LR
1865,tas,15.488739,historical,MPI-ESM1-2-LR
1866,tas,15.494714,historical,MPI-ESM1-2-LR
1867,tas,15.42967,historical,MPI-ESM1-2-LR
1868,tas,15.302906,historical,MPI-ESM1-2-LR
1869,tas,15.535064,historical,MPI-ESM1-2-LR
1870,tas,15.718117,historical,MPI-ESM1-2-LR
1871,tas,15.587781,historical,MPI-ESM1-2-LR
1872,tas,15.654883,historical,MPI-ESM1-2-LR
1873,tas,15.729214,historical,MPI-ESM1-2-LR
1874,tas,15.497021,historical,MPI-ESM1-2-LR
1875,tas,15.209852,historical,MPI-ESM1-2-LR
1876,tas,15.392789,historical,MPI-ESM1-2-LR
1877,tas,15.357103,historical,MPI-ESM1-2-LR
1878,tas,15.356961,historical,MPI-ESM1-2-LR
1879,tas,15.441297,historical,MPI-ESM1-2-LR
1880,tas,15.323167,historical,MPI-ESM1-2-LR
1881,tas,15.218111,historical,MPI-ESM1-2-LR
1882,tas,15.453926,historical,MPI-ESM1-2-LR
1883,tas,15.588244,historical,MPI-ESM1-2-LR
1884,tas,15.257114,historical,MPI-ESM1-2-LR
1885,tas,15.154818,historical,MPI-ESM1-2-LR
1886,tas,15.197242,historical,MPI-ESM1-2-LR
1887,tas,15.422443,historical,MPI-ESM1-2-LR
1888,tas,15.380068,historical,MPI-ESM1-2-LR
1889,tas,15.592324,historical,MPI-ESM1-2-LR
1890,tas,15.736841,historical,MPI-ESM1-2-LR
1891,tas,15.41743,historical,MPI-ESM1-2-LR
1892,tas,15.283033,historical,MPI-ESM1-2-LR
1893,tas,15.594853,historical,MPI-ESM1-2-LR
1894,tas,15.405769,historical,MPI-ESM1-2-LR
1895,tas,15.612062,historical,MPI-ESM1-2-LR
1896,tas,15.555717,historical,MPI-ESM1-2-LR
1897,tas,15.64357,historical,MPI-ESM1-2-LR
1898,tas,15.365097,historical,MPI-ESM1-2-LR
1899,tas,15.301667,historical,MPI-ESM1-2-LR
1900,tas,15.33936,historical,MPI-ESM1-2-LR
1901,tas,15.537818,historical,MPI-ESM1-2-LR
1902,tas,15.579928,historical,MPI-ESM1-2-LR
1903,tas,15.06819,historical,MPI-ESM1-2-LR
1904,tas,15.386031,historical,MPI-ESM1-2-LR
1905,tas,15.648071,historical,MPI-ESM1-2-LR
1906,tas,15.328447,historical,MPI-ESM1-2-LR
1907,tas,15.436509,historical,MPI-ESM1-2-LR
1908,tas,15.433842,historical,MPI-ESM1-2-LR
1909,tas,15.249517,historical,MPI-ESM1-2-LR
1910,tas,15.559498,historical,MPI-ESM1-2-LR
1911,tas,15.650821,historical,MPI-ESM1-2-LR
1912,tas,15.644583,historical,MPI-ESM1-2-LR
1913,tas,15.615682,historical,MPI-ESM1-2-LR
1914,tas,15.726624,historical,MPI-ESM1-2-LR
1915,tas,15.600543,historical,MPI-ESM1-2-LR
1916,tas,15.329277,historical,MPI-ESM1-2-LR
1917,tas,15.27709,historical,MPI-ESM1-2-LR
1918,tas,15.171443,historical,MPI-ESM1-2-LR
1919,tas,15.481854,historical,MPI-ESM1-2-LR
1920,tas,15.792365,historical,MPI-ESM1-2-LR
1921,tas,15.555286,historical,MPI-ESM1-2-LR
1922,tas,15.540272,historical,MPI-ESM1-2-LR
1923,tas,15.641621,historical,MPI-ESM1-2-LR
1924,tas,15.651145,historical,MPI-ESM1-2-LR
1925,tas,15.535913,historical,MPI-ESM1-2-LR
1926,tas,15.622126,historical,MPI-ESM1-2-LR
1927,tas,15.622954,historical,MPI-ESM1-2-LR
1928,tas,15.736747,historical,MPI-ESM1-2-LR
1929,tas,15.702678,historical,MPI-ESM1-2-LR
1930,tas,15.662609,historical,MPI-ESM1-2-LR
1931,tas,15.541057,historical,MPI-ESM1-2-LR
1932,tas,15.674979,historical,MPI-ESM1-2-LR
1933,tas,15.527864,historical,MPI-ESM1-2-LR
1934,tas,15.462993,historical,MPI-ESM1-2-LR
1935,tas,15.658589,historical,MPI-ESM1-2-LR
1936,tas,15.731601,historical,MPI-ESM1-2-LR
1937,tas,15.516909,historical,MPI-ESM1-2-LR
1938,tas,15.644202,historical,MPI-ESM1-2-LR
1939,tas,15.516282,historical,MPI-ESM1-2-LR
1940,tas,15.699344,historical,MPI-ESM1-2-LR
1941,tas,15.628012,historical,MPI-ESM1-2-LR
1942,tas,15.842096,historical,MPI-ESM1-2-LR
1943,tas,15.99933,historical,MPI-ESM1-2-LR
1944,tas,15.568735,historical,MPI-ESM1-2-LR
1945,tas,15.544223,historical,MPI-ESM1-2-LR
1946,tas,15.779162,historical,MPI-ESM1-2-LR
1947,tas,15.860315,historical,MPI-ESM1-2-LR
1948,tas,15.733449,historical,MPI-ESM1-2-LR
1949,tas,15.632716,historical,MPI-ESM1-2-LR
1950,tas,15.527611,historical,MPI-ESM1-2-LR
1951,tas,15.971003,historical,MPI-ESM1-2-LR
1952,tas,15.97977,historical,MPI-ESM1-2-LR
1953,tas,15.777493,historical,MPI-ESM1-2-LR
1954,tas,15.644687,historical,MPI-ESM1-2-LR
1955,tas,15.55579,historical,MPI-ESM1-2-LR
1956,tas,15.423215,historical,MPI-ESM1-2-LR
1957,tas,15.528213,historical,MPI-ESM1-2-LR
1958,tas,15.575904,historical,MPI-ESM1-2-LR
1959,tas,15.650479,historical,MPI-ESM1-2-LR
1960,tas,15.887021,historical,MPI-ESM1-2-LR
1961,tas,15.823551,historical,MPI-ESM1-2-LR
1962,tas,15.551263,historical,MPI-ESM1-2-LR
1963,tas,15.380611,historical,MPI-ESM1-2-LR
1964,tas,15.424525,historical,MPI-ESM1-2-LR
1965,tas,15.565039,historical,MPI-ESM1-2-LR
1966,tas,15.656814,historical,MPI-ESM1-2-LR
1967,tas,15.795546,historical,MPI-ESM1-2-LR
1968,tas,15.890211,historical,MPI-ESM1-2-LR
1969,tas,15.547076,historical,MPI-ESM1-2-LR
1970,tas,15.521373,historical,MPI-ESM1-2-LR
1971,tas,15.694336,historical,MPI-ESM1-2-LR
1972,tas,15.791135,historical,MPI-ESM1-2-LR
1973,tas,16.085166,historical,MPI-ESM1-2-LR
1974,tas,15.866767,historical,MPI-ESM1-2-LR
1975,tas,15.595845,historical,MPI-ESM1-2-LR
1976,tas,15.620022,historical,MPI-ESM1-2-LR
1977,tas,15.793149,historical,MPI-ESM1-2-LR
1978,tas,15.823533,historical,MPI-ESM1-2-LR
1979,tas,15.861334,historical,MPI-ESM1-2-LR
1980,tas,16.056519,historical,MPI-ESM1-2-LR
1981,tas,15.912403,historical,MPI-ESM1-2-LR
1982,tas,15.843464,historical,MPI-ESM1-2-LR
1983,tas,15.753896,historical,MPI-ESM1-2-LR
1984,tas,16.090573,historical,MPI-ESM1-2-LR
1985,tas,16.011926,historical,MPI-ESM1-2-LR
1986,tas,15.941058,historical,MPI-ESM1-2-LR
1987,tas,15.937425,historical,MPI-ESM1-2-LR
1988,tas,15.696601,historical,MPI-ESM1-2-LR
1989,tas,16.076292,historical,MPI-ESM1-2-LR
