year,variable,value,scenario,model
1850,tas,12.310567,historical,MPI-ESM1-2-LR
1851,tas,12.240939,historical,MPI-ESM1-2-LR
1852,tas,12.146975,historical,MPI-ESM1-2-LR
1853,tas,12.547776,historical,MPI-ESM1-2-LR
1854,tas,12.228719,historical,MPI-ESM1-2-LR
1855,tas,12.089062,historical,MPI-ESM1-2-LR
1856,tas,12.025368,historical,MPI-ESM1-2-LR
1857,tas,12.582484,historical,MPI-ESM1-2-LR
1858,tas,12.341055,historical,MPI-ESM1-2-LR
1859,tas,12.423221,historical,MPI-ESM1-2-LR
1860,tas,12.490192,historical,MPI-ESM1-2-LR
1861,tas,12.50431,historical,MPI-ESM1-2-LR
1862,tas,12.109297,historical,MPI-ESM1-2-LR
1863,tas,12.446773,historical,MPI-ESM1-2-LR
1864,tas,12.344034,historical,MPI-ESM1-2-LR
1865,tas,12.311734,historical,MPI-ESM1-2-LR
1866,tas,12.095169,historical,MPI-ESM1-2-LR
1867,tas,12.367172,historical,MPI-ESM1-2-LR
1868,tas,12.252719,historical,MPI-ESM1-2-LR
1869,tas,12.541017,historical,MPI-ESM1-2-LR
1870,tas,12.394578,historical,MPI-ESM1-2-LR
1871,tas,12.155115,historical,MPI-ESM1-2-LR
1872,tas,12.34892,historical,MPI-ESM1-2-LR
1873,tas,12.626888,historical,MPI-ESM1-2-LR
1874,tas,11.935365,historical,MPI-ESM1-2-LR
1875,tas,12.008694,historical,MPI-ESM1-2-LR
1876,tas,12.207637,historical,MPI-ESM1-2-LR
1877,tas,12.245403,historical,MPI-ESM1-2-LR
1878,tas,12.232519,historical,MPI-ESM1-2-LR
1879,tas,12.560157,historical,MPI-ESM1-2-LR
1880,tas,12.128034,historical,MPI-ESM1-2-LR
1881,tas,12.382976,historical,MPI-ESM1-2-LR
1882,tas,12.525438,historical,MPI-ESM1-2-LR
1883,tas,12.386443,historical,MPI-ESM1-2-LR
1884,tas,11.760279,historical,MPI-ESM1-2-LR
1885,tas,12.26455,historical,MPI-ESM1-2-LR
1886,tas,12.320638,historical,MPI-ESM1-2-LR
1887,tas,12.247336,historical,MPI-ESM1-2-LR
1888,tas,12.38266,historical,MPI-ESM1-2-LR
1889,tas,12.572306,historical,MPI-ESM1-2-LR
1890,tas,12.079224,historical,MPI-ESM1-2-LR
1891,tas,12.08633,historical,MPI-ESM1-2-LR
1892,tas,12.37653,historical,MPI-ESM1-2-LR
1893,tas,12.446063,historical,MPI-ESM1-2-LR
1894,tas,12.413884,historical,MPI-ESM1-2-LR
1895,tas,12.211419,historical,MPI-ESM1-2-LR
1896,tas,12.555912,historical,MPI-ESM1-2-LR
1897,tas,12.405992,historical,MPI-ESM1-2-LR
1898,tas,12.394592,historical,MPI-ESM1-2-LR
1899,tas,12.158064,historical,MPI-ESM1-2-LR
1900,tas,12.314792,historical,MPI-ESM1-2-LR
1901,tas,12.394967,historical,MPI-ESM1-2-LR
1902,tas,12.374211,historical,MPI-ESM1-2-LR
1903,tas,12.273653,historical,MPI-ESM1-2-LR
1904,tas,12.216064,historical,MPI-ESM1-2-LR
1905,tas,12.436293,historical,MPI-ESM1-2-LR
1906,tas,12.175142,historical,MPI-ESM1-2-LR
1907,tas,12.267535,historical,MPI-ESM1-2-LR
1908,tas,12.234678,historical,MPI-ESM1-2-LR
1909,tas,12.358591,historical,MPI-ESM1-2-LR
1910,tas,12.443602,historical,MPI-ESM1-2-LR
1911,tas,12.060887,historical,MPI-ESM1-2-LR
1912,tas,12.276359,historical,MPI-ESM1-2-LR
1913,tas,12.545663,historical,MPI-ESM1-2-LR
1914,tas,12.306765,historical,MPI-ESM1-2-LR
1915,tas,12.346768,historical,MPI-ESM1-2-LR
1916,tas,12.343558,historical,MPI-ESM1-2-LR
1917,tas,12.00468,historical,MPI-ESM1-2-LR
1918,tas,12.127414,historical,MPI-ESM1-2-LR
1919,tas,12.190585,historical,MPI-ESM1-2-LR
1920,tas,12.353455,historical,MPI-ESM1-2-LR
1921,tas,12.511284,historical,MPI-ESM1-2-LR
1922,tas,12.607787,historical,MPI-ESM1-2-LR
1923,tas,12.692577,historical,MPI-ESM1-2-LR
1924,tas,12.37929,historical,MPI-ESM1-2-LR
1925,tas,12.364308,historical,MPI-ESM1-2-LR
1926,tas,12.728414,historical,MPI-ESM1-2-LR
1927,tas,12.703608,historical,MPI-ESM1-2-LR
1928,tas,12.831281,historical,MPI-ESM1-2-LR
1929,tas,12.711676,historical,MPI-ESM1-2-LR
1930,tas,12.488478,historical,MPI-ESM1-2-LR
1931,tas,12.241949,historical,MPI-ESM1-2-LR
1932,tas,12.209673,historical,MPI-ESM1-2-LR
1933,tas,12.42409,historical,MPI-ESM1-2-LR
1934,tas,12.528247,historical,MPI-ESM1-2-LR
1935,tas,12.52123,historical,MPI-ESM1-2-LR
1936,tas,12.498489,historical,MPI-ESM1-2-LR
1937,tas,12.5548,historical,MPI-ESM1-2-LR
1938,tas,12.428337,historical,MPI-ESM1-2-LR
1939,tas,12.449305,historical,MPI-ESM1-2-LR
1940,tas,12.813482,historical,MPI-ESM1-2-LR
1941,tas,12.305795,historical,MPI-ESM1-2-LR
1942,tas,12.820866,historical,MPI-ESM1-2-LR
1943,tas,12.639235,historical,MPI-ESM1-2-LR
1944,tas,12.624105,historical,MPI-ESM1-2-LR
1945,tas,12.658096,historical,MPI-ESM1-2-LR
1946,tas,12.885655,historical,MPI-ESM1-2-LR
1947,tas,12.537636,historical,MPI-ESM1-2-LR
1948,tas,12.310918,historical,MPI-ESM1-2-LR
1949,tas,12.46465,historical,MPI-ESM1-2-LR
1950,tas,12.527711,historical,MPI-ESM1-2-LR
1951,tas,12.979561,historical,MPI-ESM1-2-LR
1952,tas,12.838433,historical,MPI-ESM1-2-LR
1953,tas,12.68154,historical,MPI-ESM1-2-LR
1954,tas,12.584296,historical,MPI-ESM1-2-LR
1955,tas,12.566432,historical,MPI-ESM1-2-LR
1956,tas,12.568788,historical,MPI-ESM1-2-LR
1957,tas,12.594259,historical,MPI-ESM1-2-LR
1958,tas,12.286086,historical,MPI-ESM1-2-LR
1959,tas,12.613032,historical,MPI-ESM1-2-LR
1960,tas,12.923732,historical,MPI-ESM1-2-LR
1961,tas,12.771391,historical,MPI-ESM1-2-LR
1962,tas,12.432737,historical,MPI-ESM1-2-LR
1963,tas,12.176976,historical,MPI-ESM1-2-LR
1964,tas,12.437672,historical,MPI-ESM1-2-LR
1965,tas,12.385491,historical,MPI-ESM1-2-LR
1966,tas,12.633367,historical,MPI-ESM1-2-LR
1967,tas,12.541821,historical,MPI-ESM1-2-LR
1968,tas,12.694338,historical,MPI-ESM1-2-LR
1969,tas,12.616461,historical,MPI-ESM1-2-LR
1970,tas,12.512557,historical,MPI-ESM1-2-LR
1971,tas,12.378073,historical,MPI-ESM1-2-LR
1972,tas,12.509114,historical,MPI-ESM1-2-LR
1973,tas,12.537231,historical,MPI-ESM1-2-LR
1974,tas,12.251897,historical,MPI-ESM1-2-LR
1975,tas,12.370909,historical,MPI-ESM1-2-LR
1976,tas,12.283098,historical,MPI-ESM1-2-LR
