year,variable,value,scenario,model
1850,tas,15.364868,historical,MPI-ESM1-2-LR
1851,tas,15.450386,historical,MPI-ESM1-2-LR
1852,tas,15.322518,historical,MPI-ESM1-2-LR
1853,tas,15.66922,historical,MPI-ESM1-2-LR
1854,tas,15.583439,historical,MPI-ESM1-2-LR
1855,tas,15.344331,historical,MPI-ESM1-2-LR
1856,tas,15.140637,historical,MPI-ESM1-2-LR
1857,tas,15.320954,historical,MPI-ESM1-2-LR
1858,tas,15.294966,historical,MPI-ESM1-2-LR
1859,tas,15.40595,historical,MPI-ESM1-2-LR
1860,tas,15.461282,historical,MPI-ESM1-2-LR
1861,tas,15.578364,historical,MPI-ESM1-2-LR
1862,tas,15.223784,historical,MPI-ESM1-2-LR
1863,tas,15.390554,historical,MPI-ESM1-2-LR
1864,tas,15.423732,historical,MPI-ESM1-2-LR
1865,tas,15.35818,historical,MPI-ESM1-2-LR
1866,tas,15.262603,historical,MPI-ESM1-2-LR
1867,tas,15.40654,historical,MPI-ESM1-2-LR
1868,tas,15.342854,historical,MPI-ESM1-2-LR
1869,tas,15.429438,historical,MPI-ESM1-2-LR
1870,tas,15.464376,historical,MPI-ESM1-2-LR
1871,tas,15.238978,historical,MPI-ESM1-2-LR
1872,tas,15.286489,historical,MPI-ESM1-2-LR
1873,tas,15.305675,historical,MPI-ESM1-2-LR
1874,tas,15.320665,historical,MPI-ESM1-2-LR
1875,tas,15.312143,historical,MPI-ESM1-2-LR
1876,tas,15.376784,historical,MPI-ESM1-2-LR
1877,tas,15.128092,historical,MPI-ESM1-2-LR
1878,tas,15.099073,historical,MPI-ESM1-2-LR
1879,tas,15.370863,historical,MPI-ESM1-2-LR
1880,tas,15.46557,historical,MPI-ESM1-2-LR
1881,tas,15.428935,historical,MPI-ESM1-2-LR
1882,tas,15.37399,historical,MPI-ESM1-2-LR
1883,tas,15.224467,historical,MPI-ESM1-2-LR
1884,tas,14.906826,historical,MPI-ESM1-2-LR
1885,tas,15.153168,historical,MPI-ESM1-2-LR
1886,tas,15.063859,historical,MPI-ESM1-2-LR
1887,tas,15.184915,historical,MPI-ESM1-2-LR
1888,tas,15.321466,historical,MPI-ESM1-2-LR
1889,tas,15.499862,historical,MPI-ESM1-2-LR
1890,tas,15.619655,historical,MPI-ESM1-2-LR
1891,tas,15.221406,historical,MPI-ESM1-2-LR
1892,tas,15.105032,historical,MPI-ESM1-2-LR
1893,tas,15.431043,historical,MPI-ESM1-2-LR
1894,tas,15.43044,historical,MPI-ESM1-2-LR
1895,tas,15.420485,historical,MPI-ESM1-2-LR
1896,tas,15.598014,historical,MPI-ESM1-2-LR
1897,tas,15.38561,historical,MPI-ESM1-2-LR
1898,tas,15.255084,historical,MPI-ESM1-2-LR
1899,tas,15.335327,historical,MPI-ESM1-2-LR
1900,tas,15.184516,historical,MPI-ESM1-2-LR
1901,tas,15.480481,historical,MPI-ESM1-2-LR
1902,tas,15.57168,historical,MPI-ESM1-2-LR
1903,tas,15.230683,historical,MPI-ESM1-2-LR
1904,tas,15.336786,historical,MPI-ESM1-2-LR
1905,tas,15.476795,historical,MPI-ESM1-2-LR
1906,tas,15.351975,historical,MPI-ESM1-2-LR
1907,tas,15.290998,historical,MPI-ESM1-2-LR
1908,tas,15.214023,historical,MPI-ESM1-2-LR
1909,tas,15.215719,historical,MPI-ESM1-2-LR
1910,tas,15.464562,historical,MPI-ESM1-2-LR
1911,tas,15.544658,historical,MPI-ESM1-2-LR
1912,tas,15.576149,historical,MPI-ESM1-2-LR
1913,tas,15.413215,historical,MPI-ESM1-2-LR
1914,tas,15.676731,historical,MPI-ESM1-2-LR
1915,tas,15.367118,historical,MPI-ESM1-2-LR
1916,tas,15.229063,historical,MPI-ESM1-2-LR
1917,tas,15.109558,historical,MPI-ESM1-2-LR
1918,tas,15.206718,historical,MPI-ESM1-2-LR
1919,tas,15.408724,historical,MPI-ESM1-2-LR
1920,tas,15.442253,historical,MPI-ESM1-2-LR
1921,tas,15.692491,historical,MPI-ESM1-2-LR
1922,tas,15.341378,historical,MPI-ESM1-2-LR
1923,tas,15.468943,historical,MPI-ESM1-2-LR
1924,tas,15.484328,historical,MPI-ESM1-2-LR
1925,tas,15.378616,historical,MPI-ESM1-2-LR
1926,tas,15.501934,historical,MPI-ESM1-2-LR
1927,tas,15.58363,historical,MPI-ESM1-2-LR
1928,tas,15.682375,historical,MPI-ESM1-2-LR
1929,tas,15.593206,historical,MPI-ESM1-2-LR
1930,tas,15.424499,historical,MPI-ESM1-2-LR
1931,tas,15.501563,historical,MPI-ESM1-2-LR
1932,tas,15.602741,historical,MPI-ESM1-2-LR
1933,tas,15.67571,historical,MPI-ESM1-2-LR
1934,tas,15.512491,historical,MPI-ESM1-2-LR
1935,tas,15.586897,historical,MPI-ESM1-2-LR
1936,tas,15.520195,historical,MPI-ESM1-2-LR
1937,tas,15.574792,historical,MPI-ESM1-2-LR
1938,tas,15.820826,historical,MPI-ESM1-2-LR
1939,tas,15.540827,historical,MPI-ESM1-2-LR
1940,tas,15.75908,historical,MPI-ESM1-2-LR
1941,tas,15.630519,historical,MPI-ESM1-2-LR
1942,tas,15.838487,historical,MPI-ESM1-2-LR
1943,tas,15.770142,historical,MPI-ESM1-2-LR
1944,tas,15.481011,historical,MPI-ESM1-2-LR
1945,tas,15.474138,historical,MPI-ESM1-2-LR
1946,tas,15.84318,historical,MPI-ESM1-2-LR
1947,tas,15.802953,historical,MPI-ESM1-2-LR
1948,tas,15.503988,historical,MPI-ESM1-2-LR
1949,tas,15.339853,historical,MPI-ESM1-2-LR
1950,tas,15.575923,historical,MPI-ESM1-2-LR
1951,tas,15.66002,historical,MPI-ESM1-2-LR
1952,tas,15.893619,historical,MPI-ESM1-2-LR
1953,tas,15.717544,historical,MPI-ESM1-2-LR
1954,tas,15.625973,historical,MPI-ESM1-2-LR
1955,tas,15.601136,historical,MPI-ESM1-2-LR
1956,tas,15.404105,historical,MPI-ESM1-2-LR
1957,tas,15.438991,historical,MPI-ESM1-2-LR
1958,tas,15.432971,historical,MPI-ESM1-2-LR
1959,tas,15.616127,historical,MPI-ESM1-2-LR
1960,tas,15.844327,historical,MPI-ESM1-2-LR
1961,tas,15.681543,historical,MPI-ESM1-2-LR
1962,tas,15.529916,historical,MPI-ESM1-2-LR
1963,tas,15.338238,historical,MPI-ESM1-2-LR
1964,tas,15.557016,historical,MPI-ESM1-2-LR
1965,tas,15.420509,historical,MPI-ESM1-2-LR
1966,tas,15.694341,historical,MPI-ESM1-2-LR
1967,tas,15.740428,historical,MPI-ESM1-2-LR
1968,tas,15.674844,historical,MPI-ESM1-2-LR
1969,tas,15.750979,historical,MPI-ESM1-2-LR
1970,tas,15.655791,historical,MPI-ESM1-2-LR
1971,tas,15.543996,historical,MPI-ESM1-2-LR
1972,tas,15.626375,historical,MPI-ESM1-2-LR
1973,tas,15.879953,historical,MPI-ESM1-2-LR
1974,tas,15.829636,historical,MPI-ESM1-2-LR
1975,tas,15.479949,historical,MPI-ESM1-2-LR
