year,variable,value,scenario,model
1850,tas,15.294254,historical,MPI-ESM1-2-LR
1851,tas,15.311895,historical,MPI-ESM1-2-LR
1852,tas,15.221255,historical,MPI-ESM1-2-LR
1853,tas,15.519727,historical,MPI-ESM1-2-LR
1854,tas,15.34022,historical,MPI-ESM1-2-LR
1855,tas,15.296429,historical,MPI-ESM1-2-LR
1856,tas,15.189608,historical,MPI-ESM1-2-LR
1857,tas,15.327277,historical,MPI-ESM1-2-LR
1858,tas,15.471246,historical,MPI-ESM1-2-LR
1859,tas,15.509733,historical,MPI-ESM1-2-LR
1860,tas,15.205767,historical,MPI-ESM1-2-LR
1861,tas,15.409652,historical,MPI-ESM1-2-LR
1862,tas,15.359273,historical,MPI-ESM1-2-LR
1863,tas,15.204063,historical,MPI-ESM1-2-LR
1864,tas,15.636361,historical,MPI-ESM1-2-LR
1865,tas,15.537039,historical,MPI-ESM1-2-LR
1866,tas,15.242056,historical,MPI-ESM1-2-LR
1867,tas,15.28715,historical,MPI-ESM1-2-LR
1868,tas,15.22568,historical,MPI-ESM1-2-LR
1869,tas,15.202363,historical,MPI-ESM1-2-LR
1870,tas,15.493485,historical,MPI-ESM1-2-LR
1871,tas,15.384536,historical,MPI-ESM1-2-LR
1872,tas,15.438018,historical,MPI-ESM1-2-LR
1873,tas,15.431624,historical,MPI-ESM1-2-LR
1874,tas,15.116018,historical,MPI-ESM1-2-LR
1875,tas,15.123866,historical,MPI-ESM1-2-LR
1876,tas,15.304644,historical,MPI-ESM1-2-LR
1877,tas,15.093257,historical,MPI-ESM1-2-LR
1878,tas,15.348161,historical,MPI-ESM1-2-LR
1879,tas,15.411695,historical,MPI-ESM1-2-LR
1880,tas,15.406768,historical,MPI-ESM1-2-LR
1881,tas,15.030486,historical,MPI-ESM1-2-LR
1882,tas,15.217098,historical,MPI-ESM1-2-LR
1883,tas,15.252574,historical,MPI-ESM1-2-LR
1884,tas,14.954472,historical,MPI-ESM1-2-LR
1885,tas,14.87354,historical,MPI-ESM1-2-LR
1886,tas,15.064392,historical,MPI-ESM1-2-LR
1887,tas,15.113775,historical,MPI-ESM1-2-LR
1888,tas,15.297232,historical,MPI-ESM1-2-LR
1889,tas,15.508279,historical,MPI-ESM1-2-LR
1890,tas,15.641074,historical,MPI-ESM1-2-LR
1891,tas,15.220064,historical,MPI-ESM1-2-LR
1892,tas,15.130423,historical,MPI-ESM1-2-LR
1893,tas,15.437777,historical,MPI-ESM1-2-LR
1894,tas,15.239528,historical,MPI-ESM1-2-LR
1895,tas,15.189996,historical,MPI-ESM1-2-LR
1896,tas,15.406136,historical,MPI-ESM1-2-LR
1897,tas,15.497381,historical,MPI-ESM1-2-LR
1898,tas,15.262773,historical,MPI-ESM1-2-LR
1899,tas,15.164339,historical,MPI-ESM1-2-LR
1900,tas,15.077161,historical,MPI-ESM1-2-LR
1901,tas,15.226699,historical,MPI-ESM1-2-LR
1902,tas,15.386391,historical,MPI-ESM1-2-LR
1903,tas,14.914323,historical,MPI-ESM1-2-LR
1904,tas,15.170219,historical,MPI-ESM1-2-LR
1905,tas,15.380882,historical,MPI-ESM1-2-LR
1906,tas,15.268759,historical,MPI-ESM1-2-LR
1907,tas,15.188928,historical,MPI-ESM1-2-LR
1908,tas,15.306079,historical,MPI-ESM1-2-LR
1909,tas,15.091447,historical,MPI-ESM1-2-LR
1910,tas,15.410468,historical,MPI-ESM1-2-LR
1911,tas,15.578827,historical,MPI-ESM1-2-LR
1912,tas,15.426638,historical,MPI-ESM1-2-LR
1913,tas,15.388352,historical,MPI-ESM1-2-LR
1914,tas,15.603694,historical,MPI-ESM1-2-LR
