year,variable,value,scenario,model
1850,tas,13.211106,historical,MPI-ESM1-2-LR
1851,tas,13.38045,historical,MPI-ESM1-2-LR
1852,tas,13.293376,historical,MPI-ESM1-2-LR
1853,tas,13.780796,historical,MPI-ESM1-2-LR
1854,tas,13.428978,historical,MPI-ESM1-2-LR
1855,tas,13.218576,historical,MPI-ESM1-2-LR
1856,tas,13.457277,historical,MPI-ESM1-2-LR
1857,tas,13.813058,historical,MPI-ESM1-2-LR
1858,tas,13.299776,historical,MPI-ESM1-2-LR
1859,tas,13.470927,historical,MPI-ESM1-2-LR
1860,tas,13.436597,historical,MPI-ESM1-2-LR
1861,tas,13.508345,historical,MPI-ESM1-2-LR
1862,tas,13.383673,historical,MPI-ESM1-2-LR
1863,tas,13.421605,historical,MPI-ESM1-2-LR
1864,tas,13.487948,historical,MPI-ESM1-2-LR
1865,tas,13.439248,historical,MPI-ESM1-2-LR
1866,tas,13.259724,historical,MPI-ESM1-2-LR
1867,tas,13.124758,historical,MPI-ESM1-2-LR
1868,tas,13.30506,historical,MPI-ESM1-2-LR
1869,tas,13.477658,historical,MPI-ESM1-2-LR
1870,tas,13.478233,historical,MPI-ESM1-2-LR
1871,tas,13.280392,historical,MPI-ESM1-2-LR
1872,tas,13.370467,historical,MPI-ESM1-2-LR
1873,tas,13.43064,historical,MPI-ESM1-2-LR
1874,tas,13.234096,historical,MPI-ESM1-2-LR
1875,tas,13.251914,historical,MPI-ESM1-2-LR
1876,tas,13.125672,historical,MPI-ESM1-2-LR
1877,tas,13.389595,historical,MPI-ESM1-2-LR
1878,tas,13.284849,historical,MPI-ESM1-2-LR
1879,tas,13.623988,historical,MPI-ESM1-2-LR
1880,tas,13.201454,historical,MPI-ESM1-2-LR
1881,tas,13.271525,historical,MPI-ESM1-2-LR
1882,tas,13.30676,historical,MPI-ESM1-2-LR
1883,tas,13.380337,historical,MPI-ESM1-2-LR
1884,tas,13.120092,historical,MPI-ESM1-2-LR
1885,tas,12.978952,historical,MPI-ESM1-2-LR
1886,tas,13.346455,historical,MPI-ESM1-2-LR
1887,tas,13.265756,historical,MPI-ESM1-2-LR
1888,tas,13.507659,historical,MPI-ESM1-2-LR
1889,tas,13.571116,historical,MPI-ESM1-2-LR
1890,tas,13.698969,historical,MPI-ESM1-2-LR
1891,tas,13.277881,historical,MPI-ESM1-2-LR
1892,tas,13.146793,historical,MPI-ESM1-2-LR
1893,tas,13.193493,historical,MPI-ESM1-2-LR
1894,tas,12.908578,historical,MPI-ESM1-2-LR
1895,tas,13.480132,historical,MPI-ESM1-2-LR
1896,tas,13.361683,historical,MPI-ESM1-2-LR
1897,tas,13.617067,historical,MPI-ESM1-2-LR
