year,variable,value,scenario,model
1850,tas,15.369508,historical,MPI-ESM1-2-LR
1851,tas,15.283366,historical,MPI-ESM1-2-LR
1852,tas,15.426443,historical,MPI-ESM1-2-LR
1853,tas,15.656768,historical,MPI-ESM1-2-LR
1854,tas,15.682313,historical,MPI-ESM1-2-LR
1855,tas,15.366503,historical,MPI-ESM1-2-LR
1856,tas,15.218486,historical,MPI-ESM1-2-LR
1857,tas,15.393924,historical,MPI-ESM1-2-LR
1858,tas,15.386549,historical,MPI-ESM1-2-LR
1859,tas,15.389329,historical,MPI-ESM1-2-LR
1860,tas,15.381389,historical,MPI-ESM1-2-LR
1861,tas,15.567659,historical,MPI-ESM1-2-LR
1862,tas,15.263032,historical,MPI-ESM1-2-LR
1863,tas,15.227238,historical,MPI-ESM1-2-LR
1864,tas,15.500332,historical,MPI-ESM1-2-LR
1865,tas,15.517959,historical,MPI-ESM1-2-LR
1866,tas,15.385586,historical,MPI-ESM1-2-LR
1867,tas,15.335029,historical,MPI-ESM1-2-LR
1868,tas,15.273769,historical,MPI-ESM1-2-LR
1869,tas,15.379645,historical,MPI-ESM1-2-LR
1870,tas,15.670456,historical,MPI-ESM1-2-LR
1871,tas,15.45013,historical,MPI-ESM1-2-LR
1872,tas,15.479955,historical,MPI-ESM1-2-LR
1873,tas,15.392105,historical,MPI-ESM1-2-LR
1874,tas,15.173248,historical,MPI-ESM1-2-LR
1875,tas,15.126794,historical,MPI-ESM1-2-LR
1876,tas,15.437065,historical,MPI-ESM1-2-LR
1877,tas,15.008495,historical,MPI-ESM1-2-LR
1878,tas,15.309139,historical,MPI-ESM1-2-LR
1879,tas,15.533972,historical,MPI-ESM1-2-LR
1880,tas,15.501902,historical,MPI-ESM1-2-LR
1881,tas,15.191243,historical,MPI-ESM1-2-LR
1882,tas,15.306111,historical,MPI-ESM1-2-LR
1883,tas,15.484563,historical,MPI-ESM1-2-LR
1884,tas,15.174728,historical,MPI-ESM1-2-LR
1885,tas,14.964188,historical,MPI-ESM1-2-LR
1886,tas,15.11094,historical,MPI-ESM1-2-LR
1887,tas,15.311059,historical,MPI-ESM1-2-LR
1888,tas,15.316478,historical,MPI-ESM1-2-LR
1889,tas,15.882955,historical,MPI-ESM1-2-LR
1890,tas,15.758485,historical,MPI-ESM1-2-LR
1891,tas,15.481716,historical,MPI-ESM1-2-LR
1892,tas,15.341743,historical,MPI-ESM1-2-LR
1893,tas,15.429841,historical,MPI-ESM1-2-LR
1894,tas,15.456131,historical,MPI-ESM1-2-LR
1895,tas,15.475128,historical,MPI-ESM1-2-LR
1896,tas,15.558197,historical,MPI-ESM1-2-LR
1897,tas,15.524157,historical,MPI-ESM1-2-LR
1898,tas,15.381182,historical,MPI-ESM1-2-LR
1899,tas,15.452269,historical,MPI-ESM1-2-LR
1900,tas,15.188782,historical,MPI-ESM1-2-LR
1901,tas,15.303353,historical,MPI-ESM1-2-LR
1902,tas,15.520132,historical,MPI-ESM1-2-LR
1903,tas,15.11611,historical,MPI-ESM1-2-LR
1904,tas,15.428286,historical,MPI-ESM1-2-LR
1905,tas,15.547875,historical,MPI-ESM1-2-LR
1906,tas,15.302037,historical,MPI-ESM1-2-LR
1907,tas,15.526575,historical,MPI-ESM1-2-LR
1908,tas,15.32796,historical,MPI-ESM1-2-LR
1909,tas,15.275262,historical,MPI-ESM1-2-LR
1910,tas,15.510254,historical,MPI-ESM1-2-LR
1911,tas,15.770958,historical,MPI-ESM1-2-LR
1912,tas,15.41732,historical,MPI-ESM1-2-LR
1913,tas,15.414771,historical,MPI-ESM1-2-LR
1914,tas,15.632476,historical,MPI-ESM1-2-LR
1915,tas,15.472042,historical,MPI-ESM1-2-LR
1916,tas,15.351498,historical,MPI-ESM1-2-LR
1917,tas,15.304199,historical,MPI-ESM1-2-LR
1918,tas,15.18479,historical,MPI-ESM1-2-LR
1919,tas,15.377306,historical,MPI-ESM1-2-LR
1920,tas,15.59854,historical,MPI-ESM1-2-LR
1921,tas,15.401811,historical,MPI-ESM1-2-LR
1922,tas,15.572728,historical,MPI-ESM1-2-LR
1923,tas,15.576065,historical,MPI-ESM1-2-LR
1924,tas,15.65659,historical,MPI-ESM1-2-LR
1925,tas,15.443209,historical,MPI-ESM1-2-LR
1926,tas,15.555832,historical,MPI-ESM1-2-LR
1927,tas,15.620048,historical,MPI-ESM1-2-LR
1928,tas,15.719716,historical,MPI-ESM1-2-LR
1929,tas,15.678484,historical,MPI-ESM1-2-LR
1930,tas,15.456529,historical,MPI-ESM1-2-LR
1931,tas,15.676144,historical,MPI-ESM1-2-LR
1932,tas,15.518198,historical,MPI-ESM1-2-LR
1933,tas,15.478044,historical,MPI-ESM1-2-LR
1934,tas,15.468714,historical,MPI-ESM1-2-LR
1935,tas,15.626422,historical,MPI-ESM1-2-LR
1936,tas,15.506962,historical,MPI-ESM1-2-LR
1937,tas,15.435132,historical,MPI-ESM1-2-LR
1938,tas,15.861095,historical,MPI-ESM1-2-LR
1939,tas,15.405063,historical,MPI-ESM1-2-LR
1940,tas,15.697621,historical,MPI-ESM1-2-LR
1941,tas,15.605793,historical,MPI-ESM1-2-LR
1942,tas,15.892223,historical,MPI-ESM1-2-LR
1943,tas,15.841494,historical,MPI-ESM1-2-LR
1944,tas,15.579469,historical,MPI-ESM1-2-LR
1945,tas,15.566022,historical,MPI-ESM1-2-LR
1946,tas,15.726227,historical,MPI-ESM1-2-LR
1947,tas,15.848443,historical,MPI-ESM1-2-LR
1948,tas,15.62926,historical,MPI-ESM1-2-LR
1949,tas,15.666962,historical,MPI-ESM1-2-LR
1950,tas,15.687331,historical,MPI-ESM1-2-LR
1951,tas,15.831588,historical,MPI-ESM1-2-LR
1952,tas,15.795954,historical,MPI-ESM1-2-LR
1953,tas,15.685642,historical,MPI-ESM1-2-LR
1954,tas,15.662,historical,MPI-ESM1-2-LR
1955,tas,15.586547,historical,MPI-ESM1-2-LR
1956,tas,15.479758,historical,MPI-ESM1-2-LR
1957,tas,15.599252,historical,MPI-ESM1-2-LR
1958,tas,15.555907,historical,MPI-ESM1-2-LR
1959,tas,15.751663,historical,MPI-ESM1-2-LR
1960,tas,15.886699,historical,MPI-ESM1-2-LR
1961,tas,16.064315,historical,MPI-ESM1-2-LR
1962,tas,15.533747,historical,MPI-ESM1-2-LR
1963,tas,15.247755,historical,MPI-ESM1-2-LR
1964,tas,15.37078,historical,MPI-ESM1-2-LR
1965,tas,15.435712,historical,MPI-ESM1-2-LR
1966,tas,15.536307,historical,MPI-ESM1-2-LR
1967,tas,15.736606,historical,MPI-ESM1-2-LR
