year,variable,value,scenario,model
1850,tas,15.051637,historical,MPI-ESM1-2-LR
1851,tas,15.013193,historical,MPI-ESM1-2-LR
1852,tas,15.202454,historical,MPI-ESM1-2-LR
1853,tas,15.40645,historical,MPI-ESM1-2-LR
1854,tas,15.2117,historical,MPI-ESM1-2-LR
1855,tas,15.244899,historical,MPI-ESM1-2-LR
1856,tas,14.997182,historical,MPI-ESM1-2-LR
1857,tas,15.263211,historical,MPI-ESM1-2-LR
1858,tas,14.917625,historical,MPI-ESM1-2-LR
1859,tas,15.152949,historical,MPI-ESM1-2-LR
1860,tas,15.254403,historical,MPI-ESM1-2-LR
1861,tas,15.167369,historical,MPI-ESM1-2-LR
1862,tas,14.986714,historical,MPI-ESM1-2-LR
1863,tas,15.145826,historical,MPI-ESM1-2-LR
1864,tas,15.19783,historical,MPI-ESM1-2-LR
1865,tas,15.151357,historical,MPI-ESM1-2-LR
1866,tas,15.015709,historical,MPI-ESM1-2-LR
1867,tas,15.180013,historical,MPI-ESM1-2-LR
1868,tas,14.893163,historical,MPI-ESM1-2-LR
1869,tas,15.131223,historical,MPI-ESM1-2-LR
1870,tas,15.140653,historical,MPI-ESM1-2-LR
1871,tas,14.984479,historical,MPI-ESM1-2-LR
1872,tas,14.904464,historical,MPI-ESM1-2-LR
1873,tas,14.87615,historical,MPI-ESM1-2-LR
1874,tas,14.883377,historical,MPI-ESM1-2-LR
1875,tas,14.90012,historical,MPI-ESM1-2-LR
1876,tas,14.958708,historical,MPI-ESM1-2-LR
1877,tas,14.812301,historical,MPI-ESM1-2-LR
1878,tas,14.965412,historical,MPI-ESM1-2-LR
1879,tas,15.08207,historical,MPI-ESM1-2-LR
1880,tas,14.923783,historical,MPI-ESM1-2-LR
1881,tas,14.825682,historical,MPI-ESM1-2-LR
1882,tas,15.037709,historical,MPI-ESM1-2-LR
1883,tas,15.167655,historical,MPI-ESM1-2-LR
1884,tas,14.73867,historical,MPI-ESM1-2-LR
1885,tas,14.904435,historical,MPI-ESM1-2-LR
1886,tas,14.905659,historical,MPI-ESM1-2-LR
1887,tas,15.087422,historical,MPI-ESM1-2-LR
1888,tas,15.021928,historical,MPI-ESM1-2-LR
1889,tas,15.229597,historical,MPI-ESM1-2-LR
1890,tas,15.280701,historical,MPI-ESM1-2-LR
1891,tas,14.830717,historical,MPI-ESM1-2-LR
1892,tas,14.713018,historical,MPI-ESM1-2-LR
1893,tas,15.0831,historical,MPI-ESM1-2-LR
1894,tas,14.968203,historical,MPI-ESM1-2-LR
1895,tas,14.947395,historical,MPI-ESM1-2-LR
1896,tas,14.918314,historical,MPI-ESM1-2-LR
1897,tas,15.297141,historical,MPI-ESM1-2-LR
1898,tas,14.939674,historical,MPI-ESM1-2-LR
1899,tas,14.983477,historical,MPI-ESM1-2-LR
1900,tas,15.115707,historical,MPI-ESM1-2-LR
1901,tas,15.223016,historical,MPI-ESM1-2-LR
1902,tas,15.320713,historical,MPI-ESM1-2-LR
1903,tas,14.842192,historical,MPI-ESM1-2-LR
1904,tas,14.991158,historical,MPI-ESM1-2-LR
1905,tas,15.20218,historical,MPI-ESM1-2-LR
1906,tas,15.000523,historical,MPI-ESM1-2-LR
1907,tas,14.995853,historical,MPI-ESM1-2-LR
1908,tas,15.009284,historical,MPI-ESM1-2-LR
1909,tas,15.037731,historical,MPI-ESM1-2-LR
1910,tas,15.124599,historical,MPI-ESM1-2-LR
1911,tas,15.180495,historical,MPI-ESM1-2-LR
1912,tas,14.903283,historical,MPI-ESM1-2-LR
1913,tas,15.153283,historical,MPI-ESM1-2-LR
1914,tas,15.151534,historical,MPI-ESM1-2-LR
1915,tas,15.156539,historical,MPI-ESM1-2-LR
1916,tas,15.003053,historical,MPI-ESM1-2-LR
1917,tas,14.842958,historical,MPI-ESM1-2-LR
1918,tas,14.896554,historical,MPI-ESM1-2-LR
1919,tas,15.046597,historical,MPI-ESM1-2-LR
1920,tas,15.197192,historical,MPI-ESM1-2-LR
1921,tas,15.10204,historical,MPI-ESM1-2-LR
1922,tas,15.249787,historical,MPI-ESM1-2-LR
1923,tas,15.140739,historical,MPI-ESM1-2-LR
1924,tas,15.20683,historical,MPI-ESM1-2-LR
1925,tas,14.943921,historical,MPI-ESM1-2-LR
1926,tas,15.281557,historical,MPI-ESM1-2-LR
1927,tas,15.32179,historical,MPI-ESM1-2-LR
1928,tas,15.461304,historical,MPI-ESM1-2-LR
1929,tas,15.242184,historical,MPI-ESM1-2-LR
1930,tas,15.490496,historical,MPI-ESM1-2-LR
1931,tas,15.368432,historical,MPI-ESM1-2-LR
1932,tas,15.20169,historical,MPI-ESM1-2-LR
1933,tas,15.427659,historical,MPI-ESM1-2-LR
1934,tas,15.32621,historical,MPI-ESM1-2-LR
1935,tas,15.372865,historical,MPI-ESM1-2-LR
1936,tas,15.187634,historical,MPI-ESM1-2-LR
1937,tas,15.297439,historical,MPI-ESM1-2-LR
1938,tas,15.372366,historical,MPI-ESM1-2-LR
1939,tas,15.253668,historical,MPI-ESM1-2-LR
1940,tas,15.375694,historical,MPI-ESM1-2-LR
1941,tas,15.382496,historical,MPI-ESM1-2-LR
1942,tas,15.578219,historical,MPI-ESM1-2-LR
1943,tas,15.473088,historical,MPI-ESM1-2-LR
1944,tas,15.361217,historical,MPI-ESM1-2-LR
1945,tas,15.490428,historical,MPI-ESM1-2-LR
1946,tas,15.518914,historical,MPI-ESM1-2-LR
1947,tas,15.465826,historical,MPI-ESM1-2-LR
1948,tas,15.258467,historical,MPI-ESM1-2-LR
1949,tas,15.471443,historical,MPI-ESM1-2-LR
1950,tas,15.393166,historical,MPI-ESM1-2-LR
1951,tas,15.231556,historical,MPI-ESM1-2-LR
1952,tas,15.548075,historical,MPI-ESM1-2-LR
1953,tas,15.415857,historical,MPI-ESM1-2-LR
1954,tas,15.367924,historical,MPI-ESM1-2-LR
1955,tas,15.017806,historical,MPI-ESM1-2-LR
1956,tas,15.325271,historical,MPI-ESM1-2-LR
1957,tas,15.147748,historical,MPI-ESM1-2-LR
1958,tas,15.166317,historical,MPI-ESM1-2-LR
