year,variable,value,scenario,model
1850,tas,11.451817,historical,MPI-ESM1-2-LR
1851,tas,11.184194,historical,MPI-ESM1-2-LR
1852,tas,11.325147,historical,MPI-ESM1-2-LR
1853,tas,11.680712,historical,MPI-ESM1-2-LR
1854,tas,12.067028,historical,MPI-ESM1-2-LR
1855,tas,11.852392,historical,MPI-ESM1-2-LR
1856,tas,11.729992,historical,MPI-ESM1-2-LR
1857,tas,11.400526,historical,MPI-ESM1-2-LR
1858,tas,11.861927,historical,MPI-ESM1-2-LR
1859,tas,11.957827,historical,MPI-ESM1-2-LR
1860,tas,11.803425,historical,MPI-ESM1-2-LR
1861,tas,11.69224,historical,MPI-ESM1-2-LR
1862,tas,11.73105,historical,MPI-ESM1-2-LR
1863,tas,11.609696,historical,MPI-ESM1-2-LR
1864,tas,11.967953,historical,MPI-ESM1-2-LR
1865,tas,12.059205,historical,MPI-ESM1-2-LR
1866,tas,11.650631,historical,MPI-ESM1-2-LR
1867,tas,11.562391,historical,MPI-ESM1-2-LR
1868,tas,11.619227,historical,MPI-ESM1-2-LR
1869,tas,11.479826,historical,MPI-ESM1-2-LR
1870,tas,11.624877,historical,MPI-ESM1-2-LR
1871,tas,11.838773,historical,MPI-ESM1-2-LR
1872,tas,11.577769,historical,MPI-ESM1-2-LR
1873,tas,11.627329,historical,MPI-ESM1-2-LR
1874,tas,11.603391,historical,MPI-ESM1-2-LR
1875,tas,11.196221,historical,MPI-ESM1-2-LR
1876,tas,11.355965,historical,MPI-ESM1-2-LR
1877,tas,11.539635,historical,MPI-ESM1-2-LR
1878,tas,11.57139,historical,MPI-ESM1-2-LR
1879,tas,11.769704,historical,MPI-ESM1-2-LR
1880,tas,11.390204,historical,MPI-ESM1-2-LR
1881,tas,11.483832,historical,MPI-ESM1-2-LR
1882,tas,11.374774,historical,MPI-ESM1-2-LR
1883,tas,11.659157,historical,MPI-ESM1-2-LR
1884,tas,11.510996,historical,MPI-ESM1-2-LR
1885,tas,10.880613,historical,MPI-ESM1-2-LR
1886,tas,11.318237,historical,MPI-ESM1-2-LR
1887,tas,11.297941,historical,MPI-ESM1-2-LR
1888,tas,11.689939,historical,MPI-ESM1-2-LR
1889,tas,11.901661,historical,MPI-ESM1-2-LR
1890,tas,11.903776,historical,MPI-ESM1-2-LR
1891,tas,11.656126,historical,MPI-ESM1-2-LR
1892,tas,11.207899,historical,MPI-ESM1-2-LR
1893,tas,11.228216,historical,MPI-ESM1-2-LR
1894,tas,11.406248,historical,MPI-ESM1-2-LR
1895,tas,11.758977,historical,MPI-ESM1-2-LR
1896,tas,11.754875,historical,MPI-ESM1-2-LR
1897,tas,11.844086,historical,MPI-ESM1-2-LR
1898,tas,11.469593,historical,MPI-ESM1-2-LR
1899,tas,11.359368,historical,MPI-ESM1-2-LR
1900,tas,11.273173,historical,MPI-ESM1-2-LR
1901,tas,11.291005,historical,MPI-ESM1-2-LR
1902,tas,11.608476,historical,MPI-ESM1-2-LR
1903,tas,11.137694,historical,MPI-ESM1-2-LR
1904,tas,11.369063,historical,MPI-ESM1-2-LR
1905,tas,11.751082,historical,MPI-ESM1-2-LR
1906,tas,11.58228,historical,MPI-ESM1-2-LR
1907,tas,11.768527,historical,MPI-ESM1-2-LR
1908,tas,11.547393,historical,MPI-ESM1-2-LR
1909,tas,11.453786,historical,MPI-ESM1-2-LR
1910,tas,11.317357,historical,MPI-ESM1-2-LR
1911,tas,11.441108,historical,MPI-ESM1-2-LR
1912,tas,11.530159,historical,MPI-ESM1-2-LR
1913,tas,11.64028,historical,MPI-ESM1-2-LR
1914,tas,11.809417,historical,MPI-ESM1-2-LR
1915,tas,11.848877,historical,MPI-ESM1-2-LR
1916,tas,11.442377,historical,MPI-ESM1-2-LR
1917,tas,11.515714,historical,MPI-ESM1-2-LR
1918,tas,11.509675,historical,MPI-ESM1-2-LR
1919,tas,11.480487,historical,MPI-ESM1-2-LR
1920,tas,11.627106,historical,MPI-ESM1-2-LR
1921,tas,11.876676,historical,MPI-ESM1-2-LR
1922,tas,11.52708,historical,MPI-ESM1-2-LR
1923,tas,11.848794,historical,MPI-ESM1-2-LR
