year,variable,value,scenario,model
1850,tas,15.446721,historical,MPI-ESM1-2-LR
1851,tas,15.550679,historical,MPI-ESM1-2-LR
1852,tas,15.416958,historical,MPI-ESM1-2-LR
1853,tas,15.706019,historical,MPI-ESM1-2-LR
1854,tas,15.500091,historical,MPI-ESM1-2-LR
1855,tas,15.54672,historical,MPI-ESM1-2-LR
1856,tas,15.251918,historical,MPI-ESM1-2-LR
1857,tas,15.473601,historical,MPI-ESM1-2-LR
1858,tas,15.151504,historical,MPI-ESM1-2-LR
1859,tas,15.319018,historical,MPI-ESM1-2-LR
1860,tas,15.479843,historical,MPI-ESM1-2-LR
1861,tas,15.372858,historical,MPI-ESM1-2-LR
1862,tas,15.424959,historical,MPI-ESM1-2-LR
1863,tas,15.221278,historical,MPI-ESM1-2-LR
1864,tas,15.658668,historical,MPI-ESM1-2-LR
1865,tas,15.560264,historical,MPI-ESM1-2-LR
1866,tas,15.396705,historical,MPI-ESM1-2-LR
1867,tas,15.345694,historical,MPI-ESM1-2-LR
1868,tas,15.520242,historical,MPI-ESM1-2-LR
1869,tas,15.510098,historical,MPI-ESM1-2-LR
1870,tas,15.585665,historical,MPI-ESM1-2-LR
1871,tas,15.437448,historical,MPI-ESM1-2-LR
1872,tas,15.473322,historical,MPI-ESM1-2-LR
1873,tas,15.309009,historical,MPI-ESM1-2-LR
1874,tas,15.390926,historical,MPI-ESM1-2-LR
1875,tas,15.252787,historical,MPI-ESM1-2-LR
1876,tas,15.318663,historical,MPI-ESM1-2-LR
1877,tas,15.279676,historical,MPI-ESM1-2-LR
1878,tas,15.46515,historical,MPI-ESM1-2-LR
1879,tas,15.564877,historical,MPI-ESM1-2-LR
1880,tas,15.46926,historical,MPI-ESM1-2-LR
1881,tas,15.449302,historical,MPI-ESM1-2-LR
1882,tas,15.392736,historical,MPI-ESM1-2-LR
1883,tas,15.405902,historical,MPI-ESM1-2-LR
1884,tas,15.190439,historical,MPI-ESM1-2-LR
1885,tas,15.220265,historical,MPI-ESM1-2-LR
1886,tas,15.253437,historical,MPI-ESM1-2-LR
1887,tas,15.212506,historical,MPI-ESM1-2-LR
1888,tas,15.367914,historical,MPI-ESM1-2-LR
1889,tas,15.651832,historical,MPI-ESM1-2-LR
1890,tas,15.664755,historical,MPI-ESM1-2-LR
1891,tas,15.255044,historical,MPI-ESM1-2-LR
1892,tas,15.298738,historical,MPI-ESM1-2-LR
1893,tas,15.58618,historical,MPI-ESM1-2-LR
1894,tas,15.329466,historical,MPI-ESM1-2-LR
1895,tas,15.309771,historical,MPI-ESM1-2-LR
1896,tas,15.58573,historical,MPI-ESM1-2-LR
1897,tas,15.431939,historical,MPI-ESM1-2-LR
1898,tas,15.23938,historical,MPI-ESM1-2-LR
1899,tas,15.415353,historical,MPI-ESM1-2-LR
1900,tas,15.233087,historical,MPI-ESM1-2-LR
1901,tas,15.6102,historical,MPI-ESM1-2-LR
1902,tas,15.575503,historical,MPI-ESM1-2-LR
1903,tas,15.249862,historical,MPI-ESM1-2-LR
1904,tas,15.305957,historical,MPI-ESM1-2-LR
1905,tas,15.611221,historical,MPI-ESM1-2-LR
1906,tas,15.213384,historical,MPI-ESM1-2-LR
1907,tas,15.357198,historical,MPI-ESM1-2-LR
1908,tas,15.349935,historical,MPI-ESM1-2-LR
1909,tas,15.304602,historical,MPI-ESM1-2-LR
1910,tas,15.489554,historical,MPI-ESM1-2-LR
1911,tas,15.562813,historical,MPI-ESM1-2-LR
1912,tas,15.461505,historical,MPI-ESM1-2-LR
1913,tas,15.694777,historical,MPI-ESM1-2-LR
1914,tas,15.484393,historical,MPI-ESM1-2-LR
1915,tas,15.54308,historical,MPI-ESM1-2-LR
1916,tas,15.385729,historical,MPI-ESM1-2-LR
1917,tas,15.230908,historical,MPI-ESM1-2-LR
1918,tas,15.189773,historical,MPI-ESM1-2-LR
1919,tas,15.422118,historical,MPI-ESM1-2-LR
1920,tas,15.678163,historical,MPI-ESM1-2-LR
1921,tas,15.575854,historical,MPI-ESM1-2-LR
1922,tas,15.489363,historical,MPI-ESM1-2-LR
