year,variable,value,scenario,model
1850,tas,15.259001,historical,MPI-ESM1-2-LR
1851,tas,15.192736,historical,MPI-ESM1-2-LR
1852,tas,15.261244,historical,MPI-ESM1-2-LR
1853,tas,15.586582,historical,MPI-ESM1-2-LR
1854,tas,15.345079,historical,MPI-ESM1-2-LR
1855,tas,15.334211,historical,MPI-ESM1-2-LR
1856,tas,15.079403,historical,MPI-ESM1-2-LR
1857,tas,15.259711,historical,MPI-ESM1-2-LR
1858,tas,15.426606,historical,MPI-ESM1-2-LR
1859,tas,15.417418,historical,MPI-ESM1-2-LR
1860,tas,15.203995,historical,MPI-ESM1-2-LR
1861,tas,15.353345,historical,MPI-ESM1-2-LR
1862,tas,15.158856,historical,MPI-ESM1-2-LR
1863,tas,15.184499,historical,MPI-ESM1-2-LR
1864,tas,15.480696,historical,MPI-ESM1-2-LR
1865,tas,15.490437,historical,MPI-ESM1-2-LR
1866,tas,15.232445,historical,MPI-ESM1-2-LR
1867,tas,15.327643,historical,MPI-ESM1-2-LR
1868,tas,15.160734,historical,MPI-ESM1-2-LR
1869,tas,15.076632,historical,MPI-ESM1-2-LR
1870,tas,15.509535,historical,MPI-ESM1-2-LR
1871,tas,15.370401,historical,MPI-ESM1-2-LR
1872,tas,15.341745,historical,MPI-ESM1-2-LR
1873,tas,15.471373,historical,MPI-ESM1-2-LR
1874,tas,15.117164,historical,MPI-ESM1-2-LR
1875,tas,15.118787,historical,MPI-ESM1-2-LR
1876,tas,15.20222,historical,MPI-ESM1-2-LR
1877,tas,15.10062,historical,MPI-ESM1-2-LR
1878,tas,15.191055,historical,MPI-ESM1-2-LR
1879,tas,15.297706,historical,MPI-ESM1-2-LR
1880,tas,15.353749,historical,MPI-ESM1-2-LR
1881,tas,15.00755,historical,MPI-ESM1-2-LR
1882,tas,15.203996,historical,MPI-ESM1-2-LR
1883,tas,15.305662,historical,MPI-ESM1-2-LR
1884,tas,14.885164,historical,MPI-ESM1-2-LR
1885,tas,14.866991,historical,MPI-ESM1-2-LR
1886,tas,15.00621,historical,MPI-ESM1-2-LR
1887,tas,15.089174,historical,MPI-ESM1-2-LR
1888,tas,15.311195,historical,MPI-ESM1-2-LR
1889,tas,15.529167,historical,MPI-ESM1-2-LR
1890,tas,15.473667,historical,MPI-ESM1-2-LR
1891,tas,15.211122,historical,MPI-ESM1-2-LR
1892,tas,15.11366,historical,MPI-ESM1-2-LR
1893,tas,15.367971,historical,MPI-ESM1-2-LR
1894,tas,15.23898,historical,MPI-ESM1-2-LR
1895,tas,15.178456,historical,MPI-ESM1-2-LR
1896,tas,15.340134,historical,MPI-ESM1-2-LR
1897,tas,15.445309,historical,MPI-ESM1-2-LR
1898,tas,15.153145,historical,MPI-ESM1-2-LR
1899,tas,15.106746,historical,MPI-ESM1-2-LR
1900,tas,14.97067,historical,MPI-ESM1-2-LR
1901,tas,15.217572,historical,MPI-ESM1-2-LR
1902,tas,15.332297,historical,MPI-ESM1-2-LR
1903,tas,14.857729,historical,MPI-ESM1-2-LR
