year,variable,value,scenario,model
1850,tas,14.967076,historical,MPI-ESM1-2-LR
1851,tas,14.914725,historical,MPI-ESM1-2-LR
1852,tas,15.007342,historical,MPI-ESM1-2-LR
1853,tas,15.254531,historical,MPI-ESM1-2-LR
1854,tas,14.981477,historical,MPI-ESM1-2-LR
1855,tas,15.086723,historical,MPI-ESM1-2-LR
1856,tas,14.904439,historical,MPI-ESM1-2-LR
1857,tas,14.89311,historical,MPI-ESM1-2-LR
1858,tas,14.975725,historical,MPI-ESM1-2-LR
1859,tas,14.897096,historical,MPI-ESM1-2-LR
1860,tas,15.203962,historical,MPI-ESM1-2-LR
1861,tas,15.013486,historical,MPI-ESM1-2-LR
1862,tas,14.947438,historical,MPI-ESM1-2-LR
1863,tas,15.013395,historical,MPI-ESM1-2-LR
1864,tas,15.123312,historical,MPI-ESM1-2-LR
1865,tas,15.041431,historical,MPI-ESM1-2-LR
1866,tas,14.551564,historical,MPI-ESM1-2-LR
1867,tas,14.892971,historical,MPI-ESM1-2-LR
1868,tas,14.890549,historical,MPI-ESM1-2-LR
1869,tas,14.8222,historical,MPI-ESM1-2-LR
1870,tas,15.208384,historical,MPI-ESM1-2-LR
1871,tas,15.083198,historical,MPI-ESM1-2-LR
1872,tas,14.97604,historical,MPI-ESM1-2-LR
1873,tas,14.829631,historical,MPI-ESM1-2-LR
1874,tas,14.687081,historical,MPI-ESM1-2-LR
1875,tas,14.738025,historical,MPI-ESM1-2-LR
1876,tas,14.852435,historical,MPI-ESM1-2-LR
1877,tas,14.728176,historical,MPI-ESM1-2-LR
1878,tas,14.83639,historical,MPI-ESM1-2-LR
1879,tas,15.010734,historical,MPI-ESM1-2-LR
1880,tas,14.686848,historical,MPI-ESM1-2-LR
1881,tas,14.725593,historical,MPI-ESM1-2-LR
1882,tas,14.83359,historical,MPI-ESM1-2-LR
1883,tas,15.015844,historical,MPI-ESM1-2-LR
1884,tas,14.547272,historical,MPI-ESM1-2-LR
1885,tas,14.655847,historical,MPI-ESM1-2-LR
1886,tas,14.691905,historical,MPI-ESM1-2-LR
1887,tas,14.868362,historical,MPI-ESM1-2-LR
1888,tas,14.912846,historical,MPI-ESM1-2-LR
1889,tas,15.061817,historical,MPI-ESM1-2-LR
1890,tas,15.154696,historical,MPI-ESM1-2-LR
1891,tas,14.623175,historical,MPI-ESM1-2-LR
1892,tas,14.544647,historical,MPI-ESM1-2-LR
1893,tas,14.820655,historical,MPI-ESM1-2-LR
1894,tas,14.906104,historical,MPI-ESM1-2-LR
1895,tas,14.826796,historical,MPI-ESM1-2-LR
1896,tas,15.07381,historical,MPI-ESM1-2-LR
1897,tas,15.110617,historical,MPI-ESM1-2-LR
1898,tas,14.936896,historical,MPI-ESM1-2-LR
1899,tas,14.761483,historical,MPI-ESM1-2-LR
1900,tas,14.989392,historical,MPI-ESM1-2-LR
1901,tas,15.038876,historical,MPI-ESM1-2-LR
1902,tas,14.799352,historical,MPI-ESM1-2-LR
1903,tas,14.872831,historical,MPI-ESM1-2-LR
1904,tas,14.862872,historical,MPI-ESM1-2-LR
1905,tas,15.029965,historical,MPI-ESM1-2-LR
1906,tas,14.885327,historical,MPI-ESM1-2-LR
1907,tas,14.960713,historical,MPI-ESM1-2-LR
1908,tas,14.914181,historical,MPI-ESM1-2-LR
1909,tas,14.800717,historical,MPI-ESM1-2-LR
1910,tas,14.884252,historical,MPI-ESM1-2-LR
1911,tas,15.148354,historical,MPI-ESM1-2-LR
1912,tas,14.803754,historical,MPI-ESM1-2-LR
1913,tas,15.050508,historical,MPI-ESM1-2-LR
1914,tas,15.157499,historical,MPI-ESM1-2-LR
1915,tas,14.977282,historical,MPI-ESM1-2-LR
1916,tas,14.860305,historical,MPI-ESM1-2-LR
1917,tas,14.697728,historical,MPI-ESM1-2-LR
1918,tas,14.795465,historical,MPI-ESM1-2-LR
1919,tas,14.730225,historical,MPI-ESM1-2-LR
1920,tas,14.842935,historical,MPI-ESM1-2-LR
1921,tas,14.910456,historical,MPI-ESM1-2-LR
1922,tas,15.069348,historical,MPI-ESM1-2-LR
1923,tas,14.994774,historical,MPI-ESM1-2-LR
1924,tas,14.907321,historical,MPI-ESM1-2-LR
1925,tas,14.95393,historical,MPI-ESM1-2-LR
1926,tas,15.160158,historical,MPI-ESM1-2-LR
1927,tas,15.255794,historical,MPI-ESM1-2-LR
1928,tas,15.252742,historical,MPI-ESM1-2-LR
1929,tas,15.141087,historical,MPI-ESM1-2-LR
1930,tas,15.143144,historical,MPI-ESM1-2-LR
1931,tas,15.011745,historical,MPI-ESM1-2-LR
1932,tas,15.017069,historical,MPI-ESM1-2-LR
1933,tas,15.08768,historical,MPI-ESM1-2-LR
1934,tas,15.105221,historical,MPI-ESM1-2-LR
1935,tas,15.156793,historical,MPI-ESM1-2-LR
1936,tas,15.098516,historical,MPI-ESM1-2-LR
1937,tas,15.129632,historical,MPI-ESM1-2-LR
1938,tas,15.200073,historical,MPI-ESM1-2-LR
1939,tas,15.171858,historical,MPI-ESM1-2-LR
1940,tas,15.184394,historical,MPI-ESM1-2-LR
1941,tas,15.097229,historical,MPI-ESM1-2-LR
1942,tas,15.472941,historical,MPI-ESM1-2-LR
1943,tas,15.426851,historical,MPI-ESM1-2-LR
1944,tas,15.196299,historical,MPI-ESM1-2-LR
1945,tas,15.314233,historical,MPI-ESM1-2-LR
1946,tas,15.3715,historical,MPI-ESM1-2-LR
1947,tas,15.1687,historical,MPI-ESM1-2-LR
1948,tas,15.038306,historical,MPI-ESM1-2-LR
1949,tas,15.309689,historical,MPI-ESM1-2-LR
1950,tas,15.186192,historical,MPI-ESM1-2-LR
1951,tas,15.270102,historical,MPI-ESM1-2-LR
1952,tas,15.409779,historical,MPI-ESM1-2-LR
1953,tas,15.050984,historical,MPI-ESM1-2-LR
1954,tas,15.218984,historical,MPI-ESM1-2-LR
1955,tas,15.147345,historical,MPI-ESM1-2-LR
1956,tas,14.817942,historical,MPI-ESM1-2-LR
1957,tas,15.161339,historical,MPI-ESM1-2-LR
1958,tas,14.969865,historical,MPI-ESM1-2-LR
1959,tas,15.184076,historical,MPI-ESM1-2-LR
1960,tas,15.198863,historical,MPI-ESM1-2-LR
1961,tas,15.290239,historical,MPI-ESM1-2-LR
1962,tas,15.178078,historical,MPI-ESM1-2-LR
1963,tas,15.070795,historical,MPI-ESM1-2-LR
1964,tas,14.978955,historical,MPI-ESM1-2-LR
1965,tas,14.903454,historical,MPI-ESM1-2-LR
1966,tas,15.183518,historical,MPI-ESM1-2-LR
1967,tas,15.27357,historical,MPI-ESM1-2-LR
1968,tas,15.265436,historical,MPI-ESM1-2-LR
1969,tas,15.464133,historical,MPI-ESM1-2-LR
1970,tas,15.069401,historical,MPI-ESM1-2-LR
1971,tas,15.010508,historical,MPI-ESM1-2-LR
1972,tas,15.038537,historical,MPI-ESM1-2-LR
1973,tas,15.262773,historical,MPI-ESM1-2-LR
1974,tas,15.336151,historical,MPI-ESM1-2-LR
1975,tas,15.175674,historical,MPI-ESM1-2-LR
1976,tas,14.913802,historical,MPI-ESM1-2-LR
1977,tas,15.339579,historical,MPI-ESM1-2-LR
1978,tas,15.053768,historical,MPI-ESM1-2-LR
1979,tas,15.486277,historical,MPI-ESM1-2-LR
1980,tas,15.533552,historical,MPI-ESM1-2-LR
1981,tas,15.387749,historical,MPI-ESM1-2-LR
