year,variable,value,scenario,model
1850,tas,13.252528,historical,MPI-ESM1-2-LR
1851,tas,13.417211,historical,MPI-ESM1-2-LR
1852,tas,13.322108,historical,MPI-ESM1-2-LR
1853,tas,13.739406,historical,MPI-ESM1-2-LR
1854,tas,13.519912,historical,MPI-ESM1-2-LR
1855,tas,13.292781,historical,MPI-ESM1-2-LR
1856,tas,13.467732,historical,MPI-ESM1-2-LR
1857,tas,13.907209,historical,MPI-ESM1-2-LR
1858,tas,13.337163,historical,MPI-ESM1-2-LR
1859,tas,13.534357,historical,MPI-ESM1-2-LR
1860,tas,13.494258,historical,MPI-ESM1-2-LR
1861,tas,13.482463,historical,MPI-ESM1-2-LR
1862,tas,13.403972,historical,MPI-ESM1-2-LR
1863,tas,13.470891,historical,MPI-ESM1-2-LR
1864,tas,13.554328,historical,MPI-ESM1-2-LR
1865,tas,13.458901,historical,MPI-ESM1-2-LR
1866,tas,13.301985,historical,MPI-ESM1-2-LR
1867,tas,13.192748,historical,MPI-ESM1-2-LR
1868,tas,13.375018,historical,MPI-ESM1-2-LR
1869,tas,13.483754,historical,MPI-ESM1-2-LR
1870,tas,13.52464,historical,MPI-ESM1-2-LR
1871,tas,13.332807,historical,MPI-ESM1-2-LR
1872,tas,13.403607,historical,MPI-ESM1-2-LR
1873,tas,13.45806,historical,MPI-ESM1-2-LR
1874,tas,13.333625,historical,MPI-ESM1-2-LR
1875,tas,13.310925,historical,MPI-ESM1-2-LR
1876,tas,13.13438,historical,MPI-ESM1-2-LR
1877,tas,13.477537,historical,MPI-ESM1-2-LR
1878,tas,13.361214,historical,MPI-ESM1-2-LR
1879,tas,13.623594,historical,MPI-ESM1-2-LR
1880,tas,13.24181,historical,MPI-ESM1-2-LR
1881,tas,13.297723,historical,MPI-ESM1-2-LR
1882,tas,13.308113,historical,MPI-ESM1-2-LR
1883,tas,13.392533,historical,MPI-ESM1-2-LR
1884,tas,13.184305,historical,MPI-ESM1-2-LR
1885,tas,12.968254,historical,MPI-ESM1-2-LR
1886,tas,13.388558,historical,MPI-ESM1-2-LR
1887,tas,13.216332,historical,MPI-ESM1-2-LR
1888,tas,13.522298,historical,MPI-ESM1-2-LR
