year,variable,value,scenario,model
1850,tas,11.255904,historical,MPI-ESM1-2-LR
1851,tas,11.595808,historical,MPI-ESM1-2-LR
1852,tas,11.480707,historical,MPI-ESM1-2-LR
1853,tas,11.714444,historical,MPI-ESM1-2-LR
1854,tas,11.308816,historical,MPI-ESM1-2-LR
1855,tas,11.518047,historical,MPI-ESM1-2-LR
1856,tas,11.239224,historical,MPI-ESM1-2-LR
1857,tas,11.907391,historical,MPI-ESM1-2-LR
1858,tas,11.286258,historical,MPI-ESM1-2-LR
1859,tas,11.463726,historical,MPI-ESM1-2-LR
1860,tas,11.759878,historical,MPI-ESM1-2-LR
1861,tas,11.443197,historical,MPI-ESM1-2-LR
1862,tas,11.690058,historical,MPI-ESM1-2-LR
1863,tas,11.838239,historical,MPI-ESM1-2-LR
1864,tas,11.708468,historical,MPI-ESM1-2-LR
1865,tas,11.598922,historical,MPI-ESM1-2-LR
1866,tas,11.903151,historical,MPI-ESM1-2-LR
1867,tas,11.64535,historical,MPI-ESM1-2-LR
1868,tas,11.421125,historical,MPI-ESM1-2-LR
1869,tas,11.563315,historical,MPI-ESM1-2-LR
1870,tas,11.631801,historical,MPI-ESM1-2-LR
1871,tas,11.735697,historical,MPI-ESM1-2-LR
1872,tas,11.202181,historical,MPI-ESM1-2-LR
1873,tas,11.31045,historical,MPI-ESM1-2-LR
1874,tas,11.348788,historical,MPI-ESM1-2-LR
1875,tas,11.433894,historical,MPI-ESM1-2-LR
1876,tas,11.356075,historical,MPI-ESM1-2-LR
1877,tas,11.420295,historical,MPI-ESM1-2-LR
1878,tas,11.750396,historical,MPI-ESM1-2-LR
1879,tas,11.953626,historical,MPI-ESM1-2-LR
1880,tas,11.372374,historical,MPI-ESM1-2-LR
1881,tas,11.503435,historical,MPI-ESM1-2-LR
1882,tas,11.660017,historical,MPI-ESM1-2-LR
1883,tas,11.248049,historical,MPI-ESM1-2-LR
1884,tas,11.335013,historical,MPI-ESM1-2-LR
1885,tas,11.445895,historical,MPI-ESM1-2-LR
1886,tas,11.365839,historical,MPI-ESM1-2-LR
1887,tas,11.574524,historical,MPI-ESM1-2-LR
1888,tas,11.489465,historical,MPI-ESM1-2-LR
1889,tas,11.395597,historical,MPI-ESM1-2-LR
1890,tas,11.103569,historical,MPI-ESM1-2-LR
1891,tas,11.500681,historical,MPI-ESM1-2-LR
1892,tas,11.623559,historical,MPI-ESM1-2-LR
