year,variable,value,scenario,model
1850,tas,15.246292,historical,MPI-ESM1-2-LR
1851,tas,15.222701,historical,MPI-ESM1-2-LR
1852,tas,15.210026,historical,MPI-ESM1-2-LR
1853,tas,15.56957,historical,MPI-ESM1-2-LR
1854,tas,15.432875,historical,MPI-ESM1-2-LR
1855,tas,15.354261,historical,MPI-ESM1-2-LR
1856,tas,15.209052,historical,MPI-ESM1-2-LR
1857,tas,15.290893,historical,MPI-ESM1-2-LR
1858,tas,15.150497,historical,MPI-ESM1-2-LR
1859,tas,15.317755,historical,MPI-ESM1-2-LR
1860,tas,15.320592,historical,MPI-ESM1-2-LR
1861,tas,15.50187,historical,MPI-ESM1-2-LR
1862,tas,15.209541,historical,MPI-ESM1-2-LR
1863,tas,15.286204,historical,MPI-ESM1-2-LR
1864,tas,15.453451,historical,MPI-ESM1-2-LR
1865,tas,15.29753,historical,MPI-ESM1-2-LR
1866,tas,15.31191,historical,MPI-ESM1-2-LR
1867,tas,15.247431,historical,MPI-ESM1-2-LR
1868,tas,15.261774,historical,MPI-ESM1-2-LR
1869,tas,15.424371,historical,MPI-ESM1-2-LR
1870,tas,15.493523,historical,MPI-ESM1-2-LR
1871,tas,15.188873,historical,MPI-ESM1-2-LR
1872,tas,15.391245,historical,MPI-ESM1-2-LR
1873,tas,15.175935,historical,MPI-ESM1-2-LR
1874,tas,15.163553,historical,MPI-ESM1-2-LR
1875,tas,15.036541,historical,MPI-ESM1-2-LR
1876,tas,15.090354,historical,MPI-ESM1-2-LR
1877,tas,15.165535,historical,MPI-ESM1-2-LR
1878,tas,15.026201,historical,MPI-ESM1-2-LR
1879,tas,15.372414,historical,MPI-ESM1-2-LR
1880,tas,15.217426,historical,MPI-ESM1-2-LR
1881,tas,15.270042,historical,MPI-ESM1-2-LR
1882,tas,15.254284,historical,MPI-ESM1-2-LR
1883,tas,15.235775,historical,MPI-ESM1-2-LR
1884,tas,14.879984,historical,MPI-ESM1-2-LR
1885,tas,15.004417,historical,MPI-ESM1-2-LR
1886,tas,15.034999,historical,MPI-ESM1-2-LR
1887,tas,15.271752,historical,MPI-ESM1-2-LR
1888,tas,15.32913,historical,MPI-ESM1-2-LR
1889,tas,15.460384,historical,MPI-ESM1-2-LR
1890,tas,15.702259,historical,MPI-ESM1-2-LR
1891,tas,15.070454,historical,MPI-ESM1-2-LR
1892,tas,15.039156,historical,MPI-ESM1-2-LR
1893,tas,15.404649,historical,MPI-ESM1-2-LR
1894,tas,15.208609,historical,MPI-ESM1-2-LR
1895,tas,15.225106,historical,MPI-ESM1-2-LR
1896,tas,15.469084,historical,MPI-ESM1-2-LR
1897,tas,15.412607,historical,MPI-ESM1-2-LR
1898,tas,15.215947,historical,MPI-ESM1-2-LR
1899,tas,15.243363,historical,MPI-ESM1-2-LR
1900,tas,15.170116,historical,MPI-ESM1-2-LR
1901,tas,15.454997,historical,MPI-ESM1-2-LR
1902,tas,15.419565,historical,MPI-ESM1-2-LR
1903,tas,15.071354,historical,MPI-ESM1-2-LR
1904,tas,15.251369,historical,MPI-ESM1-2-LR
1905,tas,15.218746,historical,MPI-ESM1-2-LR
1906,tas,15.313956,historical,MPI-ESM1-2-LR
1907,tas,15.24907,historical,MPI-ESM1-2-LR
1908,tas,15.163188,historical,MPI-ESM1-2-LR
1909,tas,14.946571,historical,MPI-ESM1-2-LR
1910,tas,15.455234,historical,MPI-ESM1-2-LR
1911,tas,15.602778,historical,MPI-ESM1-2-LR
1912,tas,15.279217,historical,MPI-ESM1-2-LR
1913,tas,15.263608,historical,MPI-ESM1-2-LR
1914,tas,15.743686,historical,MPI-ESM1-2-LR
1915,tas,15.239791,historical,MPI-ESM1-2-LR
1916,tas,15.172374,historical,MPI-ESM1-2-LR
1917,tas,15.084664,historical,MPI-ESM1-2-LR
1918,tas,15.104003,historical,MPI-ESM1-2-LR
1919,tas,15.270695,historical,MPI-ESM1-2-LR
1920,tas,15.447171,historical,MPI-ESM1-2-LR
1921,tas,15.565381,historical,MPI-ESM1-2-LR
1922,tas,15.338672,historical,MPI-ESM1-2-LR
1923,tas,15.400468,historical,MPI-ESM1-2-LR
1924,tas,15.512768,historical,MPI-ESM1-2-LR
1925,tas,15.17941,historical,MPI-ESM1-2-LR
1926,tas,15.421226,historical,MPI-ESM1-2-LR
1927,tas,15.676786,historical,MPI-ESM1-2-LR
1928,tas,15.551178,historical,MPI-ESM1-2-LR
1929,tas,15.588467,historical,MPI-ESM1-2-LR
1930,tas,15.484948,historical,MPI-ESM1-2-LR
1931,tas,15.440856,historical,MPI-ESM1-2-LR
1932,tas,15.492226,historical,MPI-ESM1-2-LR
1933,tas,15.482491,historical,MPI-ESM1-2-LR
1934,tas,15.581267,historical,MPI-ESM1-2-LR
1935,tas,15.680313,historical,MPI-ESM1-2-LR
1936,tas,15.502693,historical,MPI-ESM1-2-LR
1937,tas,15.606809,historical,MPI-ESM1-2-LR
1938,tas,15.649519,historical,MPI-ESM1-2-LR
1939,tas,15.518858,historical,MPI-ESM1-2-LR
1940,tas,15.958805,historical,MPI-ESM1-2-LR
1941,tas,15.64865,historical,MPI-ESM1-2-LR
1942,tas,15.835949,historical,MPI-ESM1-2-LR
1943,tas,15.782722,historical,MPI-ESM1-2-LR
1944,tas,15.406071,historical,MPI-ESM1-2-LR
1945,tas,15.639846,historical,MPI-ESM1-2-LR
1946,tas,15.669067,historical,MPI-ESM1-2-LR
1947,tas,15.718728,historical,MPI-ESM1-2-LR
1948,tas,15.372184,historical,MPI-ESM1-2-LR
1949,tas,15.452763,historical,MPI-ESM1-2-LR
1950,tas,15.530832,historical,MPI-ESM1-2-LR
1951,tas,15.701106,historical,MPI-ESM1-2-LR
1952,tas,15.815452,historical,MPI-ESM1-2-LR
1953,tas,15.455921,historical,MPI-ESM1-2-LR
1954,tas,15.564083,historical,MPI-ESM1-2-LR
1955,tas,15.403649,historical,MPI-ESM1-2-LR
1956,tas,15.29538,historical,MPI-ESM1-2-LR
1957,tas,15.354488,historical,MPI-ESM1-2-LR
1958,tas,15.28484,historical,MPI-ESM1-2-LR
1959,tas,15.486282,historical,MPI-ESM1-2-LR
1960,tas,15.700696,historical,MPI-ESM1-2-LR
1961,tas,15.744252,historical,MPI-ESM1-2-LR
1962,tas,15.426765,historical,MPI-ESM1-2-LR
1963,tas,15.257564,historical,MPI-ESM1-2-LR
1964,tas,15.44666,historical,MPI-ESM1-2-LR
1965,tas,15.411339,historical,MPI-ESM1-2-LR
1966,tas,15.62801,historical,MPI-ESM1-2-LR
1967,tas,15.696888,historical,MPI-ESM1-2-LR
1968,tas,15.677089,historical,MPI-ESM1-2-LR
1969,tas,15.491724,historical,MPI-ESM1-2-LR
1970,tas,15.486556,historical,MPI-ESM1-2-LR
1971,tas,15.47904,historical,MPI-ESM1-2-LR
1972,tas,15.44793,historical,MPI-ESM1-2-LR
1973,tas,15.839772,historical,MPI-ESM1-2-LR
1974,tas,15.694895,historical,MPI-ESM1-2-LR
1975,tas,15.51875,historical,MPI-ESM1-2-LR
1976,tas,15.455788,historical,MPI-ESM1-2-LR
1977,tas,15.595871,historical,MPI-ESM1-2-LR
1978,tas,15.390485,historical,MPI-ESM1-2-LR
1979,tas,15.615853,historical,MPI-ESM1-2-LR
1980,tas,16.073551,historical,MPI-ESM1-2-LR
1981,tas,15.924233,historical,MPI-ESM1-2-LR
1982,tas,15.567196,historical,MPI-ESM1-2-LR
1983,tas,15.643491,historical,MPI-ESM1-2-LR
1984,tas,15.895666,historical,MPI-ESM1-2-LR
1985,tas,15.902208,historical,MPI-ESM1-2-LR
1986,tas,15.741888,historical,MPI-ESM1-2-LR
1987,tas,15.792951,historical,MPI-ESM1-2-LR
1988,tas,15.824178,historical,MPI-ESM1-2-LR
1989,tas,15.875377,historical,MPI-ESM1-2-LR
1990,tas,15.768603,historical,MPI-ESM1-2-LR
1991,tas,15.911895,historical,MPI-ESM1-2-LR
1992,tas,15.670764,historical,MPI-ESM1-2-LR
1993,tas,15.900626,historical,MPI-ESM1-2-LR
1994,tas,15.768399,historical,MPI-ESM1-2-LR
1995,tas,15.723973,historical,MPI-ESM1-2-LR
1996,tas,15.949628,historical,MPI-ESM1-2-LR
1997,tas,16.067529,historical,MPI-ESM1-2-LR
1998,tas,16.267939,historical,MPI-ESM1-2-LR
1999,tas,16.142325,historical,MPI-ESM1-2-LR
2000,tas,16.102193,historical,MPI-ESM1-2-LR
2001,tas,15.98691,historical,MPI-ESM1-2-LR
2002,tas,16.12244,historical,MPI-ESM1-2-LR
2003,tas,16.24714,historical,MPI-ESM1-2-LR
2004,tas,16.122111,historical,MPI-ESM1-2-LR
2005,tas,16.108246,historical,MPI-ESM1-2-LR
2006,tas,16.223692,historical,MPI-ESM1-2-LR
2007,tas,16.458627,historical,MPI-ESM1-2-LR
2008,tas,16.392338,historical,MPI-ESM1-2-LR
2009,tas,16.040598,historical,MPI-ESM1-2-LR
2010,tas,16.158532,historical,MPI-ESM1-2-LR
2011,tas,16.263981,historical,MPI-ESM1-2-LR
2012,tas,16.234672,historical,MPI-ESM1-2-LR
2013,tas,16.209436,historical,MPI-ESM1-2-LR
2014,tas,16.194483,historical,MPI-ESM1-2-LR
1850,pr,2.969678,historical,MPI-ESM1-2-LR
1851,pr,2.8467,historical,MPI-ESM1-2-LR
1852,pr,2.823836,historical,MPI-ESM1-2-LR
1853,pr,2.947428,historical,MPI-ESM1-2-LR
1854,pr,3.002853,historical,MPI-ESM1-2-LR
1855,pr,2.823545,historical,MPI-ESM1-2-LR
1856,pr,2.971382,historical,MPI-ESM1-2-LR
1857,pr,2.949029,historical,MPI-ESM1-2-LR
1858,pr,3.032785,historical,MPI-ESM1-2-LR
1859,pr,2.924756,historical,MPI-ESM1-2-LR
1860,pr,2.771381,historical,MPI-ESM1-2-LR
1861,pr,2.84523,historical,MPI-ESM1-2-LR
1862,pr,2.86369,historical,MPI-ESM1-2-LR
1863,pr,2.74955,historical,MPI-ESM1-2-LR
1864,pr,3.137136,historical,MPI-ESM1-2-LR
1865,pr,2.768903,historical,MPI-ESM1-2-LR
1866,pr,3.045699,historical,MPI-ESM1-2-LR
1867,pr,2.884038,historical,MPI-ESM1-2-LR
1868,pr,2.870954,historical,MPI-ESM1-2-LR
1869,pr,2.843649,historical,MPI-ESM1-2-LR
1870,pr,2.982296,historical,MPI-ESM1-2-LR
1871,pr,3.063701,historical,MPI-ESM1-2-LR
1872,pr,2.873961,historical,MPI-ESM1-2-LR
1873,pr,3.074656,historical,MPI-ESM1-2-LR
1874,pr,2.903638,historical,MPI-ESM1-2-LR
1875,pr,2.800486,historical,MPI-ESM1-2-LR
1876,pr,2.811206,historical,MPI-ESM1-2-LR
1877,pr,2.990648,historical,MPI-ESM1-2-LR
1878,pr,2.848094,historical,MPI-ESM1-2-LR
1879,pr,2.748221,historical,MPI-ESM1-2-LR
1880,pr,2.919147,historical,MPI-ESM1-2-LR
1881,pr,2.820195,historical,MPI-ESM1-2-LR
1882,pr,2.833311,historical,MPI-ESM1-2-LR
1883,pr,2.873288,historical,MPI-ESM1-2-LR
1884,pr,2.814712,historical,MPI-ESM1-2-LR
1885,pr,2.949931,historical,MPI-ESM1-2-LR
1886,pr,3.02153,historical,MPI-ESM1-2-LR
1887,pr,2.84863,historical,MPI-ESM1-2-LR
1888,pr,2.990528,historical,MPI-ESM1-2-LR
1889,pr,2.790094,historical,MPI-ESM1-2-LR
1890,pr,2.847319,historical,MPI-ESM1-2-LR
1891,pr,2.982225,historical,MPI-ESM1-2-LR
1892,pr,2.919953,historical,MPI-ESM1-2-LR
1893,pr,2.856708,historical,MPI-ESM1-2-LR
1894,pr,2.897313,historical,MPI-ESM1-2-LR
1895,pr,2.971512,historical,MPI-ESM1-2-LR
1896,pr,2.803216,historical,MPI-ESM1-2-LR
1897,pr,2.900498,historical,MPI-ESM1-2-LR
1898,pr,2.943119,historical,MPI-ESM1-2-LR
1899,pr,2.774456,historical,MPI-ESM1-2-LR
1900,pr,3.040922,historical,MPI-ESM1-2-LR
1901,pr,2.868926,historical,MPI-ESM1-2-LR
1902,pr,3.019122,historical,MPI-ESM1-2-LR
1903,pr,2.791922,historical,MPI-ESM1-2-LR
1904,pr,2.85764,historical,MPI-ESM1-2-LR
1905,pr,2.892666,historical,MPI-ESM1-2-LR
1906,pr,3.048509,historical,MPI-ESM1-2-LR
1907,pr,2.980713,historical,MPI-ESM1-2-LR
1908,pr,2.849817,historical,MPI-ESM1-2-LR
1909,pr,2.918635,historical,MPI-ESM1-2-LR
1910,pr,2.882981,historical,MPI-ESM1-2-LR
1911,pr,2.879624,historical,MPI-ESM1-2-LR
1912,pr,2.890016,historical,MPI-ESM1-2-LR
1913,pr,2.931746,historical,MPI-ESM1-2-LR
1914,pr,2.842157,historical,MPI-ESM1-2-LR
1915,pr,2.955282,historical,MPI-ESM1-2-LR
1916,pr,2.928384,historical,MPI-ESM1-2-LR
1917,pr,2.995256,historical,MPI-ESM1-2-LR
1918,pr,2.874731,historical,MPI-ESM1-2-LR
1919,pr,2.999664,historical,MPI-ESM1-2-LR
1920,pr,3.023581,historical,MPI-ESM1-2-LR
1921,pr,2.839935,historical,MPI-ESM1-2-LR
1922,pr,2.777851,historical,MPI-ESM1-2-LR
1923,pr,2.861094,historical,MPI-ESM1-2-LR
1924,pr,2.862996,historical,MPI-ESM1-2-LR
1925,pr,2.929093,historical,MPI-ESM1-2-LR
1926,pr,2.90743,historical,MPI-ESM1-2-LR
1927,pr,2.945808,historical,MPI-ESM1-2-LR
1928,pr,2.960437,historical,MPI-ESM1-2-LR
1929,pr,2.764264,historical,MPI-ESM1-2-LR
1930,pr,2.957058,historical,MPI-ESM1-2-LR
1931,pr,2.989712,historical,MPI-ESM1-2-LR
1932,pr,2.831964,historical,MPI-ESM1-2-LR
1933,pr,2.805076,historical,MPI-ESM1-2-LR
1934,pr,2.88912,historical,MPI-ESM1-2-LR
1935,pr,2.832102,historical,MPI-ESM1-2-LR
1936,pr,2.963326,historical,MPI-ESM1-2-LR
1937,pr,2.856133,historical,MPI-ESM1-2-LR
1938,pr,2.879271,historical,MPI-ESM1-2-LR
1939,pr,2.900753,historical,MPI-ESM1-2-LR
1940,pr,2.975602,historical,MPI-ESM1-2-LR
1941,pr,2.979182,historical,MPI-ESM1-2-LR
1942,pr,3.083252,historical,MPI-ESM1-2-LR
1943,pr,3.049358,historical,MPI-ESM1-2-LR
1944,pr,2.944629,historical,MPI-ESM1-2-LR
1945,pr,2.897603,historical,MPI-ESM1-2-LR
1946,pr,2.814044,historical,MPI-ESM1-2-LR
1947,pr,2.910881,historical,MPI-ESM1-2-LR
1948,pr,2.831475,historical,MPI-ESM1-2-LR
1949,pr,2.833657,historical,MPI-ESM1-2-LR
1950,pr,2.904181,historical,MPI-ESM1-2-LR
1951,pr,2.921213,historical,MPI-ESM1-2-LR
1952,pr,2.96844,historical,MPI-ESM1-2-LR
1953,pr,2.769606,historical,MPI-ESM1-2-LR
1954,pr,3.103947,historical,MPI-ESM1-2-LR
1955,pr,2.716266,historical,MPI-ESM1-2-LR
1956,pr,2.880683,historical,MPI-ESM1-2-LR
1957,pr,3.019589,historical,MPI-ESM1-2-LR
1958,pr,2.887811,historical,MPI-ESM1-2-LR
1959,pr,2.797617,historical,MPI-ESM1-2-LR
1960,pr,2.991063,historical,MPI-ESM1-2-LR
1961,pr,2.903322,historical,MPI-ESM1-2-LR
1962,pr,2.948709,historical,MPI-ESM1-2-LR
1963,pr,2.917239,historical,MPI-ESM1-2-LR
1964,pr,2.781163,historical,MPI-ESM1-2-LR
1965,pr,2.71569,historical,MPI-ESM1-2-LR
1966,pr,3.041805,historical,MPI-ESM1-2-LR
1967,pr,3.05677,historical,MPI-ESM1-2-LR
1968,pr,2.987398,historical,MPI-ESM1-2-LR
1969,pr,2.880424,historical,MPI-ESM1-2-LR
1970,pr,2.763539,historical,MPI-ESM1-2-LR
1971,pr,2.902717,historical,MPI-ESM1-2-LR
1972,pr,2.920772,historical,MPI-ESM1-2-LR
1973,pr,2.995624,historical,MPI-ESM1-2-LR
1974,pr,2.885365,historical,MPI-ESM1-2-LR
1975,pr,2.839097,historical,MPI-ESM1-2-LR
1976,pr,2.942119,historical,MPI-ESM1-2-LR
1977,pr,2.864875,historical,MPI-ESM1-2-LR
1978,pr,2.945225,historical,MPI-ESM1-2-LR
1979,pr,2.718149,historical,MPI-ESM1-2-LR
1980,pr,2.994807,historical,MPI-ESM1-2-LR
1981,pr,2.803945,historical,MPI-ESM1-2-LR
1982,pr,2.867126,historical,MPI-ESM1-2-LR
1983,pr,2.79457,historical,MPI-ESM1-2-LR
1984,pr,2.866892,historical,MPI-ESM1-2-LR
1985,pr,2.74351,historical,MPI-ESM1-2-LR
1986,pr,2.715602,historical,MPI-ESM1-2-LR
1987,pr,2.786085,historical,MPI-ESM1-2-LR
1988,pr,2.856965,historical,MPI-ESM1-2-LR
1989,pr,2.916031,historical,MPI-ESM1-2-LR
1990,pr,2.643945,historical,MPI-ESM1-2-LR
1991,pr,2.941322,historical,MPI-ESM1-2-LR
1992,pr,2.67294,historical,MPI-ESM1-2-LR
1993,pr,2.875397,historical,MPI-ESM1-2-LR
1994,pr,2.846754,historical,MPI-ESM1-2-LR
1995,pr,2.827762,historical,MPI-ESM1-2-LR
1996,pr,2.95691,historical,MPI-ESM1-2-LR
1997,pr,2.809016,historical,MPI-ESM1-2-LR
1998,pr,2.954407,historical,MPI-ESM1-2-LR
1999,pr,2.871734,historical,MPI-ESM1-2-LR
2000,pr,2.829367,historical,MPI-ESM1-2-LR
2001,pr,2.705138,historical,MPI-ESM1-2-LR
2002,pr,2.791719,historical,MPI-ESM1-2-LR
2003,pr,2.868952,historical,MPI-ESM1-2-LR
2004,pr,3.043137,historical,MPI-ESM1-2-LR
2005,pr,2.741869,historical,MPI-ESM1-2-LR
2006,pr,2.918038,historical,MPI-ESM1-2-LR
2007,pr,2.674937,historical,MPI-ESM1-2-LR
2008,pr,2.920091,historical,MPI-ESM1-2-LR
2009,pr,2.769501,historical,MPI-ESM1-2-LR
2010,pr,2.898669,historical,MPI-ESM1-2-LR
2011,pr,2.791337,historical,MPI-ESM1-2-LR
2012,pr,3.000501,historical,MPI-ESM1-2-LR
2013,pr,2.916689,historical,MPI-ESM1-2-LR
2014,pr,2.865941,historical,MPI-ESM1-2-LR
1850,sfcWind,6.56054,historical,MPI-ESM1-2-LR
1851,sfcWind,6.275688,historical,MPI-ESM1-2-LR
1852,sfcWind,6.055551,historical,MPI-ESM1-2-LR
1853,sfcWind,6.343704,historical,MPI-ESM1-2-LR
1854,sfcWind,6.466508,historical,MPI-ESM1-2-LR
1855,sfcWind,6.160764,historical,MPI-ESM1-2-LR
1856,sfcWind,6.2422,historical,MPI-ESM1-2-LR
1857,sfcWind,6.174586,historical,MPI-ESM1-2-LR
1858,sfcWind,6.550262,historical,MPI-ESM1-2-LR
1859,sfcWind,6.441376,historical,MPI-ESM1-2-LR
1860,sfcWind,6.074913,historical,MPI-ESM1-2-LR
1861,sfcWind,6.286958,historical,MPI-ESM1-2-LR
1862,sfcWind,6.427448,historical,MPI-ESM1-2-LR
1863,sfcWind,6.136483,historical,MPI-ESM1-2-LR
1864,sfcWind,6.648141,historical,MPI-ESM1-2-LR
1865,sfcWind,6.287623,historical,MPI-ESM1-2-LR
1866,sfcWind,6.759123,historical,MPI-ESM1-2-LR
1867,sfcWind,6.26404,historical,MPI-ESM1-2-LR
1868,sfcWind,6.489613,historical,MPI-ESM1-2-LR
1869,sfcWind,6.17098,historical,MPI-ESM1-2-LR
1870,sfcWind,6.369138,historical,MPI-ESM1-2-LR
1871,sfcWind,6.544541,historical,MPI-ESM1-2-LR
1872,sfcWind,6.480408,historical,MPI-ESM1-2-LR
1873,sfcWind,6.639112,historical,MPI-ESM1-2-LR
1874,sfcWind,6.387139,historical,MPI-ESM1-2-LR
1875,sfcWind,6.242944,historical,MPI-ESM1-2-LR
1876,sfcWind,6.345358,historical,MPI-ESM1-2-LR
1877,sfcWind,6.530611,historical,MPI-ESM1-2-LR
1878,sfcWind,6.144232,historical,MPI-ESM1-2-LR
