year,variable,value,scenario,model
1850,tas,12.11478,historical,MPI-ESM1-2-LR
1851,tas,11.998609,historical,MPI-ESM1-2-LR
1852,tas,12.14426,historical,MPI-ESM1-2-LR
1853,tas,12.624011,historical,MPI-ESM1-2-LR
1854,tas,12.61672,historical,MPI-ESM1-2-LR
1855,tas,12.134223,historical,MPI-ESM1-2-LR
1856,tas,12.257289,historical,MPI-ESM1-2-LR
1857,tas,12.07756,historical,MPI-ESM1-2-LR
1858,tas,12.23349,historical,MPI-ESM1-2-LR
1859,tas,12.325424,historical,MPI-ESM1-2-LR
1860,tas,11.994362,historical,MPI-ESM1-2-LR
1861,tas,12.283599,historical,MPI-ESM1-2-LR
1862,tas,11.758891,historical,MPI-ESM1-2-LR
1863,tas,12.279636,historical,MPI-ESM1-2-LR
1864,tas,12.32909,historical,MPI-ESM1-2-LR
1865,tas,12.299206,historical,MPI-ESM1-2-LR
1866,tas,12.124911,historical,MPI-ESM1-2-LR
1867,tas,12.003718,historical,MPI-ESM1-2-LR
1868,tas,12.058809,historical,MPI-ESM1-2-LR
1869,tas,11.791915,historical,MPI-ESM1-2-LR
1870,tas,11.966616,historical,MPI-ESM1-2-LR
1871,tas,12.407579,historical,MPI-ESM1-2-LR
1872,tas,12.142029,historical,MPI-ESM1-2-LR
1873,tas,12.114713,historical,MPI-ESM1-2-LR
1874,tas,12.1163,historical,MPI-ESM1-2-LR
1875,tas,11.565537,historical,MPI-ESM1-2-LR
1876,tas,11.791392,historical,MPI-ESM1-2-LR
1877,tas,11.907805,historical,MPI-ESM1-2-LR
1878,tas,11.791203,historical,MPI-ESM1-2-LR
1879,tas,12.035362,historical,MPI-ESM1-2-LR
1880,tas,12.088897,historical,MPI-ESM1-2-LR
1881,tas,12.016661,historical,MPI-ESM1-2-LR
1882,tas,11.83379,historical,MPI-ESM1-2-LR
1883,tas,12.026287,historical,MPI-ESM1-2-LR
1884,tas,11.764542,historical,MPI-ESM1-2-LR
1885,tas,11.902272,historical,MPI-ESM1-2-LR
1886,tas,11.535033,historical,MPI-ESM1-2-LR
1887,tas,11.766388,historical,MPI-ESM1-2-LR
1888,tas,11.665762,historical,MPI-ESM1-2-LR
