year,variable,value,scenario,model
1850,tas,14.637192,historical,MPI-ESM1-2-LR
1851,tas,14.887325,historical,MPI-ESM1-2-LR
1852,tas,14.738087,historical,MPI-ESM1-2-LR
1853,tas,14.999222,historical,MPI-ESM1-2-LR
1854,tas,14.943086,historical,MPI-ESM1-2-LR
1855,tas,14.626017,historical,MPI-ESM1-2-LR
1856,tas,14.741457,historical,MPI-ESM1-2-LR
1857,tas,14.844168,historical,MPI-ESM1-2-LR
1858,tas,14.616148,historical,MPI-ESM1-2-LR
1859,tas,14.827997,historical,MPI-ESM1-2-LR
1860,tas,14.834166,historical,MPI-ESM1-2-LR
1861,tas,14.85487,historical,MPI-ESM1-2-LR
1862,tas,14.650513,historical,MPI-ESM1-2-LR
1863,tas,14.944633,historical,MPI-ESM1-2-LR
1864,tas,14.993874,historical,MPI-ESM1-2-LR
1865,tas,14.860584,historical,MPI-ESM1-2-LR
1866,tas,14.571459,historical,MPI-ESM1-2-LR
1867,tas,14.724423,historical,MPI-ESM1-2-LR
1868,tas,14.666179,historical,MPI-ESM1-2-LR
1869,tas,14.724496,historical,MPI-ESM1-2-LR
1870,tas,14.877352,historical,MPI-ESM1-2-LR
1871,tas,14.771116,historical,MPI-ESM1-2-LR
1872,tas,14.665543,historical,MPI-ESM1-2-LR
1873,tas,14.751647,historical,MPI-ESM1-2-LR
1874,tas,14.601859,historical,MPI-ESM1-2-LR
1875,tas,14.626323,historical,MPI-ESM1-2-LR
1876,tas,14.692698,historical,MPI-ESM1-2-LR
1877,tas,14.571959,historical,MPI-ESM1-2-LR
1878,tas,14.711198,historical,MPI-ESM1-2-LR
1879,tas,14.801925,historical,MPI-ESM1-2-LR
1880,tas,14.787555,historical,MPI-ESM1-2-LR
1881,tas,14.785885,historical,MPI-ESM1-2-LR
1882,tas,14.68577,historical,MPI-ESM1-2-LR
1883,tas,14.699525,historical,MPI-ESM1-2-LR
1884,tas,14.490842,historical,MPI-ESM1-2-LR
1885,tas,14.55471,historical,MPI-ESM1-2-LR
1886,tas,14.499652,historical,MPI-ESM1-2-LR
1887,tas,14.695912,historical,MPI-ESM1-2-LR
1888,tas,14.599769,historical,MPI-ESM1-2-LR
1889,tas,14.834699,historical,MPI-ESM1-2-LR
1890,tas,15.039122,historical,MPI-ESM1-2-LR
1891,tas,14.712356,historical,MPI-ESM1-2-LR
1892,tas,14.508805,historical,MPI-ESM1-2-LR
1893,tas,14.830271,historical,MPI-ESM1-2-LR
1894,tas,14.566148,historical,MPI-ESM1-2-LR
1895,tas,14.741552,historical,MPI-ESM1-2-LR
1896,tas,14.772173,historical,MPI-ESM1-2-LR
1897,tas,14.805401,historical,MPI-ESM1-2-LR
1898,tas,14.474868,historical,MPI-ESM1-2-LR
1899,tas,14.561272,historical,MPI-ESM1-2-LR
1900,tas,14.832495,historical,MPI-ESM1-2-LR
1901,tas,15.02932,historical,MPI-ESM1-2-LR
1902,tas,14.619485,historical,MPI-ESM1-2-LR
1903,tas,14.506382,historical,MPI-ESM1-2-LR
1904,tas,14.813624,historical,MPI-ESM1-2-LR
1905,tas,14.870878,historical,MPI-ESM1-2-LR
1906,tas,14.594532,historical,MPI-ESM1-2-LR
1907,tas,14.728283,historical,MPI-ESM1-2-LR
1908,tas,14.62387,historical,MPI-ESM1-2-LR
1909,tas,14.590218,historical,MPI-ESM1-2-LR
1910,tas,14.729948,historical,MPI-ESM1-2-LR
1911,tas,14.693074,historical,MPI-ESM1-2-LR
1912,tas,14.727892,historical,MPI-ESM1-2-LR
1913,tas,14.737195,historical,MPI-ESM1-2-LR
1914,tas,14.913586,historical,MPI-ESM1-2-LR
1915,tas,14.76103,historical,MPI-ESM1-2-LR
1916,tas,14.625603,historical,MPI-ESM1-2-LR
1917,tas,14.638638,historical,MPI-ESM1-2-LR
1918,tas,14.753502,historical,MPI-ESM1-2-LR
1919,tas,14.87476,historical,MPI-ESM1-2-LR
1920,tas,14.749518,historical,MPI-ESM1-2-LR
1921,tas,14.752872,historical,MPI-ESM1-2-LR
1922,tas,14.888269,historical,MPI-ESM1-2-LR
1923,tas,14.822679,historical,MPI-ESM1-2-LR
1924,tas,14.867672,historical,MPI-ESM1-2-LR
1925,tas,14.891054,historical,MPI-ESM1-2-LR
1926,tas,14.938056,historical,MPI-ESM1-2-LR
1927,tas,15.146634,historical,MPI-ESM1-2-LR
1928,tas,14.938942,historical,MPI-ESM1-2-LR
1929,tas,14.941236,historical,MPI-ESM1-2-LR
1930,tas,14.926842,historical,MPI-ESM1-2-LR
