year,variable,value,scenario,model
1850,tas,15.481306,historical,MPI-ESM1-2-LR
1851,tas,15.334136,historical,MPI-ESM1-2-LR
1852,tas,15.457474,historical,MPI-ESM1-2-LR
1853,tas,15.763416,historical,MPI-ESM1-2-LR
1854,tas,15.650248,historical,MPI-ESM1-2-LR
1855,tas,15.359681,historical,MPI-ESM1-2-LR
1856,tas,15.42138,historical,MPI-ESM1-2-LR
1857,tas,15.377726,historical,MPI-ESM1-2-LR
1858,tas,15.417009,historical,MPI-ESM1-2-LR
1859,tas,15.385674,historical,MPI-ESM1-2-LR
1860,tas,15.28731,historical,MPI-ESM1-2-LR
1861,tas,15.665325,historical,MPI-ESM1-2-LR
1862,tas,15.417039,historical,MPI-ESM1-2-LR
1863,tas,15.281565,historical,MPI-ESM1-2-LR
1864,tas,15.588308,historical,MPI-ESM1-2-LR
1865,tas,15.61214,historical,MPI-ESM1-2-LR
1866,tas,15.520267,historical,MPI-ESM1-2-LR
1867,tas,15.375366,historical,MPI-ESM1-2-LR
1868,tas,15.231366,historical,MPI-ESM1-2-LR
1869,tas,15.487,historical,MPI-ESM1-2-LR
1870,tas,15.689332,historical,MPI-ESM1-2-LR
1871,tas,15.648412,historical,MPI-ESM1-2-LR
1872,tas,15.731674,historical,MPI-ESM1-2-LR
1873,tas,15.665375,historical,MPI-ESM1-2-LR
1874,tas,15.421159,historical,MPI-ESM1-2-LR
1875,tas,15.293659,historical,MPI-ESM1-2-LR
1876,tas,15.319748,historical,MPI-ESM1-2-LR
1877,tas,15.283819,historical,MPI-ESM1-2-LR
1878,tas,15.237975,historical,MPI-ESM1-2-LR
1879,tas,15.384123,historical,MPI-ESM1-2-LR
1880,tas,15.351656,historical,MPI-ESM1-2-LR
1881,tas,15.232754,historical,MPI-ESM1-2-LR
1882,tas,15.353944,historical,MPI-ESM1-2-LR
1883,tas,15.635487,historical,MPI-ESM1-2-LR
1884,tas,15.229917,historical,MPI-ESM1-2-LR
1885,tas,15.064107,historical,MPI-ESM1-2-LR
1886,tas,15.09639,historical,MPI-ESM1-2-LR
1887,tas,15.311469,historical,MPI-ESM1-2-LR
1888,tas,15.383201,historical,MPI-ESM1-2-LR
1889,tas,15.686037,historical,MPI-ESM1-2-LR
1890,tas,15.652313,historical,MPI-ESM1-2-LR
1891,tas,15.340767,historical,MPI-ESM1-2-LR
1892,tas,15.260746,historical,MPI-ESM1-2-LR
1893,tas,15.576621,historical,MPI-ESM1-2-LR
1894,tas,15.427004,historical,MPI-ESM1-2-LR
1895,tas,15.466548,historical,MPI-ESM1-2-LR
1896,tas,15.564799,historical,MPI-ESM1-2-LR
1897,tas,15.606649,historical,MPI-ESM1-2-LR
1898,tas,15.270968,historical,MPI-ESM1-2-LR
1899,tas,15.25396,historical,MPI-ESM1-2-LR
1900,tas,15.354231,historical,MPI-ESM1-2-LR
1901,tas,15.404413,historical,MPI-ESM1-2-LR
1902,tas,15.489107,historical,MPI-ESM1-2-LR
1903,tas,15.1579,historical,MPI-ESM1-2-LR
1904,tas,15.440882,historical,MPI-ESM1-2-LR
1905,tas,15.640599,historical,MPI-ESM1-2-LR
1906,tas,15.462705,historical,MPI-ESM1-2-LR
1907,tas,15.492873,historical,MPI-ESM1-2-LR
1908,tas,15.295553,historical,MPI-ESM1-2-LR
1909,tas,15.271821,historical,MPI-ESM1-2-LR
1910,tas,15.533931,historical,MPI-ESM1-2-LR
1911,tas,15.778232,historical,MPI-ESM1-2-LR
1912,tas,15.452593,historical,MPI-ESM1-2-LR
1913,tas,15.541526,historical,MPI-ESM1-2-LR
1914,tas,15.664641,historical,MPI-ESM1-2-LR
1915,tas,15.654753,historical,MPI-ESM1-2-LR
1916,tas,15.168419,historical,MPI-ESM1-2-LR
1917,tas,15.340722,historical,MPI-ESM1-2-LR
1918,tas,15.209004,historical,MPI-ESM1-2-LR
1919,tas,15.420313,historical,MPI-ESM1-2-LR
1920,tas,15.652787,historical,MPI-ESM1-2-LR
1921,tas,15.418818,historical,MPI-ESM1-2-LR
1922,tas,15.731549,historical,MPI-ESM1-2-LR
1923,tas,15.571398,historical,MPI-ESM1-2-LR
1924,tas,15.774742,historical,MPI-ESM1-2-LR
1925,tas,15.411148,historical,MPI-ESM1-2-LR
1926,tas,15.613775,historical,MPI-ESM1-2-LR
1927,tas,15.602431,historical,MPI-ESM1-2-LR
1928,tas,15.83242,historical,MPI-ESM1-2-LR
1929,tas,15.711117,historical,MPI-ESM1-2-LR
1930,tas,15.572078,historical,MPI-ESM1-2-LR
1931,tas,15.672094,historical,MPI-ESM1-2-LR
1932,tas,15.547393,historical,MPI-ESM1-2-LR
1933,tas,15.590577,historical,MPI-ESM1-2-LR
1934,tas,15.461947,historical,MPI-ESM1-2-LR
1935,tas,15.54357,historical,MPI-ESM1-2-LR
1936,tas,15.707848,historical,MPI-ESM1-2-LR
1937,tas,15.38027,historical,MPI-ESM1-2-LR
1938,tas,15.628747,historical,MPI-ESM1-2-LR
1939,tas,15.513656,historical,MPI-ESM1-2-LR
1940,tas,15.651277,historical,MPI-ESM1-2-LR
1941,tas,15.76614,historical,MPI-ESM1-2-LR
1942,tas,15.818859,historical,MPI-ESM1-2-LR
1943,tas,15.933457,historical,MPI-ESM1-2-LR
1944,tas,15.520191,historical,MPI-ESM1-2-LR
1945,tas,15.433813,historical,MPI-ESM1-2-LR
1946,tas,15.782441,historical,MPI-ESM1-2-LR
1947,tas,15.782415,historical,MPI-ESM1-2-LR
1948,tas,15.76997,historical,MPI-ESM1-2-LR
1949,tas,15.569701,historical,MPI-ESM1-2-LR
1950,tas,15.605263,historical,MPI-ESM1-2-LR
1951,tas,15.827027,historical,MPI-ESM1-2-LR
1952,tas,15.95642,historical,MPI-ESM1-2-LR
1953,tas,15.776402,historical,MPI-ESM1-2-LR
1954,tas,15.741999,historical,MPI-ESM1-2-LR
1955,tas,15.526206,historical,MPI-ESM1-2-LR
1956,tas,15.418074,historical,MPI-ESM1-2-LR
1957,tas,15.493349,historical,MPI-ESM1-2-LR
1958,tas,15.667461,historical,MPI-ESM1-2-LR
1959,tas,15.566072,historical,MPI-ESM1-2-LR
1960,tas,15.773684,historical,MPI-ESM1-2-LR
1961,tas,15.937752,historical,MPI-ESM1-2-LR
1962,tas,15.532821,historical,MPI-ESM1-2-LR
1963,tas,15.345362,historical,MPI-ESM1-2-LR
1964,tas,15.442898,historical,MPI-ESM1-2-LR
1965,tas,15.550572,historical,MPI-ESM1-2-LR
1966,tas,15.566679,historical,MPI-ESM1-2-LR
1967,tas,15.76053,historical,MPI-ESM1-2-LR
1968,tas,15.823199,historical,MPI-ESM1-2-LR
1969,tas,15.604955,historical,MPI-ESM1-2-LR
