year,variable,value,scenario,model
1850,tas,12.58142,historical,MPI-ESM1-2-LR
1851,tas,12.66892,historical,MPI-ESM1-2-LR
1852,tas,12.537525,historical,MPI-ESM1-2-LR
1853,tas,13.007805,historical,MPI-ESM1-2-LR
1854,tas,12.45921,historical,MPI-ESM1-2-LR
1855,tas,12.686259,historical,MPI-ESM1-2-LR
1856,tas,12.588431,historical,MPI-ESM1-2-LR
1857,tas,12.866318,historical,MPI-ESM1-2-LR
1858,tas,12.781914,historical,MPI-ESM1-2-LR
1859,tas,12.685564,historical,MPI-ESM1-2-LR
1860,tas,12.890057,historical,MPI-ESM1-2-LR
1861,tas,12.758199,historical,MPI-ESM1-2-LR
1862,tas,12.421951,historical,MPI-ESM1-2-LR
1863,tas,12.771066,historical,MPI-ESM1-2-LR
1864,tas,12.86387,historical,MPI-ESM1-2-LR
1865,tas,12.828464,historical,MPI-ESM1-2-LR
1866,tas,12.589819,historical,MPI-ESM1-2-LR
1867,tas,12.744796,historical,MPI-ESM1-2-LR
1868,tas,12.293182,historical,MPI-ESM1-2-LR
1869,tas,12.717852,historical,MPI-ESM1-2-LR
1870,tas,12.775353,historical,MPI-ESM1-2-LR
1871,tas,12.573274,historical,MPI-ESM1-2-LR
1872,tas,12.582859,historical,MPI-ESM1-2-LR
1873,tas,12.829516,historical,MPI-ESM1-2-LR
1874,tas,12.396366,historical,MPI-ESM1-2-LR
1875,tas,12.417218,historical,MPI-ESM1-2-LR
1876,tas,12.517155,historical,MPI-ESM1-2-LR
1877,tas,12.573606,historical,MPI-ESM1-2-LR
1878,tas,12.443799,historical,MPI-ESM1-2-LR
1879,tas,12.772139,historical,MPI-ESM1-2-LR
1880,tas,12.347645,historical,MPI-ESM1-2-LR
1881,tas,12.635265,historical,MPI-ESM1-2-LR
1882,tas,12.540502,historical,MPI-ESM1-2-LR
1883,tas,12.496013,historical,MPI-ESM1-2-LR
1884,tas,12.039592,historical,MPI-ESM1-2-LR
1885,tas,12.57092,historical,MPI-ESM1-2-LR
1886,tas,12.549483,historical,MPI-ESM1-2-LR
1887,tas,12.654564,historical,MPI-ESM1-2-LR
1888,tas,12.64432,historical,MPI-ESM1-2-LR
1889,tas,12.86463,historical,MPI-ESM1-2-LR
1890,tas,12.691029,historical,MPI-ESM1-2-LR
1891,tas,12.309285,historical,MPI-ESM1-2-LR
1892,tas,12.620281,historical,MPI-ESM1-2-LR
1893,tas,12.396383,historical,MPI-ESM1-2-LR
1894,tas,12.500537,historical,MPI-ESM1-2-LR
1895,tas,12.344673,historical,MPI-ESM1-2-LR
1896,tas,12.721263,historical,MPI-ESM1-2-LR
1897,tas,12.728773,historical,MPI-ESM1-2-LR
1898,tas,12.780433,historical,MPI-ESM1-2-LR
1899,tas,12.4923,historical,MPI-ESM1-2-LR
1900,tas,12.582253,historical,MPI-ESM1-2-LR
1901,tas,12.77349,historical,MPI-ESM1-2-LR
1902,tas,12.674271,historical,MPI-ESM1-2-LR
1903,tas,12.52926,historical,MPI-ESM1-2-LR
1904,tas,12.690615,historical,MPI-ESM1-2-LR
1905,tas,12.690469,historical,MPI-ESM1-2-LR
1906,tas,12.343763,historical,MPI-ESM1-2-LR
1907,tas,12.31901,historical,MPI-ESM1-2-LR
1908,tas,12.295832,historical,MPI-ESM1-2-LR
1909,tas,12.593321,historical,MPI-ESM1-2-LR
1910,tas,12.590891,historical,MPI-ESM1-2-LR
1911,tas,12.623947,historical,MPI-ESM1-2-LR
1912,tas,12.343658,historical,MPI-ESM1-2-LR
1913,tas,12.97081,historical,MPI-ESM1-2-LR
1914,tas,12.507312,historical,MPI-ESM1-2-LR
1915,tas,12.573566,historical,MPI-ESM1-2-LR
