year,variable,value,scenario,model
1850,tas,12.305974,historical,MPI-ESM1-2-LR
1851,tas,12.389036,historical,MPI-ESM1-2-LR
1852,tas,12.459324,historical,MPI-ESM1-2-LR
1853,tas,12.922417,historical,MPI-ESM1-2-LR
1854,tas,12.74888,historical,MPI-ESM1-2-LR
1855,tas,12.557058,historical,MPI-ESM1-2-LR
1856,tas,12.418139,historical,MPI-ESM1-2-LR
1857,tas,12.287651,historical,MPI-ESM1-2-LR
1858,tas,12.563607,historical,MPI-ESM1-2-LR
1859,tas,12.677268,historical,MPI-ESM1-2-LR
1860,tas,12.528984,historical,MPI-ESM1-2-LR
1861,tas,12.76395,historical,MPI-ESM1-2-LR
1862,tas,12.685739,historical,MPI-ESM1-2-LR
1863,tas,12.359705,historical,MPI-ESM1-2-LR
1864,tas,12.841195,historical,MPI-ESM1-2-LR
1865,tas,12.781718,historical,MPI-ESM1-2-LR
1866,tas,12.673677,historical,MPI-ESM1-2-LR
1867,tas,12.85854,historical,MPI-ESM1-2-LR
1868,tas,12.474786,historical,MPI-ESM1-2-LR
1869,tas,12.679063,historical,MPI-ESM1-2-LR
1870,tas,12.6903,historical,MPI-ESM1-2-LR
1871,tas,12.753219,historical,MPI-ESM1-2-LR
1872,tas,12.774599,historical,MPI-ESM1-2-LR
1873,tas,12.653155,historical,MPI-ESM1-2-LR
1874,tas,12.592058,historical,MPI-ESM1-2-LR
1875,tas,12.293904,historical,MPI-ESM1-2-LR
1876,tas,12.533942,historical,MPI-ESM1-2-LR
1877,tas,12.472517,historical,MPI-ESM1-2-LR
1878,tas,12.38596,historical,MPI-ESM1-2-LR
1879,tas,12.233471,historical,MPI-ESM1-2-LR
1880,tas,12.49359,historical,MPI-ESM1-2-LR
1881,tas,12.472567,historical,MPI-ESM1-2-LR
1882,tas,12.295429,historical,MPI-ESM1-2-LR
1883,tas,12.854573,historical,MPI-ESM1-2-LR
1884,tas,12.416065,historical,MPI-ESM1-2-LR
1885,tas,12.188812,historical,MPI-ESM1-2-LR
1886,tas,12.669036,historical,MPI-ESM1-2-LR
1887,tas,12.070999,historical,MPI-ESM1-2-LR
1888,tas,12.53164,historical,MPI-ESM1-2-LR
1889,tas,12.725394,historical,MPI-ESM1-2-LR
1890,tas,12.743784,historical,MPI-ESM1-2-LR
1891,tas,12.168922,historical,MPI-ESM1-2-LR
1892,tas,12.401602,historical,MPI-ESM1-2-LR
1893,tas,12.898806,historical,MPI-ESM1-2-LR
1894,tas,12.756209,historical,MPI-ESM1-2-LR
1895,tas,12.362103,historical,MPI-ESM1-2-LR
1896,tas,12.661439,historical,MPI-ESM1-2-LR
1897,tas,12.818654,historical,MPI-ESM1-2-LR
1898,tas,12.738621,historical,MPI-ESM1-2-LR
1899,tas,12.417374,historical,MPI-ESM1-2-LR
1900,tas,12.600069,historical,MPI-ESM1-2-LR
1901,tas,12.520614,historical,MPI-ESM1-2-LR
1902,tas,12.410937,historical,MPI-ESM1-2-LR
1903,tas,12.19899,historical,MPI-ESM1-2-LR
1904,tas,12.546031,historical,MPI-ESM1-2-LR
1905,tas,12.668047,historical,MPI-ESM1-2-LR
1906,tas,12.499464,historical,MPI-ESM1-2-LR
1907,tas,12.681747,historical,MPI-ESM1-2-LR
1908,tas,12.493597,historical,MPI-ESM1-2-LR
1909,tas,12.559693,historical,MPI-ESM1-2-LR
1910,tas,12.349016,historical,MPI-ESM1-2-LR
1911,tas,12.302845,historical,MPI-ESM1-2-LR
1912,tas,12.65745,historical,MPI-ESM1-2-LR
1913,tas,12.443994,historical,MPI-ESM1-2-LR
1914,tas,12.779108,historical,MPI-ESM1-2-LR
1915,tas,12.786605,historical,MPI-ESM1-2-LR
1916,tas,12.734595,historical,MPI-ESM1-2-LR
1917,tas,12.521085,historical,MPI-ESM1-2-LR
1918,tas,12.340454,historical,MPI-ESM1-2-LR
1919,tas,12.690414,historical,MPI-ESM1-2-LR
1920,tas,12.604544,historical,MPI-ESM1-2-LR
1921,tas,12.973769,historical,MPI-ESM1-2-LR
1922,tas,12.556739,historical,MPI-ESM1-2-LR
1923,tas,12.495703,historical,MPI-ESM1-2-LR
1924,tas,13.084836,historical,MPI-ESM1-2-LR
1925,tas,12.468588,historical,MPI-ESM1-2-LR
1926,tas,12.72782,historical,MPI-ESM1-2-LR
1927,tas,12.833394,historical,MPI-ESM1-2-LR
1928,tas,12.988517,historical,MPI-ESM1-2-LR
1929,tas,13.113643,historical,MPI-ESM1-2-LR
1930,tas,12.711655,historical,MPI-ESM1-2-LR
1931,tas,12.646537,historical,MPI-ESM1-2-LR
1932,tas,12.663029,historical,MPI-ESM1-2-LR
1933,tas,12.386177,historical,MPI-ESM1-2-LR
1934,tas,12.669107,historical,MPI-ESM1-2-LR
1935,tas,12.888305,historical,MPI-ESM1-2-LR
1936,tas,12.797679,historical,MPI-ESM1-2-LR
1937,tas,12.653811,historical,MPI-ESM1-2-LR
1938,tas,12.754253,historical,MPI-ESM1-2-LR
1939,tas,12.59852,historical,MPI-ESM1-2-LR
1940,tas,12.631725,historical,MPI-ESM1-2-LR
1941,tas,12.950633,historical,MPI-ESM1-2-LR
1942,tas,12.713576,historical,MPI-ESM1-2-LR
1943,tas,12.961304,historical,MPI-ESM1-2-LR
1944,tas,12.710195,historical,MPI-ESM1-2-LR
1945,tas,12.952155,historical,MPI-ESM1-2-LR
1946,tas,13.153511,historical,MPI-ESM1-2-LR
1947,tas,13.10932,historical,MPI-ESM1-2-LR
1948,tas,13.065621,historical,MPI-ESM1-2-LR
