year,variable,value,scenario,model
1850,tas,11.699566,historical,MPI-ESM1-2-LR
1851,tas,11.190993,historical,MPI-ESM1-2-LR
1852,tas,11.322238,historical,MPI-ESM1-2-LR
1853,tas,11.723558,historical,MPI-ESM1-2-LR
1854,tas,11.94364,historical,MPI-ESM1-2-LR
1855,tas,11.65911,historical,MPI-ESM1-2-LR
1856,tas,11.746778,historical,MPI-ESM1-2-LR
1857,tas,11.243346,historical,MPI-ESM1-2-LR
1858,tas,11.477538,historical,MPI-ESM1-2-LR
1859,tas,11.736643,historical,MPI-ESM1-2-LR
1860,tas,11.48576,historical,MPI-ESM1-2-LR
1861,tas,11.773005,historical,MPI-ESM1-2-LR
1862,tas,11.508733,historical,MPI-ESM1-2-LR
1863,tas,11.585815,historical,MPI-ESM1-2-LR
1864,tas,11.909114,historical,MPI-ESM1-2-LR
1865,tas,12.15765,historical,MPI-ESM1-2-LR
1866,tas,11.786932,historical,MPI-ESM1-2-LR
1867,tas,11.702977,historical,MPI-ESM1-2-LR
1868,tas,11.467324,historical,MPI-ESM1-2-LR
1869,tas,11.251795,historical,MPI-ESM1-2-LR
1870,tas,11.700243,historical,MPI-ESM1-2-LR
1871,tas,11.791985,historical,MPI-ESM1-2-LR
1872,tas,11.516455,historical,MPI-ESM1-2-LR
1873,tas,11.673335,historical,MPI-ESM1-2-LR
1874,tas,11.533032,historical,MPI-ESM1-2-LR
1875,tas,11.236589,historical,MPI-ESM1-2-LR
1876,tas,11.012498,historical,MPI-ESM1-2-LR
1877,tas,11.557711,historical,MPI-ESM1-2-LR
1878,tas,11.485257,historical,MPI-ESM1-2-LR
1879,tas,11.710568,historical,MPI-ESM1-2-LR
1880,tas,11.576011,historical,MPI-ESM1-2-LR
1881,tas,11.3459,historical,MPI-ESM1-2-LR
1882,tas,11.265362,historical,MPI-ESM1-2-LR
1883,tas,11.556059,historical,MPI-ESM1-2-LR
1884,tas,11.606117,historical,MPI-ESM1-2-LR
1885,tas,11.025177,historical,MPI-ESM1-2-LR
1886,tas,11.319902,historical,MPI-ESM1-2-LR
1887,tas,11.419735,historical,MPI-ESM1-2-LR
1888,tas,11.451737,historical,MPI-ESM1-2-LR
1889,tas,11.975534,historical,MPI-ESM1-2-LR
1890,tas,11.872447,historical,MPI-ESM1-2-LR
1891,tas,11.542545,historical,MPI-ESM1-2-LR
1892,tas,11.13327,historical,MPI-ESM1-2-LR
1893,tas,11.347891,historical,MPI-ESM1-2-LR
1894,tas,11.543852,historical,MPI-ESM1-2-LR
1895,tas,11.755508,historical,MPI-ESM1-2-LR
1896,tas,11.582679,historical,MPI-ESM1-2-LR
1897,tas,11.804756,historical,MPI-ESM1-2-LR
1898,tas,11.512099,historical,MPI-ESM1-2-LR
1899,tas,11.513842,historical,MPI-ESM1-2-LR
1900,tas,11.497474,historical,MPI-ESM1-2-LR
1901,tas,11.26714,historical,MPI-ESM1-2-LR
1902,tas,11.645968,historical,MPI-ESM1-2-LR
1903,tas,11.210627,historical,MPI-ESM1-2-LR
1904,tas,11.287975,historical,MPI-ESM1-2-LR
1905,tas,11.68706,historical,MPI-ESM1-2-LR
