year,variable,value,scenario,model
1850,tas,15.316658,historical,MPI-ESM1-2-LR
1851,tas,15.342846,historical,MPI-ESM1-2-LR
1852,tas,15.201794,historical,MPI-ESM1-2-LR
1853,tas,15.522708,historical,MPI-ESM1-2-LR
1854,tas,15.355726,historical,MPI-ESM1-2-LR
1855,tas,15.265945,historical,MPI-ESM1-2-LR
1856,tas,15.233291,historical,MPI-ESM1-2-LR
1857,tas,15.311344,historical,MPI-ESM1-2-LR
1858,tas,15.49337,historical,MPI-ESM1-2-LR
1859,tas,15.541416,historical,MPI-ESM1-2-LR
1860,tas,15.168834,historical,MPI-ESM1-2-LR
1861,tas,15.433438,historical,MPI-ESM1-2-LR
1862,tas,15.360447,historical,MPI-ESM1-2-LR
1863,tas,15.203485,historical,MPI-ESM1-2-LR
1864,tas,15.632179,historical,MPI-ESM1-2-LR
1865,tas,15.560194,historical,MPI-ESM1-2-LR
1866,tas,15.254753,historical,MPI-ESM1-2-LR
1867,tas,15.306085,historical,MPI-ESM1-2-LR
1868,tas,15.270039,historical,MPI-ESM1-2-LR
1869,tas,15.304763,historical,MPI-ESM1-2-LR
1870,tas,15.448517,historical,MPI-ESM1-2-LR
1871,tas,15.396908,historical,MPI-ESM1-2-LR
1872,tas,15.441443,historical,MPI-ESM1-2-LR
1873,tas,15.365305,historical,MPI-ESM1-2-LR
1874,tas,15.108479,historical,MPI-ESM1-2-LR
1875,tas,15.163506,historical,MPI-ESM1-2-LR
1876,tas,15.37255,historical,MPI-ESM1-2-LR
1877,tas,15.110411,historical,MPI-ESM1-2-LR
1878,tas,15.36066,historical,MPI-ESM1-2-LR
1879,tas,15.450011,historical,MPI-ESM1-2-LR
1880,tas,15.427456,historical,MPI-ESM1-2-LR
1881,tas,15.083788,historical,MPI-ESM1-2-LR
1882,tas,15.263686,historical,MPI-ESM1-2-LR
1883,tas,15.28437,historical,MPI-ESM1-2-LR
1884,tas,14.982735,historical,MPI-ESM1-2-LR
1885,tas,14.923972,historical,MPI-ESM1-2-LR
1886,tas,15.095731,historical,MPI-ESM1-2-LR
1887,tas,15.116846,historical,MPI-ESM1-2-LR
1888,tas,15.310088,historical,MPI-ESM1-2-LR
1889,tas,15.502455,historical,MPI-ESM1-2-LR
1890,tas,15.708974,historical,MPI-ESM1-2-LR
1891,tas,15.205791,historical,MPI-ESM1-2-LR
1892,tas,15.176257,historical,MPI-ESM1-2-LR
1893,tas,15.470596,historical,MPI-ESM1-2-LR
1894,tas,15.271812,historical,MPI-ESM1-2-LR
1895,tas,15.18776,historical,MPI-ESM1-2-LR
1896,tas,15.442162,historical,MPI-ESM1-2-LR
1897,tas,15.461255,historical,MPI-ESM1-2-LR
1898,tas,15.343316,historical,MPI-ESM1-2-LR
1899,tas,15.230559,historical,MPI-ESM1-2-LR
1900,tas,15.10486,historical,MPI-ESM1-2-LR
1901,tas,15.246882,historical,MPI-ESM1-2-LR
1902,tas,15.413228,historical,MPI-ESM1-2-LR
1903,tas,14.993504,historical,MPI-ESM1-2-LR
1904,tas,15.187138,historical,MPI-ESM1-2-LR
1905,tas,15.35099,historical,MPI-ESM1-2-LR
1906,tas,15.28221,historical,MPI-ESM1-2-LR
1907,tas,15.174548,historical,MPI-ESM1-2-LR
1908,tas,15.307152,historical,MPI-ESM1-2-LR
1909,tas,15.14021,historical,MPI-ESM1-2-LR
1910,tas,15.412833,historical,MPI-ESM1-2-LR
1911,tas,15.604637,historical,MPI-ESM1-2-LR
1912,tas,15.377111,historical,MPI-ESM1-2-LR
1913,tas,15.392472,historical,MPI-ESM1-2-LR
1914,tas,15.692516,historical,MPI-ESM1-2-LR
1915,tas,15.459869,historical,MPI-ESM1-2-LR
1916,tas,15.266723,historical,MPI-ESM1-2-LR
1917,tas,15.060355,historical,MPI-ESM1-2-LR
1918,tas,15.120539,historical,MPI-ESM1-2-LR
1919,tas,15.328251,historical,MPI-ESM1-2-LR
1920,tas,15.468095,historical,MPI-ESM1-2-LR
1921,tas,15.538696,historical,MPI-ESM1-2-LR
1922,tas,15.574894,historical,MPI-ESM1-2-LR
1923,tas,15.42523,historical,MPI-ESM1-2-LR
1924,tas,15.529823,historical,MPI-ESM1-2-LR
1925,tas,15.535147,historical,MPI-ESM1-2-LR
1926,tas,15.342173,historical,MPI-ESM1-2-LR
1927,tas,15.528162,historical,MPI-ESM1-2-LR
1928,tas,15.805563,historical,MPI-ESM1-2-LR
1929,tas,15.55037,historical,MPI-ESM1-2-LR
1930,tas,15.524506,historical,MPI-ESM1-2-LR
1931,tas,15.467878,historical,MPI-ESM1-2-LR
