year,variable,value,scenario,model
1850,tas,12.30759,historical,MPI-ESM1-2-LR
1851,tas,12.100097,historical,MPI-ESM1-2-LR
1852,tas,12.115101,historical,MPI-ESM1-2-LR
1853,tas,12.331858,historical,MPI-ESM1-2-LR
1854,tas,12.151133,historical,MPI-ESM1-2-LR
1855,tas,12.023945,historical,MPI-ESM1-2-LR
1856,tas,11.920017,historical,MPI-ESM1-2-LR
1857,tas,11.995616,historical,MPI-ESM1-2-LR
1858,tas,12.077324,historical,MPI-ESM1-2-LR
1859,tas,12.163397,historical,MPI-ESM1-2-LR
1860,tas,12.299503,historical,MPI-ESM1-2-LR
1861,tas,12.417075,historical,MPI-ESM1-2-LR
1862,tas,12.085141,historical,MPI-ESM1-2-LR
1863,tas,12.399516,historical,MPI-ESM1-2-LR
1864,tas,12.181339,historical,MPI-ESM1-2-LR
1865,tas,12.253985,historical,MPI-ESM1-2-LR
1866,tas,12.069681,historical,MPI-ESM1-2-LR
1867,tas,12.41104,historical,MPI-ESM1-2-LR
1868,tas,12.098375,historical,MPI-ESM1-2-LR
1869,tas,12.362409,historical,MPI-ESM1-2-LR
1870,tas,12.306995,historical,MPI-ESM1-2-LR
1871,tas,12.028448,historical,MPI-ESM1-2-LR
1872,tas,12.14079,historical,MPI-ESM1-2-LR
1873,tas,12.257307,historical,MPI-ESM1-2-LR
1874,tas,11.844709,historical,MPI-ESM1-2-LR
1875,tas,12.102108,historical,MPI-ESM1-2-LR
1876,tas,12.023708,historical,MPI-ESM1-2-LR
1877,tas,12.230446,historical,MPI-ESM1-2-LR
1878,tas,12.23245,historical,MPI-ESM1-2-LR
1879,tas,12.502889,historical,MPI-ESM1-2-LR
1880,tas,11.984348,historical,MPI-ESM1-2-LR
1881,tas,12.22328,historical,MPI-ESM1-2-LR
1882,tas,12.347051,historical,MPI-ESM1-2-LR
1883,tas,12.08381,historical,MPI-ESM1-2-LR
1884,tas,11.774163,historical,MPI-ESM1-2-LR
1885,tas,12.161207,historical,MPI-ESM1-2-LR
1886,tas,12.131893,historical,MPI-ESM1-2-LR
1887,tas,12.037203,historical,MPI-ESM1-2-LR
1888,tas,12.319294,historical,MPI-ESM1-2-LR
1889,tas,12.348486,historical,MPI-ESM1-2-LR
1890,tas,11.887037,historical,MPI-ESM1-2-LR
1891,tas,11.849552,historical,MPI-ESM1-2-LR
1892,tas,12.268944,historical,MPI-ESM1-2-LR
1893,tas,12.128056,historical,MPI-ESM1-2-LR
1894,tas,11.982052,historical,MPI-ESM1-2-LR
1895,tas,12.066317,historical,MPI-ESM1-2-LR
1896,tas,12.391222,historical,MPI-ESM1-2-LR
1897,tas,11.992947,historical,MPI-ESM1-2-LR
1898,tas,12.303631,historical,MPI-ESM1-2-LR
1899,tas,12.018617,historical,MPI-ESM1-2-LR
1900,tas,12.250312,historical,MPI-ESM1-2-LR
1901,tas,12.179333,historical,MPI-ESM1-2-LR
1902,tas,12.348175,historical,MPI-ESM1-2-LR
1903,tas,12.15282,historical,MPI-ESM1-2-LR
1904,tas,12.150633,historical,MPI-ESM1-2-LR
1905,tas,12.259927,historical,MPI-ESM1-2-LR
1906,tas,12.138257,historical,MPI-ESM1-2-LR
1907,tas,12.252414,historical,MPI-ESM1-2-LR
1908,tas,11.80111,historical,MPI-ESM1-2-LR
1909,tas,12.047866,historical,MPI-ESM1-2-LR
1910,tas,12.413617,historical,MPI-ESM1-2-LR
1911,tas,11.969051,historical,MPI-ESM1-2-LR
1912,tas,12.033535,historical,MPI-ESM1-2-LR
1913,tas,12.219893,historical,MPI-ESM1-2-LR
1914,tas,12.281043,historical,MPI-ESM1-2-LR
1915,tas,12.314483,historical,MPI-ESM1-2-LR
1916,tas,12.133985,historical,MPI-ESM1-2-LR
1917,tas,11.890806,historical,MPI-ESM1-2-LR
1918,tas,12.149268,historical,MPI-ESM1-2-LR
1919,tas,12.189521,historical,MPI-ESM1-2-LR
1920,tas,12.106736,historical,MPI-ESM1-2-LR
1921,tas,12.510892,historical,MPI-ESM1-2-LR
1922,tas,12.276419,historical,MPI-ESM1-2-LR
1923,tas,12.378066,historical,MPI-ESM1-2-LR
1924,tas,12.318021,historical,MPI-ESM1-2-LR
1925,tas,12.115252,historical,MPI-ESM1-2-LR
1926,tas,12.499036,historical,MPI-ESM1-2-LR
1927,tas,12.43406,historical,MPI-ESM1-2-LR
1928,tas,12.732246,historical,MPI-ESM1-2-LR
1929,tas,12.562637,historical,MPI-ESM1-2-LR
1930,tas,12.264229,historical,MPI-ESM1-2-LR
1931,tas,11.948333,historical,MPI-ESM1-2-LR
1932,tas,12.071745,historical,MPI-ESM1-2-LR
1933,tas,12.15133,historical,MPI-ESM1-2-LR
1934,tas,12.543303,historical,MPI-ESM1-2-LR
1935,tas,12.455221,historical,MPI-ESM1-2-LR
1936,tas,12.347089,historical,MPI-ESM1-2-LR
1937,tas,12.315038,historical,MPI-ESM1-2-LR
1938,tas,12.274887,historical,MPI-ESM1-2-LR
1939,tas,12.348853,historical,MPI-ESM1-2-LR
1940,tas,12.632957,historical,MPI-ESM1-2-LR
1941,tas,12.32315,historical,MPI-ESM1-2-LR
1942,tas,12.638141,historical,MPI-ESM1-2-LR
1943,tas,12.267279,historical,MPI-ESM1-2-LR
1944,tas,12.525986,historical,MPI-ESM1-2-LR
1945,tas,12.669296,historical,MPI-ESM1-2-LR
1946,tas,12.740733,historical,MPI-ESM1-2-LR
1947,tas,12.360648,historical,MPI-ESM1-2-LR
1948,tas,12.219432,historical,MPI-ESM1-2-LR
1949,tas,12.101594,historical,MPI-ESM1-2-LR
1950,tas,12.384225,historical,MPI-ESM1-2-LR
1951,tas,12.808457,historical,MPI-ESM1-2-LR
1952,tas,12.656823,historical,MPI-ESM1-2-LR
1953,tas,12.772348,historical,MPI-ESM1-2-LR
1954,tas,12.382694,historical,MPI-ESM1-2-LR
1955,tas,12.336797,historical,MPI-ESM1-2-LR
1956,tas,12.211196,historical,MPI-ESM1-2-LR
1957,tas,12.67564,historical,MPI-ESM1-2-LR
1958,tas,12.499547,historical,MPI-ESM1-2-LR
1959,tas,12.689287,historical,MPI-ESM1-2-LR
1960,tas,12.78414,historical,MPI-ESM1-2-LR
1961,tas,12.82954,historical,MPI-ESM1-2-LR
1962,tas,12.4188,historical,MPI-ESM1-2-LR
1963,tas,11.900226,historical,MPI-ESM1-2-LR
1964,tas,12.068143,historical,MPI-ESM1-2-LR
1965,tas,12.044472,historical,MPI-ESM1-2-LR
1966,tas,12.242253,historical,MPI-ESM1-2-LR
1967,tas,12.695826,historical,MPI-ESM1-2-LR
1968,tas,12.559085,historical,MPI-ESM1-2-LR
1969,tas,12.165237,historical,MPI-ESM1-2-LR
1970,tas,12.380746,historical,MPI-ESM1-2-LR
1971,tas,12.266033,historical,MPI-ESM1-2-LR
1972,tas,12.528572,historical,MPI-ESM1-2-LR
1973,tas,12.35786,historical,MPI-ESM1-2-LR
1974,tas,12.049015,historical,MPI-ESM1-2-LR
1975,tas,12.336587,historical,MPI-ESM1-2-LR
1976,tas,12.125874,historical,MPI-ESM1-2-LR
1977,tas,12.412041,historical,MPI-ESM1-2-LR
1978,tas,12.272796,historical,MPI-ESM1-2-LR
1979,tas,12.595957,historical,MPI-ESM1-2-LR
1980,tas,12.803821,historical,MPI-ESM1-2-LR
1981,tas,12.646486,historical,MPI-ESM1-2-LR
1982,tas,12.676333,historical,MPI-ESM1-2-LR
1983,tas,12.527652,historical,MPI-ESM1-2-LR
1984,tas,12.829249,historical,MPI-ESM1-2-LR
1985,tas,13.018783,historical,MPI-ESM1-2-LR
1986,tas,12.612308,historical,MPI-ESM1-2-LR
1987,tas,12.600116,historical,MPI-ESM1-2-LR
1988,tas,12.661035,historical,MPI-ESM1-2-LR
1989,tas,12.760679,historical,MPI-ESM1-2-LR
1990,tas,12.84259,historical,MPI-ESM1-2-LR
1991,tas,12.829284,historical,MPI-ESM1-2-LR
1992,tas,12.328184,historical,MPI-ESM1-2-LR
1993,tas,13.097504,historical,MPI-ESM1-2-LR
1994,tas,12.691978,historical,MPI-ESM1-2-LR
1995,tas,13.003215,historical,MPI-ESM1-2-LR
1996,tas,12.851674,historical,MPI-ESM1-2-LR
1997,tas,12.85267,historical,MPI-ESM1-2-LR
1998,tas,13.413016,historical,MPI-ESM1-2-LR
1999,tas,13.022318,historical,MPI-ESM1-2-LR
2000,tas,12.918353,historical,MPI-ESM1-2-LR
2001,tas,13.042469,historical,MPI-ESM1-2-LR
2002,tas,12.930581,historical,MPI-ESM1-2-LR
2003,tas,13.09118,historical,MPI-ESM1-2-LR
2004,tas,12.917745,historical,MPI-ESM1-2-LR
2005,tas,13.08043,historical,MPI-ESM1-2-LR
2006,tas,13.060141,historical,MPI-ESM1-2-LR
2007,tas,13.317277,historical,MPI-ESM1-2-LR
2008,tas,13.365694,historical,MPI-ESM1-2-LR
2009,tas,13.042535,historical,MPI-ESM1-2-LR
2010,tas,13.063013,historical,MPI-ESM1-2-LR
2011,tas,13.39466,historical,MPI-ESM1-2-LR
2012,tas,13.006353,historical,MPI-ESM1-2-LR
2013,tas,13.008912,historical,MPI-ESM1-2-LR
2014,tas,13.245448,historical,MPI-ESM1-2-LR
1850,pr,2.770606,historical,MPI-ESM1-2-LR
1851,pr,2.833177,historical,MPI-ESM1-2-LR
1852,pr,2.935767,historical,MPI-ESM1-2-LR
1853,pr,2.798756,historical,MPI-ESM1-2-LR
1854,pr,2.855274,historical,MPI-ESM1-2-LR
1855,pr,2.879902,historical,MPI-ESM1-2-LR
1856,pr,2.681913,historical,MPI-ESM1-2-LR
1857,pr,2.880155,historical,MPI-ESM1-2-LR
1858,pr,2.812215,historical,MPI-ESM1-2-LR
1859,pr,2.872808,historical,MPI-ESM1-2-LR
1860,pr,2.707618,historical,MPI-ESM1-2-LR
1861,pr,2.999086,historical,MPI-ESM1-2-LR
1862,pr,2.716278,historical,MPI-ESM1-2-LR
1863,pr,2.745184,historical,MPI-ESM1-2-LR
1864,pr,2.87006,historical,MPI-ESM1-2-LR
1865,pr,2.837712,historical,MPI-ESM1-2-LR
1866,pr,2.861286,historical,MPI-ESM1-2-LR
1867,pr,2.831749,historical,MPI-ESM1-2-LR
1868,pr,2.814702,historical,MPI-ESM1-2-LR
1869,pr,2.684072,historical,MPI-ESM1-2-LR
1870,pr,2.932592,historical,MPI-ESM1-2-LR
1871,pr,2.667864,historical,MPI-ESM1-2-LR
1872,pr,2.921772,historical,MPI-ESM1-2-LR
1873,pr,2.636435,historical,MPI-ESM1-2-LR
1874,pr,2.671631,historical,MPI-ESM1-2-LR
1875,pr,2.854374,historical,MPI-ESM1-2-LR
1876,pr,2.812531,historical,MPI-ESM1-2-LR
1877,pr,2.577911,historical,MPI-ESM1-2-LR
1878,pr,2.899369,historical,MPI-ESM1-2-LR
1879,pr,2.69912,historical,MPI-ESM1-2-LR
