year,variable,value,scenario,model
1850,tas,12.303863,historical,MPI-ESM1-2-LR
1851,tas,12.219015,historical,MPI-ESM1-2-LR
1852,tas,12.275875,historical,MPI-ESM1-2-LR
1853,tas,12.619712,historical,MPI-ESM1-2-LR
1854,tas,12.611373,historical,MPI-ESM1-2-LR
1855,tas,12.522687,historical,MPI-ESM1-2-LR
1856,tas,12.320043,historical,MPI-ESM1-2-LR
1857,tas,12.131017,historical,MPI-ESM1-2-LR
1858,tas,12.381269,historical,MPI-ESM1-2-LR
1859,tas,12.549642,historical,MPI-ESM1-2-LR
1860,tas,12.056779,historical,MPI-ESM1-2-LR
1861,tas,12.459875,historical,MPI-ESM1-2-LR
1862,tas,12.427371,historical,MPI-ESM1-2-LR
1863,tas,12.414389,historical,MPI-ESM1-2-LR
1864,tas,12.563576,historical,MPI-ESM1-2-LR
1865,tas,12.168548,historical,MPI-ESM1-2-LR
1866,tas,11.893874,historical,MPI-ESM1-2-LR
1867,tas,12.248735,historical,MPI-ESM1-2-LR
1868,tas,12.16306,historical,MPI-ESM1-2-LR
1869,tas,11.909471,historical,MPI-ESM1-2-LR
1870,tas,12.153555,historical,MPI-ESM1-2-LR
1871,tas,12.724353,historical,MPI-ESM1-2-LR
1872,tas,12.010306,historical,MPI-ESM1-2-LR
1873,tas,12.437753,historical,MPI-ESM1-2-LR
1874,tas,12.480422,historical,MPI-ESM1-2-LR
1875,tas,12.128251,historical,MPI-ESM1-2-LR
1876,tas,11.970942,historical,MPI-ESM1-2-LR
1877,tas,12.249975,historical,MPI-ESM1-2-LR
1878,tas,12.125332,historical,MPI-ESM1-2-LR
1879,tas,12.418807,historical,MPI-ESM1-2-LR
1880,tas,12.311074,historical,MPI-ESM1-2-LR
1881,tas,12.08593,historical,MPI-ESM1-2-LR
1882,tas,12.066728,historical,MPI-ESM1-2-LR
1883,tas,12.447039,historical,MPI-ESM1-2-LR
1884,tas,12.028298,historical,MPI-ESM1-2-LR
1885,tas,11.829679,historical,MPI-ESM1-2-LR
1886,tas,12.355129,historical,MPI-ESM1-2-LR
1887,tas,12.134963,historical,MPI-ESM1-2-LR
1888,tas,12.100594,historical,MPI-ESM1-2-LR
1889,tas,12.050843,historical,MPI-ESM1-2-LR
1890,tas,12.40691,historical,MPI-ESM1-2-LR
1891,tas,12.044802,historical,MPI-ESM1-2-LR
1892,tas,12.094479,historical,MPI-ESM1-2-LR
1893,tas,12.477107,historical,MPI-ESM1-2-LR
1894,tas,12.465923,historical,MPI-ESM1-2-LR
1895,tas,11.874948,historical,MPI-ESM1-2-LR
1896,tas,12.175755,historical,MPI-ESM1-2-LR
1897,tas,12.79339,historical,MPI-ESM1-2-LR
1898,tas,12.66689,historical,MPI-ESM1-2-LR
1899,tas,12.240768,historical,MPI-ESM1-2-LR
1900,tas,12.057338,historical,MPI-ESM1-2-LR
1901,tas,12.191593,historical,MPI-ESM1-2-LR
1902,tas,12.425623,historical,MPI-ESM1-2-LR
1903,tas,12.086939,historical,MPI-ESM1-2-LR
1904,tas,12.191643,historical,MPI-ESM1-2-LR
1905,tas,12.495785,historical,MPI-ESM1-2-LR
1906,tas,12.638358,historical,MPI-ESM1-2-LR
1907,tas,12.122562,historical,MPI-ESM1-2-LR
1908,tas,12.16904,historical,MPI-ESM1-2-LR
1909,tas,12.095879,historical,MPI-ESM1-2-LR
1910,tas,12.365023,historical,MPI-ESM1-2-LR
1911,tas,12.418944,historical,MPI-ESM1-2-LR
1912,tas,12.578706,historical,MPI-ESM1-2-LR
1913,tas,12.228709,historical,MPI-ESM1-2-LR
1914,tas,12.35975,historical,MPI-ESM1-2-LR
1915,tas,12.45168,historical,MPI-ESM1-2-LR
1916,tas,12.320341,historical,MPI-ESM1-2-LR
1917,tas,12.277742,historical,MPI-ESM1-2-LR
1918,tas,12.011978,historical,MPI-ESM1-2-LR
1919,tas,12.307615,historical,MPI-ESM1-2-LR
1920,tas,12.320083,historical,MPI-ESM1-2-LR
1921,tas,12.294906,historical,MPI-ESM1-2-LR
1922,tas,12.301561,historical,MPI-ESM1-2-LR
1923,tas,12.485518,historical,MPI-ESM1-2-LR
1924,tas,12.703244,historical,MPI-ESM1-2-LR
1925,tas,12.186966,historical,MPI-ESM1-2-LR
1926,tas,12.514786,historical,MPI-ESM1-2-LR
1927,tas,12.369522,historical,MPI-ESM1-2-LR
1928,tas,12.789362,historical,MPI-ESM1-2-LR
1929,tas,12.781315,historical,MPI-ESM1-2-LR
1930,tas,12.54409,historical,MPI-ESM1-2-LR
1931,tas,12.313268,historical,MPI-ESM1-2-LR
1932,tas,12.322688,historical,MPI-ESM1-2-LR
1933,tas,12.545315,historical,MPI-ESM1-2-LR
1934,tas,12.553824,historical,MPI-ESM1-2-LR
1935,tas,12.588379,historical,MPI-ESM1-2-LR
1936,tas,12.913038,historical,MPI-ESM1-2-LR
1937,tas,12.685576,historical,MPI-ESM1-2-LR
1938,tas,12.420212,historical,MPI-ESM1-2-LR
1939,tas,12.33445,historical,MPI-ESM1-2-LR
1940,tas,12.454079,historical,MPI-ESM1-2-LR
1941,tas,12.722555,historical,MPI-ESM1-2-LR
1942,tas,12.277867,historical,MPI-ESM1-2-LR
1943,tas,12.823844,historical,MPI-ESM1-2-LR
1944,tas,12.572669,historical,MPI-ESM1-2-LR
1945,tas,12.792552,historical,MPI-ESM1-2-LR
1946,tas,13.10496,historical,MPI-ESM1-2-LR
1947,tas,12.682643,historical,MPI-ESM1-2-LR
1948,tas,12.766924,historical,MPI-ESM1-2-LR
1949,tas,12.468564,historical,MPI-ESM1-2-LR
1950,tas,12.750443,historical,MPI-ESM1-2-LR
1951,tas,12.481274,historical,MPI-ESM1-2-LR
1952,tas,12.828993,historical,MPI-ESM1-2-LR
1953,tas,12.88943,historical,MPI-ESM1-2-LR
1954,tas,12.6314,historical,MPI-ESM1-2-LR
1955,tas,12.44983,historical,MPI-ESM1-2-LR
1956,tas,13.102483,historical,MPI-ESM1-2-LR
1957,tas,12.358255,historical,MPI-ESM1-2-LR
1958,tas,12.554595,historical,MPI-ESM1-2-LR
1959,tas,12.833961,historical,MPI-ESM1-2-LR
1960,tas,12.779884,historical,MPI-ESM1-2-LR
1961,tas,12.776359,historical,MPI-ESM1-2-LR
1962,tas,12.617689,historical,MPI-ESM1-2-LR
1963,tas,12.707188,historical,MPI-ESM1-2-LR
1964,tas,12.280549,historical,MPI-ESM1-2-LR
1965,tas,12.324325,historical,MPI-ESM1-2-LR
1966,tas,12.332993,historical,MPI-ESM1-2-LR
1967,tas,12.400301,historical,MPI-ESM1-2-LR
1968,tas,12.848556,historical,MPI-ESM1-2-LR
1969,tas,12.549316,historical,MPI-ESM1-2-LR
1970,tas,12.187716,historical,MPI-ESM1-2-LR
1971,tas,12.484729,historical,MPI-ESM1-2-LR
1972,tas,12.351234,historical,MPI-ESM1-2-LR
1973,tas,12.474491,historical,MPI-ESM1-2-LR
1974,tas,12.956314,historical,MPI-ESM1-2-LR
1975,tas,12.330161,historical,MPI-ESM1-2-LR
1976,tas,12.253123,historical,MPI-ESM1-2-LR
1977,tas,12.56269,historical,MPI-ESM1-2-LR
1978,tas,12.422556,historical,MPI-ESM1-2-LR
1979,tas,12.524477,historical,MPI-ESM1-2-LR
1980,tas,12.673678,historical,MPI-ESM1-2-LR
1981,tas,13.003668,historical,MPI-ESM1-2-LR
1982,tas,12.585933,historical,MPI-ESM1-2-LR
1983,tas,12.559533,historical,MPI-ESM1-2-LR
1984,tas,12.807805,historical,MPI-ESM1-2-LR
1985,tas,12.815925,historical,MPI-ESM1-2-LR
1986,tas,13.004267,historical,MPI-ESM1-2-LR
1987,tas,12.718698,historical,MPI-ESM1-2-LR
1988,tas,13.095111,historical,MPI-ESM1-2-LR
1989,tas,12.810396,historical,MPI-ESM1-2-LR
1990,tas,13.009547,historical,MPI-ESM1-2-LR
1991,tas,13.106819,historical,MPI-ESM1-2-LR
