year,variable,value,scenario,model
1850,tas,11.549846,historical,MPI-ESM1-2-LR
1851,tas,11.691012,historical,MPI-ESM1-2-LR
1852,tas,11.839398,historical,MPI-ESM1-2-LR
1853,tas,12.230211,historical,MPI-ESM1-2-LR
1854,tas,12.032649,historical,MPI-ESM1-2-LR
1855,tas,11.942251,historical,MPI-ESM1-2-LR
1856,tas,12.035984,historical,MPI-ESM1-2-LR
1857,tas,11.490737,historical,MPI-ESM1-2-LR
1858,tas,11.87893,historical,MPI-ESM1-2-LR
1859,tas,11.812832,historical,MPI-ESM1-2-LR
1860,tas,11.712571,historical,MPI-ESM1-2-LR
1861,tas,12.110666,historical,MPI-ESM1-2-LR
1862,tas,11.689865,historical,MPI-ESM1-2-LR
1863,tas,11.91576,historical,MPI-ESM1-2-LR
1864,tas,11.814048,historical,MPI-ESM1-2-LR
1865,tas,12.01969,historical,MPI-ESM1-2-LR
1866,tas,11.781768,historical,MPI-ESM1-2-LR
1867,tas,11.906773,historical,MPI-ESM1-2-LR
1868,tas,11.957631,historical,MPI-ESM1-2-LR
1869,tas,11.887141,historical,MPI-ESM1-2-LR
1870,tas,12.12467,historical,MPI-ESM1-2-LR
1871,tas,11.937075,historical,MPI-ESM1-2-LR
1872,tas,11.775176,historical,MPI-ESM1-2-LR
1873,tas,11.741395,historical,MPI-ESM1-2-LR
1874,tas,11.711896,historical,MPI-ESM1-2-LR
1875,tas,11.52459,historical,MPI-ESM1-2-LR
1876,tas,11.59359,historical,MPI-ESM1-2-LR
1877,tas,11.976742,historical,MPI-ESM1-2-LR
1878,tas,11.786496,historical,MPI-ESM1-2-LR
1879,tas,11.966541,historical,MPI-ESM1-2-LR
1880,tas,11.763083,historical,MPI-ESM1-2-LR
1881,tas,11.531784,historical,MPI-ESM1-2-LR
1882,tas,11.913853,historical,MPI-ESM1-2-LR
1883,tas,11.796631,historical,MPI-ESM1-2-LR
1884,tas,11.682234,historical,MPI-ESM1-2-LR
1885,tas,11.530889,historical,MPI-ESM1-2-LR
1886,tas,11.5668,historical,MPI-ESM1-2-LR
1887,tas,11.4867,historical,MPI-ESM1-2-LR
1888,tas,11.703791,historical,MPI-ESM1-2-LR
1889,tas,11.82069,historical,MPI-ESM1-2-LR
1890,tas,11.821547,historical,MPI-ESM1-2-LR
1891,tas,11.700117,historical,MPI-ESM1-2-LR
1892,tas,11.891044,historical,MPI-ESM1-2-LR
1893,tas,11.772757,historical,MPI-ESM1-2-LR
1894,tas,11.773377,historical,MPI-ESM1-2-LR
1895,tas,12.08958,historical,MPI-ESM1-2-LR
1896,tas,11.672894,historical,MPI-ESM1-2-LR
1897,tas,12.104014,historical,MPI-ESM1-2-LR
