year,variable,value,scenario,model
1850,tas,14.620126,historical,MPI-ESM1-2-LR
1851,tas,14.720876,historical,MPI-ESM1-2-LR
1852,tas,14.463193,historical,MPI-ESM1-2-LR
1853,tas,15.035168,historical,MPI-ESM1-2-LR
1854,tas,14.927838,historical,MPI-ESM1-2-LR
1855,tas,14.699104,historical,MPI-ESM1-2-LR
1856,tas,14.488888,historical,MPI-ESM1-2-LR
1857,tas,14.746041,historical,MPI-ESM1-2-LR
1858,tas,14.731436,historical,MPI-ESM1-2-LR
1859,tas,14.741074,historical,MPI-ESM1-2-LR
1860,tas,14.722217,historical,MPI-ESM1-2-LR
1861,tas,14.803268,historical,MPI-ESM1-2-LR
1862,tas,14.760909,historical,MPI-ESM1-2-LR
1863,tas,14.569508,historical,MPI-ESM1-2-LR
1864,tas,15.177612,historical,MPI-ESM1-2-LR
1865,tas,14.980297,historical,MPI-ESM1-2-LR
1866,tas,14.666216,historical,MPI-ESM1-2-LR
1867,tas,14.619242,historical,MPI-ESM1-2-LR
1868,tas,14.660489,historical,MPI-ESM1-2-LR
1869,tas,14.573635,historical,MPI-ESM1-2-LR
1870,tas,14.954085,historical,MPI-ESM1-2-LR
1871,tas,14.639441,historical,MPI-ESM1-2-LR
1872,tas,14.699261,historical,MPI-ESM1-2-LR
1873,tas,14.609755,historical,MPI-ESM1-2-LR
1874,tas,14.575622,historical,MPI-ESM1-2-LR
1875,tas,14.350342,historical,MPI-ESM1-2-LR
1876,tas,14.794588,historical,MPI-ESM1-2-LR
1877,tas,14.677808,historical,MPI-ESM1-2-LR
1878,tas,14.713678,historical,MPI-ESM1-2-LR
1879,tas,14.614529,historical,MPI-ESM1-2-LR
1880,tas,14.896494,historical,MPI-ESM1-2-LR
1881,tas,14.47526,historical,MPI-ESM1-2-LR
1882,tas,14.532582,historical,MPI-ESM1-2-LR
1883,tas,14.796627,historical,MPI-ESM1-2-LR
1884,tas,14.364929,historical,MPI-ESM1-2-LR
1885,tas,14.442442,historical,MPI-ESM1-2-LR
1886,tas,14.603575,historical,MPI-ESM1-2-LR
1887,tas,14.380044,historical,MPI-ESM1-2-LR
1888,tas,14.722471,historical,MPI-ESM1-2-LR
1889,tas,14.736292,historical,MPI-ESM1-2-LR
1890,tas,14.970255,historical,MPI-ESM1-2-LR
1891,tas,14.913642,historical,MPI-ESM1-2-LR
1892,tas,14.577337,historical,MPI-ESM1-2-LR
1893,tas,14.844814,historical,MPI-ESM1-2-LR
1894,tas,14.74659,historical,MPI-ESM1-2-LR
1895,tas,14.670972,historical,MPI-ESM1-2-LR
1896,tas,14.699359,historical,MPI-ESM1-2-LR
1897,tas,14.872943,historical,MPI-ESM1-2-LR
1898,tas,14.615195,historical,MPI-ESM1-2-LR
1899,tas,14.608848,historical,MPI-ESM1-2-LR
1900,tas,14.658849,historical,MPI-ESM1-2-LR
1901,tas,14.628134,historical,MPI-ESM1-2-LR
1902,tas,14.84233,historical,MPI-ESM1-2-LR
1903,tas,14.278804,historical,MPI-ESM1-2-LR
1904,tas,14.717309,historical,MPI-ESM1-2-LR
1905,tas,14.753586,historical,MPI-ESM1-2-LR
1906,tas,14.774207,historical,MPI-ESM1-2-LR
1907,tas,14.544355,historical,MPI-ESM1-2-LR
1908,tas,14.831985,historical,MPI-ESM1-2-LR
1909,tas,14.579155,historical,MPI-ESM1-2-LR
1910,tas,14.571451,historical,MPI-ESM1-2-LR
1911,tas,14.677711,historical,MPI-ESM1-2-LR
1912,tas,14.869308,historical,MPI-ESM1-2-LR
1913,tas,14.692313,historical,MPI-ESM1-2-LR
1914,tas,14.797695,historical,MPI-ESM1-2-LR
1915,tas,14.78355,historical,MPI-ESM1-2-LR
1916,tas,14.787696,historical,MPI-ESM1-2-LR
1917,tas,14.446175,historical,MPI-ESM1-2-LR
1918,tas,14.688535,historical,MPI-ESM1-2-LR
1919,tas,14.578943,historical,MPI-ESM1-2-LR
1920,tas,15.108113,historical,MPI-ESM1-2-LR
1921,tas,14.875213,historical,MPI-ESM1-2-LR
1922,tas,14.878422,historical,MPI-ESM1-2-LR
1923,tas,14.98723,historical,MPI-ESM1-2-LR
1924,tas,15.057477,historical,MPI-ESM1-2-LR
1925,tas,14.7231,historical,MPI-ESM1-2-LR
1926,tas,14.826166,historical,MPI-ESM1-2-LR
1927,tas,15.061524,historical,MPI-ESM1-2-LR
1928,tas,15.139551,historical,MPI-ESM1-2-LR
1929,tas,15.107134,historical,MPI-ESM1-2-LR
1930,tas,14.920092,historical,MPI-ESM1-2-LR
1931,tas,14.896903,historical,MPI-ESM1-2-LR
1932,tas,15.044915,historical,MPI-ESM1-2-LR
1933,tas,14.573997,historical,MPI-ESM1-2-LR
1934,tas,14.821423,historical,MPI-ESM1-2-LR
1935,tas,14.998536,historical,MPI-ESM1-2-LR
1936,tas,14.890367,historical,MPI-ESM1-2-LR
1937,tas,14.826261,historical,MPI-ESM1-2-LR
1938,tas,14.930177,historical,MPI-ESM1-2-LR
1939,tas,14.827153,historical,MPI-ESM1-2-LR
1940,tas,15.019594,historical,MPI-ESM1-2-LR
1941,tas,14.887218,historical,MPI-ESM1-2-LR
1942,tas,15.062165,historical,MPI-ESM1-2-LR
1943,tas,15.262372,historical,MPI-ESM1-2-LR
1944,tas,15.206909,historical,MPI-ESM1-2-LR
1945,tas,14.857217,historical,MPI-ESM1-2-LR
1946,tas,15.112272,historical,MPI-ESM1-2-LR
1947,tas,15.091077,historical,MPI-ESM1-2-LR
1948,tas,14.911457,historical,MPI-ESM1-2-LR
1949,tas,14.720558,historical,MPI-ESM1-2-LR
1950,tas,14.922732,historical,MPI-ESM1-2-LR
1951,tas,15.109509,historical,MPI-ESM1-2-LR
1952,tas,15.267132,historical,MPI-ESM1-2-LR
1953,tas,15.028108,historical,MPI-ESM1-2-LR
1954,tas,15.00975,historical,MPI-ESM1-2-LR
1955,tas,14.81708,historical,MPI-ESM1-2-LR
1956,tas,14.845242,historical,MPI-ESM1-2-LR
1957,tas,14.964265,historical,MPI-ESM1-2-LR
1958,tas,14.933828,historical,MPI-ESM1-2-LR
1959,tas,15.009416,historical,MPI-ESM1-2-LR
1960,tas,15.023812,historical,MPI-ESM1-2-LR
1961,tas,15.39803,historical,MPI-ESM1-2-LR
1962,tas,15.182627,historical,MPI-ESM1-2-LR
1963,tas,14.899535,historical,MPI-ESM1-2-LR
1964,tas,14.755462,historical,MPI-ESM1-2-LR
1965,tas,14.82464,historical,MPI-ESM1-2-LR
1966,tas,14.704757,historical,MPI-ESM1-2-LR
1967,tas,14.895773,historical,MPI-ESM1-2-LR
1968,tas,14.991847,historical,MPI-ESM1-2-LR
1969,tas,15.025221,historical,MPI-ESM1-2-LR
1970,tas,14.894188,historical,MPI-ESM1-2-LR
1971,tas,15.08277,historical,MPI-ESM1-2-LR
1972,tas,14.891882,historical,MPI-ESM1-2-LR
1973,tas,15.181678,historical,MPI-ESM1-2-LR
1974,tas,15.236733,historical,MPI-ESM1-2-LR
1975,tas,14.907719,historical,MPI-ESM1-2-LR
1976,tas,14.965431,historical,MPI-ESM1-2-LR
1977,tas,14.679298,historical,MPI-ESM1-2-LR
1978,tas,14.972601,historical,MPI-ESM1-2-LR
1979,tas,15.041227,historical,MPI-ESM1-2-LR
1980,tas,15.532286,historical,MPI-ESM1-2-LR
1981,tas,15.406609,historical,MPI-ESM1-2-LR
1982,tas,15.256106,historical,MPI-ESM1-2-LR
1983,tas,14.91239,historical,MPI-ESM1-2-LR
1984,tas,15.325365,historical,MPI-ESM1-2-LR
1985,tas,15.348763,historical,MPI-ESM1-2-LR
1986,tas,15.394344,historical,MPI-ESM1-2-LR
1987,tas,15.065751,historical,MPI-ESM1-2-LR
1988,tas,15.187462,historical,MPI-ESM1-2-LR
1989,tas,15.293612,historical,MPI-ESM1-2-LR
1990,tas,15.508553,historical,MPI-ESM1-2-LR
1991,tas,15.4571,historical,MPI-ESM1-2-LR
1992,tas,15.132308,historical,MPI-ESM1-2-LR
1993,tas,15.050091,historical,MPI-ESM1-2-LR
1994,tas,15.114231,historical,MPI-ESM1-2-LR
1995,tas,15.128329,historical,MPI-ESM1-2-LR
1996,tas,15.388825,historical,MPI-ESM1-2-LR
1997,tas,15.592422,historical,MPI-ESM1-2-LR
1998,tas,15.42406,historical,MPI-ESM1-2-LR
1999,tas,15.547325,historical,MPI-ESM1-2-LR
