year,variable,value,scenario,model
1850,tas,11.290738,historical,MPI-ESM1-2-LR
1851,tas,11.746403,historical,MPI-ESM1-2-LR
1852,tas,11.634888,historical,MPI-ESM1-2-LR
1853,tas,11.941397,historical,MPI-ESM1-2-LR
1854,tas,11.579649,historical,MPI-ESM1-2-LR
1855,tas,11.784594,historical,MPI-ESM1-2-LR
1856,tas,11.816978,historical,MPI-ESM1-2-LR
1857,tas,11.955908,historical,MPI-ESM1-2-LR
1858,tas,11.383585,historical,MPI-ESM1-2-LR
1859,tas,11.524444,historical,MPI-ESM1-2-LR
1860,tas,11.696095,historical,MPI-ESM1-2-LR
1861,tas,11.744954,historical,MPI-ESM1-2-LR
1862,tas,11.683677,historical,MPI-ESM1-2-LR
1863,tas,11.64861,historical,MPI-ESM1-2-LR
1864,tas,11.931285,historical,MPI-ESM1-2-LR
1865,tas,11.583991,historical,MPI-ESM1-2-LR
1866,tas,11.906593,historical,MPI-ESM1-2-LR
1867,tas,11.412803,historical,MPI-ESM1-2-LR
1868,tas,11.373395,historical,MPI-ESM1-2-LR
1869,tas,11.974936,historical,MPI-ESM1-2-LR
1870,tas,11.754912,historical,MPI-ESM1-2-LR
1871,tas,11.971955,historical,MPI-ESM1-2-LR
1872,tas,11.431631,historical,MPI-ESM1-2-LR
1873,tas,11.374813,historical,MPI-ESM1-2-LR
1874,tas,11.576728,historical,MPI-ESM1-2-LR
1875,tas,11.646049,historical,MPI-ESM1-2-LR
1876,tas,11.381279,historical,MPI-ESM1-2-LR
1877,tas,11.940734,historical,MPI-ESM1-2-LR
1878,tas,12.011549,historical,MPI-ESM1-2-LR
1879,tas,11.9272,historical,MPI-ESM1-2-LR
1880,tas,11.225135,historical,MPI-ESM1-2-LR
1881,tas,11.86303,historical,MPI-ESM1-2-LR
1882,tas,11.554106,historical,MPI-ESM1-2-LR
1883,tas,11.161894,historical,MPI-ESM1-2-LR
1884,tas,11.238816,historical,MPI-ESM1-2-LR
1885,tas,11.269619,historical,MPI-ESM1-2-LR
1886,tas,11.328419,historical,MPI-ESM1-2-LR
1887,tas,11.928767,historical,MPI-ESM1-2-LR
1888,tas,11.617122,historical,MPI-ESM1-2-LR
1889,tas,11.572172,historical,MPI-ESM1-2-LR
1890,tas,11.385008,historical,MPI-ESM1-2-LR
1891,tas,11.255541,historical,MPI-ESM1-2-LR
1892,tas,11.521229,historical,MPI-ESM1-2-LR
1893,tas,11.859918,historical,MPI-ESM1-2-LR
1894,tas,11.458525,historical,MPI-ESM1-2-LR
1895,tas,11.849607,historical,MPI-ESM1-2-LR
1896,tas,11.841832,historical,MPI-ESM1-2-LR
1897,tas,11.687752,historical,MPI-ESM1-2-LR
1898,tas,11.723437,historical,MPI-ESM1-2-LR
1899,tas,11.597015,historical,MPI-ESM1-2-LR
1900,tas,11.593357,historical,MPI-ESM1-2-LR
1901,tas,11.72443,historical,MPI-ESM1-2-LR
1902,tas,11.41277,historical,MPI-ESM1-2-LR
1903,tas,11.380363,historical,MPI-ESM1-2-LR
1904,tas,11.643489,historical,MPI-ESM1-2-LR
1905,tas,11.763327,historical,MPI-ESM1-2-LR
1906,tas,11.835907,historical,MPI-ESM1-2-LR
1907,tas,11.669437,historical,MPI-ESM1-2-LR
1908,tas,11.258212,historical,MPI-ESM1-2-LR
1909,tas,11.36848,historical,MPI-ESM1-2-LR
1910,tas,11.687455,historical,MPI-ESM1-2-LR
1911,tas,11.567344,historical,MPI-ESM1-2-LR
1912,tas,11.587558,historical,MPI-ESM1-2-LR
1913,tas,11.726985,historical,MPI-ESM1-2-LR
1914,tas,11.662601,historical,MPI-ESM1-2-LR
1915,tas,11.702668,historical,MPI-ESM1-2-LR
1916,tas,11.776476,historical,MPI-ESM1-2-LR
1917,tas,11.498591,historical,MPI-ESM1-2-LR
1918,tas,11.576099,historical,MPI-ESM1-2-LR
1919,tas,11.480972,historical,MPI-ESM1-2-LR
1920,tas,11.615446,historical,MPI-ESM1-2-LR
1921,tas,11.845868,historical,MPI-ESM1-2-LR
1922,tas,11.964747,historical,MPI-ESM1-2-LR
1923,tas,11.779241,historical,MPI-ESM1-2-LR
1924,tas,11.551569,historical,MPI-ESM1-2-LR
1925,tas,11.570077,historical,MPI-ESM1-2-LR
1926,tas,12.074612,historical,MPI-ESM1-2-LR
1927,tas,11.782108,historical,MPI-ESM1-2-LR
1928,tas,11.951916,historical,MPI-ESM1-2-LR
1929,tas,11.942271,historical,MPI-ESM1-2-LR
1930,tas,11.734724,historical,MPI-ESM1-2-LR
1931,tas,11.702741,historical,MPI-ESM1-2-LR
1932,tas,11.536606,historical,MPI-ESM1-2-LR
1933,tas,11.823803,historical,MPI-ESM1-2-LR
1934,tas,12.089171,historical,MPI-ESM1-2-LR
1935,tas,11.672553,historical,MPI-ESM1-2-LR
1936,tas,11.766621,historical,MPI-ESM1-2-LR
1937,tas,11.895054,historical,MPI-ESM1-2-LR
1938,tas,11.942575,historical,MPI-ESM1-2-LR
1939,tas,11.946429,historical,MPI-ESM1-2-LR
1940,tas,12.171902,historical,MPI-ESM1-2-LR
1941,tas,11.887693,historical,MPI-ESM1-2-LR
1942,tas,12.00973,historical,MPI-ESM1-2-LR
1943,tas,11.903485,historical,MPI-ESM1-2-LR
1944,tas,11.704918,historical,MPI-ESM1-2-LR
