year,variable,value,scenario,model
1850,tas,12.439443,historical,MPI-ESM1-2-LR
1851,tas,12.635638,historical,MPI-ESM1-2-LR
1852,tas,12.498111,historical,MPI-ESM1-2-LR
1853,tas,13.066039,historical,MPI-ESM1-2-LR
1854,tas,12.966163,historical,MPI-ESM1-2-LR
1855,tas,12.678969,historical,MPI-ESM1-2-LR
1856,tas,12.730849,historical,MPI-ESM1-2-LR
1857,tas,12.488813,historical,MPI-ESM1-2-LR
1858,tas,12.578714,historical,MPI-ESM1-2-LR
1859,tas,12.833268,historical,MPI-ESM1-2-LR
1860,tas,12.645996,historical,MPI-ESM1-2-LR
1861,tas,12.77491,historical,MPI-ESM1-2-LR
1862,tas,12.692364,historical,MPI-ESM1-2-LR
1863,tas,12.420045,historical,MPI-ESM1-2-LR
1864,tas,13.133984,historical,MPI-ESM1-2-LR
1865,tas,13.023703,historical,MPI-ESM1-2-LR
1866,tas,12.73542,historical,MPI-ESM1-2-LR
1867,tas,12.836636,historical,MPI-ESM1-2-LR
1868,tas,12.792967,historical,MPI-ESM1-2-LR
1869,tas,12.758797,historical,MPI-ESM1-2-LR
1870,tas,13.044014,historical,MPI-ESM1-2-LR
1871,tas,12.801124,historical,MPI-ESM1-2-LR
1872,tas,12.749326,historical,MPI-ESM1-2-LR
1873,tas,12.803927,historical,MPI-ESM1-2-LR
1874,tas,12.813307,historical,MPI-ESM1-2-LR
1875,tas,12.516334,historical,MPI-ESM1-2-LR
1876,tas,12.488923,historical,MPI-ESM1-2-LR
1877,tas,12.647316,historical,MPI-ESM1-2-LR
1878,tas,12.63061,historical,MPI-ESM1-2-LR
1879,tas,12.32479,historical,MPI-ESM1-2-LR
1880,tas,12.68201,historical,MPI-ESM1-2-LR
1881,tas,12.661534,historical,MPI-ESM1-2-LR
1882,tas,12.590311,historical,MPI-ESM1-2-LR
1883,tas,12.777683,historical,MPI-ESM1-2-LR
1884,tas,12.754618,historical,MPI-ESM1-2-LR
1885,tas,12.45161,historical,MPI-ESM1-2-LR
1886,tas,12.818604,historical,MPI-ESM1-2-LR
1887,tas,12.263949,historical,MPI-ESM1-2-LR
1888,tas,12.621005,historical,MPI-ESM1-2-LR
1889,tas,12.710687,historical,MPI-ESM1-2-LR
1890,tas,12.884767,historical,MPI-ESM1-2-LR
1891,tas,12.299889,historical,MPI-ESM1-2-LR
1892,tas,12.219254,historical,MPI-ESM1-2-LR
1893,tas,12.995761,historical,MPI-ESM1-2-LR
1894,tas,12.783199,historical,MPI-ESM1-2-LR
1895,tas,12.275171,historical,MPI-ESM1-2-LR
1896,tas,12.775332,historical,MPI-ESM1-2-LR
1897,tas,13.101225,historical,MPI-ESM1-2-LR
1898,tas,12.904795,historical,MPI-ESM1-2-LR
1899,tas,12.575417,historical,MPI-ESM1-2-LR
1900,tas,12.638878,historical,MPI-ESM1-2-LR
1901,tas,12.872809,historical,MPI-ESM1-2-LR
1902,tas,12.684446,historical,MPI-ESM1-2-LR
1903,tas,12.409896,historical,MPI-ESM1-2-LR
1904,tas,12.453748,historical,MPI-ESM1-2-LR
1905,tas,12.99389,historical,MPI-ESM1-2-LR
1906,tas,12.834896,historical,MPI-ESM1-2-LR
1907,tas,12.759903,historical,MPI-ESM1-2-LR
1908,tas,12.667131,historical,MPI-ESM1-2-LR
1909,tas,12.631488,historical,MPI-ESM1-2-LR
1910,tas,12.509835,historical,MPI-ESM1-2-LR
1911,tas,12.668229,historical,MPI-ESM1-2-LR
1912,tas,12.632871,historical,MPI-ESM1-2-LR
1913,tas,12.726605,historical,MPI-ESM1-2-LR
1914,tas,13.021521,historical,MPI-ESM1-2-LR
1915,tas,12.877076,historical,MPI-ESM1-2-LR
1916,tas,12.726043,historical,MPI-ESM1-2-LR
1917,tas,12.738681,historical,MPI-ESM1-2-LR
1918,tas,12.553548,historical,MPI-ESM1-2-LR
1919,tas,12.902008,historical,MPI-ESM1-2-LR
1920,tas,12.590876,historical,MPI-ESM1-2-LR
1921,tas,12.944646,historical,MPI-ESM1-2-LR
1922,tas,12.666205,historical,MPI-ESM1-2-LR
1923,tas,12.931757,historical,MPI-ESM1-2-LR
1924,tas,13.123368,historical,MPI-ESM1-2-LR
1925,tas,12.781923,historical,MPI-ESM1-2-LR
1926,tas,12.78132,historical,MPI-ESM1-2-LR
1927,tas,13.004093,historical,MPI-ESM1-2-LR
1928,tas,13.150557,historical,MPI-ESM1-2-LR
1929,tas,13.240628,historical,MPI-ESM1-2-LR
1930,tas,12.75617,historical,MPI-ESM1-2-LR
1931,tas,12.889075,historical,MPI-ESM1-2-LR
1932,tas,12.846143,historical,MPI-ESM1-2-LR
