year,variable,value,scenario,model
1850,tas,12.28443,historical,MPI-ESM1-2-LR
1851,tas,11.916945,historical,MPI-ESM1-2-LR
1852,tas,12.173596,historical,MPI-ESM1-2-LR
1853,tas,12.67582,historical,MPI-ESM1-2-LR
1854,tas,12.649007,historical,MPI-ESM1-2-LR
1855,tas,12.291745,historical,MPI-ESM1-2-LR
1856,tas,12.166591,historical,MPI-ESM1-2-LR
1857,tas,12.243547,historical,MPI-ESM1-2-LR
1858,tas,12.193797,historical,MPI-ESM1-2-LR
1859,tas,12.330654,historical,MPI-ESM1-2-LR
1860,tas,11.992534,historical,MPI-ESM1-2-LR
1861,tas,12.272826,historical,MPI-ESM1-2-LR
1862,tas,11.89702,historical,MPI-ESM1-2-LR
1863,tas,12.220672,historical,MPI-ESM1-2-LR
1864,tas,12.353873,historical,MPI-ESM1-2-LR
1865,tas,12.22349,historical,MPI-ESM1-2-LR
1866,tas,12.078156,historical,MPI-ESM1-2-LR
1867,tas,12.146692,historical,MPI-ESM1-2-LR
1868,tas,11.994737,historical,MPI-ESM1-2-LR
1869,tas,11.848392,historical,MPI-ESM1-2-LR
1870,tas,12.118246,historical,MPI-ESM1-2-LR
1871,tas,12.427168,historical,MPI-ESM1-2-LR
1872,tas,12.271758,historical,MPI-ESM1-2-LR
1873,tas,12.155516,historical,MPI-ESM1-2-LR
1874,tas,12.261978,historical,MPI-ESM1-2-LR
1875,tas,11.789129,historical,MPI-ESM1-2-LR
1876,tas,11.788517,historical,MPI-ESM1-2-LR
1877,tas,12.031387,historical,MPI-ESM1-2-LR
1878,tas,11.93288,historical,MPI-ESM1-2-LR
1879,tas,12.185233,historical,MPI-ESM1-2-LR
1880,tas,12.178051,historical,MPI-ESM1-2-LR
1881,tas,12.025117,historical,MPI-ESM1-2-LR
1882,tas,12.080688,historical,MPI-ESM1-2-LR
1883,tas,12.1504,historical,MPI-ESM1-2-LR
1884,tas,11.864826,historical,MPI-ESM1-2-LR
1885,tas,11.991749,historical,MPI-ESM1-2-LR
1886,tas,11.889228,historical,MPI-ESM1-2-LR
1887,tas,11.925415,historical,MPI-ESM1-2-LR
1888,tas,11.638193,historical,MPI-ESM1-2-LR
1889,tas,11.989231,historical,MPI-ESM1-2-LR
1890,tas,12.132537,historical,MPI-ESM1-2-LR
1891,tas,11.776267,historical,MPI-ESM1-2-LR
1892,tas,11.929847,historical,MPI-ESM1-2-LR
1893,tas,12.153716,historical,MPI-ESM1-2-LR
1894,tas,12.213779,historical,MPI-ESM1-2-LR
1895,tas,11.873546,historical,MPI-ESM1-2-LR
1896,tas,12.123069,historical,MPI-ESM1-2-LR
1897,tas,12.487296,historical,MPI-ESM1-2-LR
1898,tas,12.381878,historical,MPI-ESM1-2-LR
1899,tas,12.239617,historical,MPI-ESM1-2-LR
1900,tas,11.847629,historical,MPI-ESM1-2-LR
1901,tas,12.109833,historical,MPI-ESM1-2-LR
1902,tas,12.201957,historical,MPI-ESM1-2-LR
1903,tas,11.890233,historical,MPI-ESM1-2-LR
1904,tas,11.95457,historical,MPI-ESM1-2-LR
1905,tas,12.287075,historical,MPI-ESM1-2-LR
1906,tas,12.539594,historical,MPI-ESM1-2-LR
1907,tas,11.967098,historical,MPI-ESM1-2-LR
1908,tas,11.883853,historical,MPI-ESM1-2-LR
1909,tas,11.814002,historical,MPI-ESM1-2-LR
1910,tas,12.249048,historical,MPI-ESM1-2-LR
1911,tas,12.285701,historical,MPI-ESM1-2-LR
1912,tas,12.058992,historical,MPI-ESM1-2-LR
1913,tas,12.159578,historical,MPI-ESM1-2-LR
1914,tas,12.311689,historical,MPI-ESM1-2-LR
1915,tas,12.247328,historical,MPI-ESM1-2-LR
1916,tas,12.181938,historical,MPI-ESM1-2-LR
1917,tas,12.18107,historical,MPI-ESM1-2-LR
1918,tas,11.848934,historical,MPI-ESM1-2-LR
1919,tas,12.184614,historical,MPI-ESM1-2-LR
1920,tas,12.310479,historical,MPI-ESM1-2-LR
1921,tas,12.220786,historical,MPI-ESM1-2-LR
1922,tas,12.358254,historical,MPI-ESM1-2-LR
1923,tas,12.416262,historical,MPI-ESM1-2-LR
1924,tas,12.187908,historical,MPI-ESM1-2-LR
1925,tas,12.027328,historical,MPI-ESM1-2-LR
1926,tas,12.529754,historical,MPI-ESM1-2-LR
1927,tas,12.334188,historical,MPI-ESM1-2-LR
1928,tas,12.301029,historical,MPI-ESM1-2-LR
1929,tas,12.530285,historical,MPI-ESM1-2-LR
1930,tas,12.352817,historical,MPI-ESM1-2-LR
1931,tas,12.165038,historical,MPI-ESM1-2-LR
1932,tas,12.017554,historical,MPI-ESM1-2-LR
1933,tas,12.024051,historical,MPI-ESM1-2-LR
1934,tas,12.218742,historical,MPI-ESM1-2-LR
1935,tas,12.566129,historical,MPI-ESM1-2-LR
1936,tas,12.494987,historical,MPI-ESM1-2-LR
1937,tas,12.411228,historical,MPI-ESM1-2-LR
1938,tas,12.22545,historical,MPI-ESM1-2-LR
1939,tas,12.256206,historical,MPI-ESM1-2-LR
1940,tas,12.472711,historical,MPI-ESM1-2-LR
1941,tas,12.452438,historical,MPI-ESM1-2-LR
1942,tas,12.675488,historical,MPI-ESM1-2-LR
1943,tas,12.541825,historical,MPI-ESM1-2-LR
1944,tas,12.495419,historical,MPI-ESM1-2-LR
1945,tas,12.668735,historical,MPI-ESM1-2-LR
1946,tas,12.511797,historical,MPI-ESM1-2-LR
