year,variable,value,scenario,model
1850,tas,11.600919,historical,MPI-ESM1-2-LR
1851,tas,11.819154,historical,MPI-ESM1-2-LR
1852,tas,11.791571,historical,MPI-ESM1-2-LR
1853,tas,12.30895,historical,MPI-ESM1-2-LR
1854,tas,12.015708,historical,MPI-ESM1-2-LR
1855,tas,11.822784,historical,MPI-ESM1-2-LR
1856,tas,12.088613,historical,MPI-ESM1-2-LR
1857,tas,11.486658,historical,MPI-ESM1-2-LR
1858,tas,12.047053,historical,MPI-ESM1-2-LR
1859,tas,11.762958,historical,MPI-ESM1-2-LR
1860,tas,11.773369,historical,MPI-ESM1-2-LR
1861,tas,12.14111,historical,MPI-ESM1-2-LR
1862,tas,11.865291,historical,MPI-ESM1-2-LR
1863,tas,11.919489,historical,MPI-ESM1-2-LR
1864,tas,12.000931,historical,MPI-ESM1-2-LR
1865,tas,12.12375,historical,MPI-ESM1-2-LR
1866,tas,11.923702,historical,MPI-ESM1-2-LR
1867,tas,11.804289,historical,MPI-ESM1-2-LR
1868,tas,11.973021,historical,MPI-ESM1-2-LR
1869,tas,11.807182,historical,MPI-ESM1-2-LR
1870,tas,12.135411,historical,MPI-ESM1-2-LR
1871,tas,11.973524,historical,MPI-ESM1-2-LR
1872,tas,11.934392,historical,MPI-ESM1-2-LR
1873,tas,11.83784,historical,MPI-ESM1-2-LR
1874,tas,11.773081,historical,MPI-ESM1-2-LR
1875,tas,11.58102,historical,MPI-ESM1-2-LR
1876,tas,11.588907,historical,MPI-ESM1-2-LR
1877,tas,11.662404,historical,MPI-ESM1-2-LR
1878,tas,11.852309,historical,MPI-ESM1-2-LR
1879,tas,11.846745,historical,MPI-ESM1-2-LR
1880,tas,11.741493,historical,MPI-ESM1-2-LR
1881,tas,11.890511,historical,MPI-ESM1-2-LR
1882,tas,11.902224,historical,MPI-ESM1-2-LR
1883,tas,11.790743,historical,MPI-ESM1-2-LR
1884,tas,11.610624,historical,MPI-ESM1-2-LR
1885,tas,11.556421,historical,MPI-ESM1-2-LR
1886,tas,11.700432,historical,MPI-ESM1-2-LR
1887,tas,11.589224,historical,MPI-ESM1-2-LR
1888,tas,11.819393,historical,MPI-ESM1-2-LR
1889,tas,12.03903,historical,MPI-ESM1-2-LR
