year,variable,value,scenario,model
1850,tas,13.263886,historical,MPI-ESM1-2-LR
1851,tas,13.122843,historical,MPI-ESM1-2-LR
1852,tas,13.188112,historical,MPI-ESM1-2-LR
1853,tas,13.604637,historical,MPI-ESM1-2-LR
1854,tas,13.325763,historical,MPI-ESM1-2-LR
1855,tas,13.087372,historical,MPI-ESM1-2-LR
1856,tas,13.360344,historical,MPI-ESM1-2-LR
1857,tas,13.318427,historical,MPI-ESM1-2-LR
1858,tas,13.357013,historical,MPI-ESM1-2-LR
1859,tas,13.351492,historical,MPI-ESM1-2-LR
1860,tas,13.483655,historical,MPI-ESM1-2-LR
1861,tas,13.369312,historical,MPI-ESM1-2-LR
1862,tas,13.013378,historical,MPI-ESM1-2-LR
1863,tas,12.936801,historical,MPI-ESM1-2-LR
1864,tas,13.3371,historical,MPI-ESM1-2-LR
1865,tas,13.312717,historical,MPI-ESM1-2-LR
1866,tas,13.456777,historical,MPI-ESM1-2-LR
1867,tas,13.309841,historical,MPI-ESM1-2-LR
1868,tas,13.254802,historical,MPI-ESM1-2-LR
1869,tas,13.214775,historical,MPI-ESM1-2-LR
1870,tas,13.547699,historical,MPI-ESM1-2-LR
1871,tas,13.297549,historical,MPI-ESM1-2-LR
1872,tas,13.191441,historical,MPI-ESM1-2-LR
1873,tas,13.243899,historical,MPI-ESM1-2-LR
1874,tas,13.203669,historical,MPI-ESM1-2-LR
1875,tas,12.906916,historical,MPI-ESM1-2-LR
1876,tas,13.098103,historical,MPI-ESM1-2-LR
1877,tas,13.060091,historical,MPI-ESM1-2-LR
1878,tas,13.239039,historical,MPI-ESM1-2-LR
1879,tas,13.145315,historical,MPI-ESM1-2-LR
1880,tas,13.343223,historical,MPI-ESM1-2-LR
1881,tas,13.328251,historical,MPI-ESM1-2-LR
1882,tas,13.051384,historical,MPI-ESM1-2-LR
1883,tas,13.33825,historical,MPI-ESM1-2-LR
1884,tas,12.74781,historical,MPI-ESM1-2-LR
1885,tas,12.99718,historical,MPI-ESM1-2-LR
1886,tas,13.328496,historical,MPI-ESM1-2-LR
1887,tas,12.867256,historical,MPI-ESM1-2-LR
1888,tas,13.253316,historical,MPI-ESM1-2-LR
1889,tas,13.33449,historical,MPI-ESM1-2-LR
1890,tas,13.376573,historical,MPI-ESM1-2-LR
1891,tas,13.554142,historical,MPI-ESM1-2-LR
1892,tas,13.195479,historical,MPI-ESM1-2-LR
1893,tas,13.419918,historical,MPI-ESM1-2-LR
1894,tas,13.030379,historical,MPI-ESM1-2-LR
1895,tas,13.310383,historical,MPI-ESM1-2-LR
1896,tas,13.186406,historical,MPI-ESM1-2-LR
1897,tas,13.280642,historical,MPI-ESM1-2-LR
1898,tas,12.861343,historical,MPI-ESM1-2-LR
1899,tas,13.140974,historical,MPI-ESM1-2-LR
1900,tas,13.137965,historical,MPI-ESM1-2-LR
1901,tas,13.203965,historical,MPI-ESM1-2-LR
1902,tas,13.464979,historical,MPI-ESM1-2-LR
1903,tas,12.782509,historical,MPI-ESM1-2-LR
1904,tas,13.320621,historical,MPI-ESM1-2-LR
1905,tas,13.338686,historical,MPI-ESM1-2-LR
1906,tas,13.457754,historical,MPI-ESM1-2-LR
1907,tas,13.348586,historical,MPI-ESM1-2-LR
1908,tas,13.084155,historical,MPI-ESM1-2-LR
1909,tas,13.334158,historical,MPI-ESM1-2-LR
1910,tas,13.08386,historical,MPI-ESM1-2-LR
1911,tas,12.965651,historical,MPI-ESM1-2-LR
1912,tas,13.045432,historical,MPI-ESM1-2-LR
1913,tas,13.166376,historical,MPI-ESM1-2-LR
1914,tas,13.183858,historical,MPI-ESM1-2-LR
1915,tas,13.367873,historical,MPI-ESM1-2-LR
1916,tas,13.150484,historical,MPI-ESM1-2-LR
1917,tas,13.158579,historical,MPI-ESM1-2-LR
1918,tas,13.159871,historical,MPI-ESM1-2-LR
1919,tas,13.205163,historical,MPI-ESM1-2-LR
1920,tas,13.505925,historical,MPI-ESM1-2-LR
1921,tas,13.359555,historical,MPI-ESM1-2-LR
1922,tas,13.367642,historical,MPI-ESM1-2-LR
1923,tas,13.332459,historical,MPI-ESM1-2-LR
1924,tas,13.618546,historical,MPI-ESM1-2-LR
1925,tas,13.261146,historical,MPI-ESM1-2-LR
1926,tas,13.361765,historical,MPI-ESM1-2-LR
1927,tas,13.355245,historical,MPI-ESM1-2-LR
1928,tas,13.503052,historical,MPI-ESM1-2-LR
1929,tas,13.407205,historical,MPI-ESM1-2-LR
1930,tas,13.298927,historical,MPI-ESM1-2-LR
1931,tas,13.121088,historical,MPI-ESM1-2-LR
1932,tas,13.288787,historical,MPI-ESM1-2-LR
1933,tas,13.281219,historical,MPI-ESM1-2-LR
1934,tas,13.614249,historical,MPI-ESM1-2-LR
1935,tas,13.415729,historical,MPI-ESM1-2-LR
1936,tas,13.535966,historical,MPI-ESM1-2-LR
1937,tas,13.583552,historical,MPI-ESM1-2-LR
1938,tas,13.41094,historical,MPI-ESM1-2-LR
1939,tas,13.446504,historical,MPI-ESM1-2-LR
1940,tas,13.634293,historical,MPI-ESM1-2-LR
1941,tas,13.93133,historical,MPI-ESM1-2-LR
1942,tas,13.595122,historical,MPI-ESM1-2-LR
1943,tas,13.834619,historical,MPI-ESM1-2-LR
1944,tas,13.444589,historical,MPI-ESM1-2-LR
1945,tas,13.620724,historical,MPI-ESM1-2-LR
1946,tas,13.741498,historical,MPI-ESM1-2-LR
1947,tas,13.666722,historical,MPI-ESM1-2-LR
1948,tas,13.804405,historical,MPI-ESM1-2-LR
1949,tas,13.593669,historical,MPI-ESM1-2-LR
1950,tas,13.595018,historical,MPI-ESM1-2-LR
1951,tas,13.825259,historical,MPI-ESM1-2-LR
1952,tas,13.78511,historical,MPI-ESM1-2-LR
1953,tas,13.70314,historical,MPI-ESM1-2-LR
1954,tas,13.487334,historical,MPI-ESM1-2-LR
1955,tas,13.025001,historical,MPI-ESM1-2-LR
1956,tas,13.598672,historical,MPI-ESM1-2-LR
1957,tas,13.379715,historical,MPI-ESM1-2-LR
1958,tas,13.450556,historical,MPI-ESM1-2-LR
1959,tas,13.488173,historical,MPI-ESM1-2-LR
1960,tas,13.64336,historical,MPI-ESM1-2-LR
1961,tas,13.997895,historical,MPI-ESM1-2-LR
1962,tas,13.619189,historical,MPI-ESM1-2-LR
1963,tas,13.672988,historical,MPI-ESM1-2-LR
1964,tas,13.190303,historical,MPI-ESM1-2-LR
1965,tas,13.288528,historical,MPI-ESM1-2-LR
1966,tas,13.496731,historical,MPI-ESM1-2-LR
1967,tas,13.718307,historical,MPI-ESM1-2-LR
1968,tas,13.726833,historical,MPI-ESM1-2-LR
1969,tas,13.299827,historical,MPI-ESM1-2-LR
1970,tas,13.431212,historical,MPI-ESM1-2-LR
1971,tas,13.242496,historical,MPI-ESM1-2-LR
1972,tas,13.20957,historical,MPI-ESM1-2-LR
1973,tas,13.621848,historical,MPI-ESM1-2-LR
1974,tas,13.684619,historical,MPI-ESM1-2-LR
1975,tas,13.633592,historical,MPI-ESM1-2-LR
1976,tas,13.21458,historical,MPI-ESM1-2-LR
1977,tas,13.278859,historical,MPI-ESM1-2-LR
1978,tas,13.797481,historical,MPI-ESM1-2-LR
1979,tas,13.762608,historical,MPI-ESM1-2-LR
1980,tas,13.586961,historical,MPI-ESM1-2-LR
1981,tas,13.711755,historical,MPI-ESM1-2-LR
